epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680094958867,2023-03-29T15.02.38.867,0.000,-0.860,-0.350,0.371
1680094958877,2023-03-29T15.02.38.877,0.010,-0.860,-0.350,0.371
1680094958887,2023-03-29T15.02.38.887,0.020,-0.860,-0.351,0.371
1680094958898,2023-03-29T15.02.38.898,0.031,-0.860,-0.351,0.370
1680094958906,2023-03-29T15.02.38.906,0.039,-0.860,-0.350,0.370
1680094958917,2023-03-29T15.02.38.917,0.050,-0.860,-0.350,0.370
1680094958927,2023-03-29T15.02.38.927,0.060,-0.860,-0.350,0.371
1680094958937,2023-03-29T15.02.38.937,0.070,-0.859,-0.350,0.373
1680094958947,2023-03-29T15.02.38.947,0.080,-0.858,-0.351,0.375
1680094958956,2023-03-29T15.02.38.956,0.089,-0.855,-0.353,0.379
1680094958966,2023-03-29T15.02.38.966,0.099,-0.852,-0.355,0.384
1680094958977,2023-03-29T15.02.38.977,0.110,-0.849,-0.358,0.390
1680094958987,2023-03-29T15.02.38.987,0.120,-0.845,-0.361,0.395
1680094958997,2023-03-29T15.02.38.997,0.130,-0.841,-0.364,0.400
1680094959006,2023-03-29T15.02.39.006,0.139,-0.838,-0.367,0.404
1680094959016,2023-03-29T15.02.39.016,0.149,-0.836,-0.369,0.407
1680094959026,2023-03-29T15.02.39.026,0.159,-0.833,-0.371,0.409
1680094959037,2023-03-29T15.02.39.037,0.170,-0.832,-0.373,0.411
1680094959045,2023-03-29T15.02.39.045,0.178,-0.831,-0.373,0.412
1680094959056,2023-03-29T15.02.39.056,0.189,-0.831,-0.374,0.412
1680094959066,2023-03-29T15.02.39.066,0.199,-0.831,-0.374,0.411
1680094959076,2023-03-29T15.02.39.076,0.209,-0.831,-0.374,0.411
1680094959087,2023-03-29T15.02.39.087,0.220,-0.831,-0.374,0.411
1680094959095,2023-03-29T15.02.39.095,0.228,-0.830,-0.375,0.413
1680094959106,2023-03-29T15.02.39.106,0.239,-0.829,-0.375,0.414
1680094959116,2023-03-29T15.02.39.116,0.249,-0.828,-0.375,0.417
1680094959126,2023-03-29T15.02.39.126,0.259,-0.827,-0.374,0.419
1680094959136,2023-03-29T15.02.39.136,0.269,-0.827,-0.374,0.421
1680094959145,2023-03-29T15.02.39.145,0.278,-0.826,-0.374,0.422
1680094959155,2023-03-29T15.02.39.155,0.288,-0.824,-0.375,0.424
1680094959166,2023-03-29T15.02.39.166,0.299,-0.823,-0.377,0.425
1680094959176,2023-03-29T15.02.39.176,0.309,-0.821,-0.379,0.427
1680094959186,2023-03-29T15.02.39.186,0.319,-0.820,-0.381,0.428
1680094959195,2023-03-29T15.02.39.195,0.328,-0.818,-0.383,0.429
1680094959205,2023-03-29T15.02.39.205,0.338,-0.817,-0.385,0.430
1680094959215,2023-03-29T15.02.39.215,0.348,-0.815,-0.388,0.431
1680094959226,2023-03-29T15.02.39.226,0.359,-0.813,-0.390,0.431
1680094959236,2023-03-29T15.02.39.236,0.369,-0.812,-0.393,0.432
1680094959245,2023-03-29T15.02.39.245,0.378,-0.815,-0.386,0.432
1680094959255,2023-03-29T15.02.39.255,0.388,-0.819,-0.378,0.432
1680094959265,2023-03-29T15.02.39.265,0.398,-0.818,-0.381,0.432
1680094959275,2023-03-29T15.02.39.275,0.408,-0.817,-0.384,0.431
1680094959286,2023-03-29T15.02.39.286,0.419,-0.816,-0.386,0.430
1680094959295,2023-03-29T15.02.39.295,0.428,-0.815,-0.389,0.430
1680094959305,2023-03-29T15.02.39.305,0.438,-0.815,-0.391,0.428
1680094959315,2023-03-29T15.02.39.315,0.448,-0.815,-0.393,0.427
1680094959325,2023-03-29T15.02.39.325,0.458,-0.815,-0.395,0.425
