epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681816959796,2023-04-18T13:22:39.796,0.000,-0.021,-0.005,0.007
1681816959805,2023-04-18T13:22:39.805,0.009,-0.033,-0.011,0.015
1681816959815,2023-04-18T13:22:39.815,0.019,-0.036,-0.008,0.015
1681816959825,2023-04-18T13:22:39.825,0.029,-0.033,0.007,0.016
1681816959835,2023-04-18T13:22:39.835,0.039,-0.030,0.021,0.020
1681816959846,2023-04-18T13:22:39.846,0.050,-0.034,0.025,0.021
1681816959854,2023-04-18T13:22:39.854,0.058,-0.033,0.033,0.025
1681816959865,2023-04-18T13:22:39.865,0.069,-0.028,0.044,0.024
1681816959875,2023-04-18T13:22:39.875,0.079,-0.022,0.059,0.019
1681816959885,2023-04-18T13:22:39.885,0.089,-0.027,0.068,0.015
1681816959894,2023-04-18T13:22:39.894,0.098,-0.039,0.073,0.015
1681816959904,2023-04-18T13:22:39.904,0.108,-0.048,0.082,0.018
1681816959914,2023-04-18T13:22:39.914,0.118,-0.050,0.076,0.016
1681816959925,2023-04-18T13:22:39.925,0.129,-0.046,0.071,0.015
1681816959935,2023-04-18T13:22:39.935,0.139,-0.047,0.067,0.016
1681816959944,2023-04-18T13:22:39.944,0.148,-0.048,0.063,0.009
1681816959954,2023-04-18T13:22:39.954,0.158,-0.045,0.062,0.010
1681816959964,2023-04-18T13:22:39.964,0.168,-0.040,0.059,0.005
1681816959975,2023-04-18T13:22:39.975,0.179,-0.042,0.053,0.006
1681816959985,2023-04-18T13:22:39.985,0.189,-0.045,0.045,0.010
1681816959994,2023-04-18T13:22:39.994,0.198,-0.042,0.028,0.014
1681816960004,2023-04-18T13:22:40.004,0.208,-0.037,0.024,0.011
1681816960014,2023-04-18T13:22:40.014,0.218,-0.034,0.022,0.010
1681816960024,2023-04-18T13:22:40.024,0.228,-0.039,0.015,0.011
1681816960035,2023-04-18T13:22:40.035,0.239,-0.038,0.009,0.008
1681816960043,2023-04-18T13:22:40.043,0.247,-0.036,0.011,0.005
1681816960054,2023-04-18T13:22:40.054,0.258,-0.038,0.011,0.001
1681816960064,2023-04-18T13:22:40.064,0.268,-0.046,0.011,0.003
1681816960074,2023-04-18T13:22:40.074,0.278,-0.064,0.006,-0.002
1681816960084,2023-04-18T13:22:40.084,0.288,-0.074,-0.005,-0.019
1681816960093,2023-04-18T13:22:40.093,0.297,-0.059,-0.006,-0.023
1681816960103,2023-04-18T13:22:40.103,0.307,-0.041,-0.011,-0.012
1681816960114,2023-04-18T13:22:40.114,0.318,-0.033,-0.026,-0.006
1681816960124,2023-04-18T13:22:40.124,0.328,-0.036,-0.024,-0.001
1681816960134,2023-04-18T13:22:40.134,0.338,-0.041,-0.006,0.004
1681816960143,2023-04-18T13:22:40.143,0.347,-0.039,0.010,-0.000
1681816960153,2023-04-18T13:22:40.153,0.357,-0.036,0.023,0.001
1681816960164,2023-04-18T13:22:40.164,0.368,-0.032,0.032,0.010
1681816960174,2023-04-18T13:22:40.174,0.378,-0.031,0.036,0.012
1681816960184,2023-04-18T13:22:40.184,0.388,-0.032,0.034,0.012
1681816960193,2023-04-18T13:22:40.193,0.397,-0.027,0.031,0.021
1681816960203,2023-04-18T13:22:40.203,0.407,-0.028,0.026,0.031
1681816960213,2023-04-18T13:22:40.213,0.417,-0.030,0.021,0.038
1681816960224,2023-04-18T13:22:40.224,0.428,-0.034,0.030,0.045
1681816960234,2023-04-18T13:22:40.234,0.438,-0.040,0.029,0.043
1681816960243,2023-04-18T13:22:40.243,0.447,-0.037,0.020,0.031
1681816960253,2023-04-18T13:22:40.253,0.457,-0.033,0.016,0.014
1681816960263,2023-04-18T13:22:40.263,0.467,-0.028,0.020,0.000
1681816960273,2023-04-18T13:22:40.273,0.477,-0.042,0.021,-0.014
1681816960282,2023-04-18T13:22:40.282,0.486,-0.071,0.004,-0.033
1681816960292,2023-04-18T13:22:40.292,0.496,-0.091,-0.022,-0.051
1681816960303,2023-04-18T13:22:40.303,0.507,-0.096,-0.045,-0.059
1681816960313,2023-04-18T13:22:40.313,0.517,-0.087,-0.065,-0.057
1681816960323,2023-04-18T13:22:40.323,0.527,-0.073,-0.097,-0.058
1681816960332,2023-04-18T13:22:40.332,0.536,-0.061,-0.131,-0.060
1681816960342,2023-04-18T13:22:40.342,0.546,-0.040,-0.163,-0.047
1681816960352,2023-04-18T13:22:40.352,0.556,-0.026,-0.183,-0.038
1681816960363,2023-04-18T13:22:40.363,0.567,-0.021,-0.197,-0.044
1681816960373,2023-04-18T13:22:40.373,0.577,-0.007,-0.199,-0.046
1681816960382,2023-04-18T13:22:40.382,0.586,-0.007,-0.195,-0.039
1681816960392,2023-04-18T13:22:40.392,0.596,0.000,-0.187,-0.019
1681816960402,2023-04-18T13:22:40.402,0.606,0.005,-0.165,-0.002
1681816960413,2023-04-18T13:22:40.413,0.617,0.002,-0.123,0.007
1681816960423,2023-04-18T13:22:40.423,0.627,0.001,-0.070,0.024
1681816960433,2023-04-18T13:22:40.433,0.637,-0.005,-0.024,0.030
1681816960442,2023-04-18T13:22:40.442,0.646,-0.008,0.017,0.024
1681816960452,2023-04-18T13:22:40.452,0.656,-0.010,0.054,0.032
1681816960462,2023-04-18T13:22:40.462,0.666,-0.007,0.080,0.049
1681816960473,2023-04-18T13:22:40.473,0.677,-0.024,0.095,0.054
1681816960481,2023-04-18T13:22:40.481,0.685,-0.046,0.107,0.052
1681816960492,2023-04-18T13:22:40.492,0.696,-0.064,0.105,0.050
1681816960502,2023-04-18T13:22:40.502,0.706,-0.075,0.092,0.056
1681816960512,2023-04-18T13:22:40.512,0.716,-0.073,0.070,0.050
1681816960521,2023-04-18T13:22:40.521,0.725,-0.037,0.054,0.035
1681816960531,2023-04-18T13:22:40.531,0.735,-0.009,0.034,0.029
1681816960541,2023-04-18T13:22:40.541,0.745,0.003,0.012,0.034
1681816960552,2023-04-18T13:22:40.552,0.756,0.008,-0.004,0.035
1681816960562,2023-04-18T13:22:40.562,0.766,0.004,-0.020,0.033
1681816960571,2023-04-18T13:22:40.571,0.775,0.002,-0.033,0.029
1681816960581,2023-04-18T13:22:40.581,0.785,-0.002,-0.047,0.028
1681816960591,2023-04-18T13:22:40.591,0.795,-0.003,-0.055,0.028
1681816960601,2023-04-18T13:22:40.601,0.805,0.006,-0.054,0.027
1681816960612,2023-04-18T13:22:40.612,0.816,0.013,-0.053,0.024
1681816960621,2023-04-18T13:22:40.621,0.825,0.018,-0.064,0.022
1681816960631,2023-04-18T13:22:40.631,0.835,0.014,-0.075,0.020
1681816960641,2023-04-18T13:22:40.641,0.845,0.010,-0.083,0.008
1681816960651,2023-04-18T13:22:40.651,0.855,0.009,-0.087,-0.003
1681816960662,2023-04-18T13:22:40.662,0.866,0.003,-0.091,-0.006
1681816960672,2023-04-18T13:22:40.672,0.876,-0.010,-0.103,-0.013
1681816960681,2023-04-18T13:22:40.681,0.885,-0.025,-0.113,-0.021
1681816960691,2023-04-18T13:22:40.691,0.895,-0.030,-0.116,-0.026
1681816960701,2023-04-18T13:22:40.701,0.905,-0.026,-0.113,-0.023
1681816960711,2023-04-18T13:22:40.711,0.915,-0.021,-0.112,-0.022
1681816960720,2023-04-18T13:22:40.720,0.924,-0.016,-0.116,-0.029
1681816960730,2023-04-18T13:22:40.730,0.934,-0.013,-0.116,-0.037
1681816960741,2023-04-18T13:22:40.741,0.945,-0.008,-0.106,-0.031
1681816960751,2023-04-18T13:22:40.751,0.955,-0.003,-0.094,-0.026
1681816960761,2023-04-18T13:22:40.761,0.965,-0.007,-0.081,-0.021
1681816960770,2023-04-18T13:22:40.770,0.974,-0.018,-0.067,-0.015
1681816960780,2023-04-18T13:22:40.780,0.984,-0.015,-0.065,-0.008
1681816960790,2023-04-18T13:22:40.790,0.994,-0.003,-0.065,-0.015
1681816960801,2023-04-18T13:22:40.801,1.005,0.016,-0.064,-0.028
1681816960810,2023-04-18T13:22:40.810,1.014,0.043,-0.059,-0.024
