epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681817218134,2023-04-18T13:26:58.134,0.000,0.815,-0.180,0.551,0.000
1681817218144,2023-04-18T13:26:58.144,0.010,0.815,-0.180,0.551,-0.000
1681817218153,2023-04-18T13:26:58.153,0.019,0.815,-0.180,0.551,-0.000
1681817218163,2023-04-18T13:26:58.163,0.029,0.815,-0.180,0.551,-0.000
1681817218173,2023-04-18T13:26:58.173,0.039,0.815,-0.181,0.551,-0.000
1681817218183,2023-04-18T13:26:58.183,0.049,0.815,-0.181,0.551,-0.000
1681817218194,2023-04-18T13:26:58.194,0.060,0.815,-0.181,0.550,-0.000
1681817218203,2023-04-18T13:26:58.203,0.069,0.815,-0.181,0.550,-0.001
1681817218213,2023-04-18T13:26:58.213,0.079,0.815,-0.181,0.550,-0.001
1681817218223,2023-04-18T13:26:58.223,0.089,0.815,-0.181,0.550,-0.001
1681817218233,2023-04-18T13:26:58.233,0.099,0.815,-0.181,0.550,-0.001
1681817218244,2023-04-18T13:26:58.244,0.110,0.815,-0.180,0.550,-0.002
1681817218252,2023-04-18T13:26:58.252,0.118,0.815,-0.180,0.550,-0.002
1681817218263,2023-04-18T13:26:58.263,0.129,0.815,-0.180,0.550,-0.002
1681817218273,2023-04-18T13:26:58.273,0.139,0.815,-0.180,0.550,-0.003
1681817218283,2023-04-18T13:26:58.283,0.149,0.816,-0.179,0.550,-0.003
1681817218293,2023-04-18T13:26:58.293,0.159,0.816,-0.179,0.550,-0.003
1681817218302,2023-04-18T13:26:58.302,0.168,0.816,-0.179,0.550,-0.004
1681817218312,2023-04-18T13:26:58.312,0.178,0.816,-0.178,0.550,-0.004
1681817218323,2023-04-18T13:26:58.323,0.189,0.816,-0.178,0.550,-0.004
1681817218333,2023-04-18T13:26:58.333,0.199,0.816,-0.178,0.550,-0.004
1681817218342,2023-04-18T13:26:58.342,0.208,0.816,-0.177,0.550,-0.005
1681817218352,2023-04-18T13:26:58.352,0.218,0.816,-0.177,0.550,-0.005
1681817218362,2023-04-18T13:26:58.362,0.228,0.816,-0.177,0.550,-0.005
1681817218372,2023-04-18T13:26:58.372,0.238,0.816,-0.176,0.550,-0.005
1681817218383,2023-04-18T13:26:58.383,0.249,0.816,-0.176,0.551,-0.006
1681817218391,2023-04-18T13:26:58.391,0.257,0.816,-0.175,0.551,-0.006
1681817218402,2023-04-18T13:26:58.402,0.268,0.816,-0.175,0.551,-0.006
1681817218412,2023-04-18T13:26:58.412,0.278,0.816,-0.175,0.551,-0.006
1681817218422,2023-04-18T13:26:58.422,0.288,0.816,-0.174,0.551,-0.007
1681817218432,2023-04-18T13:26:58.432,0.298,0.816,-0.174,0.551,-0.007
1681817218441,2023-04-18T13:26:58.441,0.307,0.816,-0.174,0.552,-0.007
1681817218452,2023-04-18T13:26:58.452,0.318,0.816,-0.174,0.552,-0.007
1681817218462,2023-04-18T13:26:58.462,0.328,0.816,-0.173,0.552,-0.007
1681817218472,2023-04-18T13:26:58.472,0.338,0.815,-0.173,0.552,-0.008
1681817218482,2023-04-18T13:26:58.482,0.348,0.815,-0.173,0.553,-0.008
1681817218491,2023-04-18T13:26:58.491,0.357,0.815,-0.172,0.553,-0.008
1681817218501,2023-04-18T13:26:58.501,0.367,0.815,-0.172,0.553,-0.008
1681817218512,2023-04-18T13:26:58.512,0.378,0.815,-0.171,0.553,-0.009
1681817218522,2023-04-18T13:26:58.522,0.388,0.815,-0.171,0.553,-0.009
1681817218532,2023-04-18T13:26:58.532,0.398,0.815,-0.170,0.554,-0.009
1681817218541,2023-04-18T13:26:58.541,0.407,0.815,-0.170,0.554,-0.009
1681817218551,2023-04-18T13:26:58.551,0.417,0.815,-0.170,0.554,-0.009
1681817218561,2023-04-18T13:26:58.561,0.427,0.815,-0.169,0.554,-0.009
1681817218572,2023-04-18T13:26:58.572,0.438,0.815,-0.169,0.554,-0.009
1681817218582,2023-04-18T13:26:58.582,0.448,0.815,-0.168,0.554,-0.009
1681817218591,2023-04-18T13:26:58.591,0.457,0.815,-0.168,0.555,-0.009
1681817218601,2023-04-18T13:26:58.601,0.467,0.814,-0.167,0.555,-0.010
1681817218611,2023-04-18T13:26:58.611,0.477,0.814,-0.167,0.556,-0.010
1681817218621,2023-04-18T13:26:58.621,0.487,0.814,-0.166,0.557,-0.010
1681817218630,2023-04-18T13:26:58.630,0.496,0.814,-0.166,0.557,-0.010
1681817218640,2023-04-18T13:26:58.640,0.506,0.813,-0.165,0.559,-0.010
1681817218651,2023-04-18T13:26:58.651,0.517,0.812,-0.166,0.560,-0.009
1681817218661,2023-04-18T13:26:58.661,0.527,0.810,-0.168,0.562,-0.009
1681817218671,2023-04-18T13:26:58.671,0.537,0.809,-0.169,0.563,-0.008
1681817218680,2023-04-18T13:26:58.680,0.546,0.808,-0.171,0.564,-0.007
1681817218692,2023-04-18T13:26:58.692,0.558,0.806,-0.172,0.566,-0.006
1681817218701,2023-04-18T13:26:58.701,0.567,0.805,-0.174,0.567,-0.006
1681817218711,2023-04-18T13:26:58.711,0.577,0.804,-0.175,0.568,-0.004
1681817218721,2023-04-18T13:26:58.721,0.587,0.802,-0.177,0.570,-0.003
1681817218730,2023-04-18T13:26:58.730,0.596,0.801,-0.178,0.571,-0.002
1681817218740,2023-04-18T13:26:58.740,0.606,0.801,-0.179,0.572,-0.001
1681817218750,2023-04-18T13:26:58.750,0.616,0.800,-0.180,0.573,-0.000
1681817218761,2023-04-18T13:26:58.761,0.627,0.799,-0.181,0.573,0.001
1681817218771,2023-04-18T13:26:58.771,0.637,0.798,-0.182,0.574,0.002
1681817218780,2023-04-18T13:26:58.780,0.646,0.798,-0.182,0.575,0.002
1681817218790,2023-04-18T13:26:58.790,0.656,0.797,-0.183,0.575,0.002
1681817218800,2023-04-18T13:26:58.800,0.666,0.797,-0.183,0.576,0.003
1681817218810,2023-04-18T13:26:58.810,0.676,0.796,-0.183,0.577,0.003
1681817218821,2023-04-18T13:26:58.821,0.687,0.796,-0.183,0.577,0.003
1681817218829,2023-04-18T13:26:58.829,0.695,0.795,-0.183,0.578,0.003
1681817218840,2023-04-18T13:26:58.840,0.706,0.795,-0.183,0.579,0.003
1681817218850,2023-04-18T13:26:58.850,0.716,0.794,-0.183,0.579,0.003
1681817218860,2023-04-18T13:26:58.860,0.726,0.794,-0.184,0.580,0.003
1681817218870,2023-04-18T13:26:58.870,0.736,0.793,-0.184,0.580,0.003
1681817218879,2023-04-18T13:26:58.879,0.745,0.793,-0.185,0.581,0.003
1681817218890,2023-04-18T13:26:58.890,0.756,0.792,-0.185,0.581,0.003
1681817218900,2023-04-18T13:26:58.900,0.766,0.792,-0.185,0.582,0.004
1681817218910,2023-04-18T13:26:58.910,0.776,0.791,-0.186,0.583,0.005
1681817218920,2023-04-18T13:26:58.920,0.786,0.790,-0.186,0.584,0.005
1681817218931,2023-04-18T13:26:58.931,0.797,0.789,-0.187,0.585,0.005
1681817218939,2023-04-18T13:26:58.939,0.805,0.789,-0.187,0.585,0.006
1681817218950,2023-04-18T13:26:58.950,0.816,0.788,-0.188,0.586,0.006
1681817218960,2023-04-18T13:26:58.960,0.826,0.788,-0.188,0.586,0.006
1681817218969,2023-04-18T13:26:58.969,0.835,0.787,-0.188,0.587,0.006
1681817218979,2023-04-18T13:26:58.979,0.845,0.787,-0.188,0.587,0.005
1681817218989,2023-04-18T13:26:58.989,0.855,0.787,-0.188,0.587,0.005
1681817218999,2023-04-18T13:26:58.999,0.865,0.787,-0.188,0.588,0.005
1681817219010,2023-04-18T13:26:59.010,0.876,0.787,-0.188,0.588,0.005
1681817219020,2023-04-18T13:26:59.020,0.886,0.787,-0.188,0.588,0.004
1681817219029,2023-04-18T13:26:59.029,0.895,0.787,-0.188,0.588,0.004
1681817219039,2023-04-18T13:26:59.039,0.905,0.787,-0.187,0.588,0.003
1681817219049,2023-04-18T13:26:59.049,0.915,0.787,-0.187,0.588,0.003
1681817219059,2023-04-18T13:26:59.059,0.925,0.787,-0.187,0.588,0.003
1681817219068,2023-04-18T13:26:59.068,0.934,0.787,-0.187,0.588,0.002
1681817219078,2023-04-18T13:26:59.078,0.944,0.787,-0.186,0.588,0.002
1681817219089,2023-04-18T13:26:59.089,0.955,0.788,-0.186,0.588,0.002
1681817219099,2023-04-18T13:26:59.099,0.965,0.788,-0.185,0.588,0.002
1681817219109,2023-04-18T13:26:59.109,0.975,0.788,-0.185,0.588,0.002
1681817219118,2023-04-18T13:26:59.118,0.984,0.788,-0.185,0.587,0.003
1681817219128,2023-04-18T13:26:59.128,0.994,0.788,-0.185,0.587,0.003
1681817219139,2023-04-18T13:26:59.139,1.005,0.788,-0.185,0.587,0.003
1681817219149,2023-04-18T13:26:59.149,1.015,0.788,-0.185,0.587,0.003
1681817219159,2023-04-18T13:26:59.159,1.025,0.789,-0.185,0.586,0.004
1681817219168,2023-04-18T13:26:59.168,1.034,0.789,-0.185,0.586,0.004
1681817219178,2023-04-18T13:26:59.178,1.044,0.790,-0.185,0.585,0.005
1681817219188,2023-04-18T13:26:59.188,1.054,0.790,-0.185,0.584,0.005
1681817219199,2023-04-18T13:26:59.199,1.065,0.791,-0.185,0.583,0.006
1681817219209,2023-04-18T13:26:59.209,1.075,0.791,-0.185,0.582,0.006
1681817219218,2023-04-18T13:26:59.218,1.084,0.792,-0.186,0.582,0.007
1681817219228,2023-04-18T13:26:59.228,1.094,0.793,-0.186,0.581,0.008
1681817219238,2023-04-18T13:26:59.238,1.104,0.793,-0.187,0.580,0.008
1681817219248,2023-04-18T13:26:59.248,1.114,0.794,-0.187,0.578,0.009
1681817219259,2023-04-18T13:26:59.259,1.125,0.794,-0.188,0.577,0.010
1681817219267,2023-04-18T13:26:59.267,1.133,0.795,-0.189,0.576,0.011
1681817219278,2023-04-18T13:26:59.278,1.144,0.796,-0.190,0.574,0.011
1681817219288,2023-04-18T13:26:59.288,1.154,0.797,-0.191,0.572,0.012
1681817219298,2023-04-18T13:26:59.298,1.164,0.799,-0.191,0.570,0.013
1681817219307,2023-04-18T13:26:59.307,1.173,0.800,-0.192,0.568,0.013
1681817219317,2023-04-18T13:26:59.317,1.183,0.801,-0.193,0.566,0.014
1681817219328,2023-04-18T13:26:59.328,1.194,0.803,-0.194,0.564,0.015
1681817219338,2023-04-18T13:26:59.338,1.204,0.804,-0.195,0.562,0.016
1681817219348,2023-04-18T13:26:59.348,1.214,0.805,-0.196,0.560,0.017
1681817219357,2023-04-18T13:26:59.357,1.223,0.806,-0.197,0.557,0.018
1681817219367,2023-04-18T13:26:59.367,1.233,0.808,-0.197,0.555,0.019
1681817219377,2023-04-18T13:26:59.377,1.243,0.809,-0.198,0.553,0.020
1681817219388,2023-04-18T13:26:59.388,1.254,0.810,-0.198,0.551,0.021
1681817219398,2023-04-18T13:26:59.398,1.264,0.812,-0.198,0.549,0.022
1681817219407,2023-04-18T13:26:59.407,1.273,0.813,-0.198,0.548,0.022
1681817219417,2023-04-18T13:26:59.417,1.283,0.814,-0.197,0.546,0.023
1681817219427,2023-04-18T13:26:59.427,1.293,0.815,-0.196,0.545,0.023
1681817219437,2023-04-18T13:26:59.437,1.303,0.816,-0.195,0.543,0.023
1681817219448,2023-04-18T13:26:59.448,1.314,0.817,-0.193,0.542,0.023
1681817219456,2023-04-18T13:26:59.456,1.322,0.819,-0.192,0.541,0.023
1681817219467,2023-04-18T13:26:59.467,1.333,0.820,-0.190,0.540,0.022
1681817219477,2023-04-18T13:26:59.477,1.343,0.821,-0.188,0.539,0.022
1681817219487,2023-04-18T13:26:59.487,1.353,0.822,-0.187,0.538,0.022
1681817219497,2023-04-18T13:26:59.497,1.363,0.823,-0.186,0.537,0.021
1681817219506,2023-04-18T13:26:59.506,1.372,0.823,-0.184,0.536,0.021
1681817219516,2023-04-18T13:26:59.516,1.382,0.824,-0.183,0.535,0.021
1681817219527,2023-04-18T13:26:59.527,1.393,0.825,-0.182,0.534,0.021
1681817219537,2023-04-18T13:26:59.537,1.403,0.826,-0.182,0.533,0.021
1681817219546,2023-04-18T13:26:59.546,1.412,0.827,-0.181,0.531,0.022
1681817219556,2023-04-18T13:26:59.556,1.422,0.828,-0.181,0.530,0.022
1681817219566,2023-04-18T13:26:59.566,1.432,0.829,-0.181,0.529,0.023
