epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681817965917,2023-04-18T13:39:25.917,0.000,0.769,0.085,0.633,0.000
1681817965925,2023-04-18T13:39:25.925,0.008,0.769,0.085,0.633,0.000
1681817965936,2023-04-18T13:39:25.936,0.019,0.769,0.085,0.633,-0.000
1681817965946,2023-04-18T13:39:25.946,0.029,0.769,0.085,0.633,-0.000
1681817965956,2023-04-18T13:39:25.956,0.039,0.769,0.085,0.633,-0.000
1681817965966,2023-04-18T13:39:25.966,0.049,0.769,0.085,0.633,-0.000
1681817965977,2023-04-18T13:39:25.977,0.060,0.769,0.085,0.633,-0.000
1681817965986,2023-04-18T13:39:25.986,0.069,0.769,0.085,0.633,-0.000
1681817965996,2023-04-18T13:39:25.996,0.079,0.769,0.085,0.633,-0.000
1681817966006,2023-04-18T13:39:26.006,0.089,0.769,0.085,0.633,-0.000
1681817966016,2023-04-18T13:39:26.016,0.099,0.769,0.085,0.633,-0.000
1681817966027,2023-04-18T13:39:26.027,0.110,0.769,0.085,0.633,-0.001
1681817966035,2023-04-18T13:39:26.035,0.118,0.769,0.085,0.633,-0.001
1681817966046,2023-04-18T13:39:26.046,0.129,0.769,0.085,0.633,-0.001
1681817966056,2023-04-18T13:39:26.056,0.139,0.769,0.085,0.633,-0.001
1681817966066,2023-04-18T13:39:26.066,0.149,0.769,0.085,0.633,-0.001
1681817966076,2023-04-18T13:39:26.076,0.159,0.769,0.085,0.634,-0.001
1681817966085,2023-04-18T13:39:26.085,0.168,0.769,0.085,0.634,-0.001
1681817966095,2023-04-18T13:39:26.095,0.178,0.768,0.085,0.634,-0.002
1681817966106,2023-04-18T13:39:26.106,0.189,0.768,0.086,0.635,-0.002
1681817966116,2023-04-18T13:39:26.116,0.199,0.768,0.086,0.635,-0.002
1681817966126,2023-04-18T13:39:26.126,0.209,0.768,0.086,0.635,-0.002
1681817966136,2023-04-18T13:39:26.136,0.219,0.767,0.086,0.635,-0.002
1681817966145,2023-04-18T13:39:26.145,0.228,0.767,0.086,0.636,-0.002
1681817966155,2023-04-18T13:39:26.155,0.238,0.767,0.086,0.636,-0.002
1681817966166,2023-04-18T13:39:26.166,0.249,0.767,0.086,0.636,-0.002
1681817966176,2023-04-18T13:39:26.176,0.259,0.767,0.087,0.636,-0.002
1681817966186,2023-04-18T13:39:26.186,0.269,0.767,0.087,0.636,-0.003
1681817966195,2023-04-18T13:39:26.195,0.278,0.767,0.087,0.636,-0.003
1681817966205,2023-04-18T13:39:26.205,0.288,0.767,0.087,0.636,-0.003
1681817966215,2023-04-18T13:39:26.215,0.298,0.767,0.087,0.636,-0.003
1681817966226,2023-04-18T13:39:26.226,0.309,0.767,0.087,0.636,-0.003
1681817966236,2023-04-18T13:39:26.236,0.319,0.767,0.087,0.636,-0.003
1681817966246,2023-04-18T13:39:26.246,0.329,0.767,0.087,0.636,-0.003
1681817966255,2023-04-18T13:39:26.255,0.338,0.767,0.087,0.636,-0.004
1681817966265,2023-04-18T13:39:26.265,0.348,0.767,0.087,0.636,-0.004
1681817966276,2023-04-18T13:39:26.276,0.359,0.767,0.087,0.636,-0.004
1681817966286,2023-04-18T13:39:26.286,0.369,0.767,0.087,0.636,-0.004
1681817966296,2023-04-18T13:39:26.296,0.379,0.767,0.087,0.636,-0.004
1681817966305,2023-04-18T13:39:26.305,0.388,0.767,0.087,0.636,-0.004
1681817966315,2023-04-18T13:39:26.315,0.398,0.767,0.087,0.636,-0.004
1681817966325,2023-04-18T13:39:26.325,0.408,0.767,0.087,0.636,-0.004
1681817966336,2023-04-18T13:39:26.336,0.419,0.767,0.087,0.636,-0.005
1681817966346,2023-04-18T13:39:26.346,0.429,0.767,0.087,0.636,-0.005
1681817966356,2023-04-18T13:39:26.356,0.439,0.767,0.087,0.636,-0.005
1681817966365,2023-04-18T13:39:26.365,0.448,0.767,0.087,0.636,-0.005
1681817966375,2023-04-18T13:39:26.375,0.458,0.767,0.087,0.636,-0.005
1681817966385,2023-04-18T13:39:26.385,0.468,0.767,0.087,0.636,-0.005
1681817966396,2023-04-18T13:39:26.396,0.479,0.767,0.087,0.636,-0.005
1681817966406,2023-04-18T13:39:26.406,0.489,0.767,0.088,0.636,-0.006
1681817966415,2023-04-18T13:39:26.415,0.498,0.767,0.088,0.636,-0.006
1681817966425,2023-04-18T13:39:26.425,0.508,0.767,0.088,0.636,-0.006
1681817966435,2023-04-18T13:39:26.435,0.518,0.767,0.088,0.636,-0.006
1681817966445,2023-04-18T13:39:26.445,0.528,0.767,0.088,0.636,-0.006
1681817966456,2023-04-18T13:39:26.456,0.539,0.767,0.088,0.636,-0.006
1681817966466,2023-04-18T13:39:26.466,0.549,0.767,0.088,0.636,-0.006
1681817966475,2023-04-18T13:39:26.475,0.558,0.767,0.088,0.636,-0.007
1681817966485,2023-04-18T13:39:26.485,0.568,0.767,0.088,0.636,-0.007
1681817966495,2023-04-18T13:39:26.495,0.578,0.767,0.088,0.636,-0.007
1681817966506,2023-04-18T13:39:26.506,0.589,0.767,0.089,0.636,-0.007
1681817966516,2023-04-18T13:39:26.516,0.599,0.767,0.089,0.636,-0.007
1681817966525,2023-04-18T13:39:26.525,0.608,0.767,0.089,0.636,-0.007
1681817966536,2023-04-18T13:39:26.536,0.619,0.767,0.089,0.636,-0.007
1681817966545,2023-04-18T13:39:26.545,0.628,0.766,0.089,0.636,-0.007
1681817966555,2023-04-18T13:39:26.555,0.638,0.766,0.089,0.636,-0.007
1681817966566,2023-04-18T13:39:26.566,0.649,0.766,0.089,0.636,-0.007
1681817966576,2023-04-18T13:39:26.576,0.659,0.766,0.089,0.636,-0.007
1681817966585,2023-04-18T13:39:26.585,0.668,0.766,0.090,0.636,-0.008
1681817966595,2023-04-18T13:39:26.595,0.678,0.766,0.090,0.636,-0.008
1681817966605,2023-04-18T13:39:26.605,0.688,0.766,0.090,0.636,-0.008
1681817966615,2023-04-18T13:39:26.615,0.698,0.766,0.090,0.636,-0.008
1681817966626,2023-04-18T13:39:26.626,0.709,0.766,0.090,0.636,-0.008
1681817966634,2023-04-18T13:39:26.634,0.717,0.766,0.090,0.636,-0.008
1681817966645,2023-04-18T13:39:26.645,0.728,0.767,0.090,0.636,-0.008
1681817966655,2023-04-18T13:39:26.655,0.738,0.767,0.090,0.636,-0.008
1681817966665,2023-04-18T13:39:26.665,0.748,0.767,0.090,0.636,-0.008
1681817966675,2023-04-18T13:39:26.675,0.758,0.767,0.090,0.636,-0.008
1681817966684,2023-04-18T13:39:26.684,0.767,0.767,0.090,0.636,-0.008
1681817966694,2023-04-18T13:39:26.694,0.777,0.767,0.090,0.636,-0.008
1681817966705,2023-04-18T13:39:26.705,0.788,0.767,0.090,0.636,-0.008
1681817966715,2023-04-18T13:39:26.715,0.798,0.767,0.090,0.636,-0.009
1681817966725,2023-04-18T13:39:26.725,0.808,0.767,0.090,0.636,-0.009
1681817966736,2023-04-18T13:39:26.736,0.819,0.767,0.090,0.635,-0.009
1681817966744,2023-04-18T13:39:26.744,0.827,0.767,0.090,0.635,-0.009
1681817966755,2023-04-18T13:39:26.755,0.838,0.767,0.090,0.635,-0.009
1681817966765,2023-04-18T13:39:26.765,0.848,0.767,0.090,0.635,-0.009
1681817966775,2023-04-18T13:39:26.775,0.858,0.767,0.090,0.635,-0.009
1681817966785,2023-04-18T13:39:26.785,0.868,0.767,0.090,0.635,-0.009
1681817966796,2023-04-18T13:39:26.796,0.879,0.767,0.090,0.635,-0.009
1681817966804,2023-04-18T13:39:26.804,0.887,0.767,0.090,0.635,-0.009
1681817966815,2023-04-18T13:39:26.815,0.898,0.767,0.090,0.635,-0.009
1681817966825,2023-04-18T13:39:26.825,0.908,0.767,0.090,0.635,-0.009
1681817966835,2023-04-18T13:39:26.835,0.918,0.767,0.090,0.635,-0.008
1681817966845,2023-04-18T13:39:26.845,0.928,0.767,0.090,0.635,-0.008
1681817966854,2023-04-18T13:39:26.854,0.937,0.767,0.090,0.635,-0.008
1681817966864,2023-04-18T13:39:26.864,0.947,0.767,0.090,0.635,-0.008
1681817966875,2023-04-18T13:39:26.875,0.958,0.767,0.090,0.635,-0.008
1681817966885,2023-04-18T13:39:26.885,0.968,0.767,0.090,0.635,-0.008
1681817966895,2023-04-18T13:39:26.895,0.978,0.767,0.090,0.635,-0.008
1681817966904,2023-04-18T13:39:26.904,0.987,0.767,0.090,0.635,-0.008
1681817966914,2023-04-18T13:39:26.914,0.997,0.767,0.089,0.635,-0.008
1681817966924,2023-04-18T13:39:26.924,1.007,0.767,0.089,0.635,-0.008
1681817966935,2023-04-18T13:39:26.935,1.018,0.767,0.089,0.635,-0.007
1681817966945,2023-04-18T13:39:26.945,1.028,0.767,0.089,0.635,-0.007
1681817966955,2023-04-18T13:39:26.955,1.038,0.767,0.089,0.635,-0.007
1681817966964,2023-04-18T13:39:26.964,1.047,0.767,0.089,0.635,-0.007
1681817966974,2023-04-18T13:39:26.974,1.057,0.767,0.089,0.635,-0.007
1681817966985,2023-04-18T13:39:26.985,1.068,0.767,0.089,0.635,-0.007
1681817966995,2023-04-18T13:39:26.995,1.078,0.767,0.089,0.635,-0.007
1681817967005,2023-04-18T13:39:27.005,1.088,0.767,0.088,0.635,-0.007
1681817967014,2023-04-18T13:39:27.014,1.097,0.767,0.088,0.635,-0.007
1681817967024,2023-04-18T13:39:27.024,1.107,0.767,0.088,0.635,-0.007
1681817967034,2023-04-18T13:39:27.034,1.117,0.767,0.088,0.635,-0.007
1681817967045,2023-04-18T13:39:27.045,1.128,0.767,0.088,0.635,-0.007
1681817967055,2023-04-18T13:39:27.055,1.138,0.767,0.088,0.635,-0.007
1681817967065,2023-04-18T13:39:27.065,1.148,0.767,0.088,0.635,-0.007
1681817967074,2023-04-18T13:39:27.074,1.157,0.767,0.088,0.635,-0.007
