epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681818919332,2023-04-18T13:55:19.332,0.000,-0.011,0.001,0.001
1681818919342,2023-04-18T13:55:19.342,0.010,-0.020,0.002,0.005
1681818919352,2023-04-18T13:55:19.352,0.020,-0.016,0.000,0.007
1681818919363,2023-04-18T13:55:19.363,0.031,-0.016,-0.001,0.004
1681818919371,2023-04-18T13:55:19.371,0.039,-0.016,0.002,0.005
1681818919382,2023-04-18T13:55:19.382,0.050,-0.012,0.001,0.004
1681818919392,2023-04-18T13:55:19.392,0.060,-0.016,-0.000,0.007
1681818919402,2023-04-18T13:55:19.402,0.070,-0.015,-0.003,0.007
1681818919412,2023-04-18T13:55:19.412,0.080,-0.014,-0.005,0.006
1681818919421,2023-04-18T13:55:19.421,0.089,-0.017,-0.005,0.006
1681818919431,2023-04-18T13:55:19.431,0.099,-0.017,-0.004,0.005
1681818919442,2023-04-18T13:55:19.442,0.110,-0.015,-0.003,0.006
1681818919452,2023-04-18T13:55:19.452,0.120,-0.015,-0.005,0.009
1681818919462,2023-04-18T13:55:19.462,0.130,-0.015,-0.004,0.006
1681818919472,2023-04-18T13:55:19.472,0.140,-0.016,-0.002,0.002
1681818919481,2023-04-18T13:55:19.481,0.149,-0.017,-0.005,0.006
1681818919492,2023-04-18T13:55:19.492,0.160,-0.018,-0.005,0.008
1681818919502,2023-04-18T13:55:19.502,0.170,-0.017,-0.005,0.009
1681818919512,2023-04-18T13:55:19.512,0.180,-0.018,-0.003,0.008
1681818919522,2023-04-18T13:55:19.522,0.190,-0.020,-0.004,0.009
1681818919531,2023-04-18T13:55:19.531,0.199,-0.018,-0.003,0.009
1681818919541,2023-04-18T13:55:19.541,0.209,-0.020,0.000,0.009
1681818919552,2023-04-18T13:55:19.552,0.220,-0.022,-0.001,0.012
1681818919562,2023-04-18T13:55:19.562,0.230,-0.019,-0.002,0.007
1681818919572,2023-04-18T13:55:19.572,0.240,-0.019,-0.002,0.006
1681818919581,2023-04-18T13:55:19.581,0.249,-0.021,-0.002,0.005
1681818919591,2023-04-18T13:55:19.591,0.259,-0.021,-0.003,0.005
1681818919601,2023-04-18T13:55:19.601,0.269,-0.021,-0.001,0.005
1681818919612,2023-04-18T13:55:19.612,0.280,-0.018,-0.001,0.007
1681818919622,2023-04-18T13:55:19.622,0.290,-0.020,0.003,0.006
1681818919632,2023-04-18T13:55:19.632,0.300,-0.018,0.003,0.004
1681818919641,2023-04-18T13:55:19.641,0.309,-0.015,0.003,0.002
1681818919651,2023-04-18T13:55:19.651,0.319,-0.018,0.006,0.005
1681818919661,2023-04-18T13:55:19.661,0.329,-0.018,0.005,0.005
1681818919672,2023-04-18T13:55:19.672,0.340,-0.015,0.005,0.009
1681818919682,2023-04-18T13:55:19.682,0.350,-0.013,0.003,0.010
1681818919691,2023-04-18T13:55:19.691,0.359,-0.015,-0.002,0.007
1681818919701,2023-04-18T13:55:19.701,0.369,-0.015,-0.001,0.006
1681818919711,2023-04-18T13:55:19.711,0.379,-0.014,-0.001,0.008
