epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681818310604,2023-04-18T13:45:10.604,0.000,0.780,-0.091,0.618,0.000
1681818310615,2023-04-18T13:45:10.615,0.011,0.780,-0.091,0.619,-0.000
1681818310623,2023-04-18T13:45:10.623,0.019,0.780,-0.091,0.619,-0.000
1681818310634,2023-04-18T13:45:10.634,0.030,0.780,-0.091,0.619,-0.000
1681818310644,2023-04-18T13:45:10.644,0.040,0.780,-0.091,0.619,-0.000
1681818310654,2023-04-18T13:45:10.654,0.050,0.780,-0.092,0.619,-0.000
1681818310664,2023-04-18T13:45:10.664,0.060,0.780,-0.092,0.619,-0.000
1681818310673,2023-04-18T13:45:10.673,0.069,0.780,-0.092,0.619,-0.000
1681818310683,2023-04-18T13:45:10.683,0.079,0.780,-0.092,0.619,-0.000
1681818310694,2023-04-18T13:45:10.694,0.090,0.780,-0.092,0.619,0.000
1681818310704,2023-04-18T13:45:10.704,0.100,0.780,-0.093,0.619,0.000
1681818310714,2023-04-18T13:45:10.714,0.110,0.780,-0.093,0.619,0.000
1681818310723,2023-04-18T13:45:10.723,0.119,0.780,-0.093,0.619,0.000
1681818310733,2023-04-18T13:45:10.733,0.129,0.780,-0.094,0.619,0.000
1681818310744,2023-04-18T13:45:10.744,0.140,0.780,-0.094,0.619,0.000
1681818310754,2023-04-18T13:45:10.754,0.150,0.780,-0.094,0.619,0.000
1681818310764,2023-04-18T13:45:10.764,0.160,0.780,-0.094,0.619,0.000
1681818310773,2023-04-18T13:45:10.773,0.169,0.779,-0.094,0.619,-0.000
1681818310783,2023-04-18T13:45:10.783,0.179,0.779,-0.094,0.619,-0.000
1681818310793,2023-04-18T13:45:10.793,0.189,0.779,-0.094,0.620,-0.000
1681818310804,2023-04-18T13:45:10.804,0.200,0.779,-0.094,0.620,-0.000
1681818310814,2023-04-18T13:45:10.814,0.210,0.779,-0.094,0.620,-0.000
1681818310823,2023-04-18T13:45:10.823,0.219,0.779,-0.094,0.620,-0.001
1681818310833,2023-04-18T13:45:10.833,0.229,0.779,-0.094,0.620,-0.001
1681818310843,2023-04-18T13:45:10.843,0.239,0.779,-0.094,0.620,-0.001
1681818310853,2023-04-18T13:45:10.853,0.249,0.779,-0.094,0.620,-0.001
1681818310864,2023-04-18T13:45:10.864,0.260,0.779,-0.094,0.620,-0.001
1681818310872,2023-04-18T13:45:10.872,0.268,0.779,-0.094,0.620,-0.001
1681818310883,2023-04-18T13:45:10.883,0.279,0.779,-0.094,0.621,-0.002
1681818310893,2023-04-18T13:45:10.893,0.289,0.778,-0.094,0.621,-0.002
1681818310903,2023-04-18T13:45:10.903,0.299,0.778,-0.094,0.621,-0.002
1681818310912,2023-04-18T13:45:10.912,0.308,0.778,-0.094,0.621,-0.002
1681818310922,2023-04-18T13:45:10.922,0.318,0.778,-0.094,0.621,-0.002
1681818310933,2023-04-18T13:45:10.933,0.329,0.778,-0.094,0.621,-0.003
1681818310943,2023-04-18T13:45:10.943,0.339,0.778,-0.094,0.621,-0.003
1681818310953,2023-04-18T13:45:10.953,0.349,0.778,-0.094,0.621,-0.003
1681818310962,2023-04-18T13:45:10.962,0.358,0.778,-0.094,0.621,-0.003
1681818310972,2023-04-18T13:45:10.972,0.368,0.778,-0.094,0.621,-0.003
1681818310982,2023-04-18T13:45:10.982,0.378,0.778,-0.094,0.621,-0.003
1681818310993,2023-04-18T13:45:10.993,0.389,0.778,-0.094,0.621,-0.003
1681818311003,2023-04-18T13:45:11.003,0.399,0.778,-0.094,0.621,-0.003
1681818311012,2023-04-18T13:45:11.012,0.408,0.778,-0.094,0.621,-0.003
1681818311022,2023-04-18T13:45:11.022,0.418,0.778,-0.094,0.621,-0.003
1681818311032,2023-04-18T13:45:11.032,0.428,0.778,-0.094,0.621,-0.003
1681818311042,2023-04-18T13:45:11.042,0.438,0.778,-0.094,0.621,-0.003
1681818311053,2023-04-18T13:45:11.053,0.449,0.778,-0.094,0.621,-0.003
1681818311061,2023-04-18T13:45:11.061,0.457,0.778,-0.094,0.621,-0.003
1681818311072,2023-04-18T13:45:11.072,0.468,0.778,-0.094,0.621,-0.003
