epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681818656852,2023-04-18T13:50:56.852,0.000,0.714,0.160,0.681,0.000
1681818656862,2023-04-18T13:50:56.862,0.010,0.714,0.159,0.681,-0.001
1681818656871,2023-04-18T13:50:56.871,0.019,0.714,0.158,0.682,-0.002
1681818656881,2023-04-18T13:50:56.881,0.029,0.714,0.157,0.682,-0.003
1681818656891,2023-04-18T13:50:56.891,0.039,0.714,0.156,0.683,-0.005
1681818656902,2023-04-18T13:50:56.902,0.050,0.714,0.155,0.683,-0.008
1681818656912,2023-04-18T13:50:56.912,0.060,0.714,0.154,0.683,-0.011
1681818656921,2023-04-18T13:50:56.921,0.069,0.714,0.154,0.683,-0.015
1681818656931,2023-04-18T13:50:56.931,0.079,0.714,0.154,0.683,-0.019
1681818656941,2023-04-18T13:50:56.941,0.089,0.715,0.154,0.682,-0.023
1681818656951,2023-04-18T13:50:56.951,0.099,0.716,0.155,0.680,-0.027
1681818656962,2023-04-18T13:50:56.962,0.110,0.717,0.155,0.679,-0.030
1681818656972,2023-04-18T13:50:56.972,0.120,0.719,0.154,0.677,-0.033
1681818656981,2023-04-18T13:50:56.981,0.129,0.722,0.153,0.674,-0.035
1681818656991,2023-04-18T13:50:56.991,0.139,0.724,0.153,0.672,-0.037
1681818657001,2023-04-18T13:50:57.001,0.149,0.726,0.154,0.670,-0.039
1681818657012,2023-04-18T13:50:57.012,0.160,0.727,0.154,0.667,-0.041
1681818657022,2023-04-18T13:50:57.022,0.170,0.729,0.155,0.666,-0.043
1681818657031,2023-04-18T13:50:57.031,0.179,0.729,0.156,0.665,-0.044
1681818657041,2023-04-18T13:50:57.041,0.189,0.729,0.156,0.664,-0.045
1681818657051,2023-04-18T13:50:57.051,0.199,0.729,0.157,0.664,-0.046
1681818657061,2023-04-18T13:50:57.061,0.209,0.730,0.158,0.664,-0.047
1681818657072,2023-04-18T13:50:57.072,0.220,0.730,0.159,0.663,-0.048
1681818657082,2023-04-18T13:50:57.082,0.230,0.730,0.161,0.662,-0.049
1681818657091,2023-04-18T13:50:57.091,0.239,0.731,0.163,0.661,-0.050
1681818657101,2023-04-18T13:50:57.101,0.249,0.731,0.165,0.661,-0.051
1681818657111,2023-04-18T13:50:57.111,0.259,0.731,0.166,0.660,-0.052
1681818657121,2023-04-18T13:50:57.121,0.269,0.731,0.168,0.659,-0.053
1681818657132,2023-04-18T13:50:57.132,0.280,0.731,0.170,0.659,-0.054
1681818657140,2023-04-18T13:50:57.140,0.288,0.731,0.171,0.658,-0.055
1681818657151,2023-04-18T13:50:57.151,0.299,0.731,0.173,0.658,-0.057
1681818657161,2023-04-18T13:50:57.161,0.309,0.730,0.175,0.658,-0.058
1681818657171,2023-04-18T13:50:57.171,0.319,0.729,0.177,0.658,-0.060
1681818657181,2023-04-18T13:50:57.181,0.329,0.729,0.180,0.658,-0.063
1681818657190,2023-04-18T13:50:57.190,0.338,0.728,0.182,0.658,-0.066
1681818657201,2023-04-18T13:50:57.201,0.349,0.727,0.185,0.658,-0.069
1681818657211,2023-04-18T13:50:57.211,0.359,0.726,0.188,0.658,-0.073
1681818657221,2023-04-18T13:50:57.221,0.369,0.725,0.189,0.658,-0.077
