epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681818818346,2023-04-18T13:53:38.346,0.000,-0.018,-0.004,0.001
1681818818354,2023-04-18T13:53:38.354,0.008,-0.028,-0.006,0.003
1681818818365,2023-04-18T13:53:38.365,0.019,-0.026,-0.003,0.007
1681818818375,2023-04-18T13:53:38.375,0.029,-0.029,-0.005,0.004
1681818818385,2023-04-18T13:53:38.385,0.039,-0.029,-0.002,0.005
1681818818394,2023-04-18T13:53:38.394,0.048,-0.029,0.000,0.004
1681818818404,2023-04-18T13:53:38.404,0.058,-0.030,0.002,0.003
1681818818414,2023-04-18T13:53:38.414,0.068,-0.029,0.004,0.001
1681818818425,2023-04-18T13:53:38.425,0.079,-0.028,0.005,0.005
1681818818435,2023-04-18T13:53:38.435,0.089,-0.027,0.004,-0.002
1681818818444,2023-04-18T13:53:38.444,0.098,-0.029,0.005,-0.003
1681818818454,2023-04-18T13:53:38.454,0.108,-0.027,0.007,-0.002
1681818818464,2023-04-18T13:53:38.464,0.118,-0.029,0.009,-0.002
1681818818474,2023-04-18T13:53:38.474,0.128,-0.031,0.004,0.002
1681818818485,2023-04-18T13:53:38.485,0.139,-0.030,0.004,0.005
1681818818493,2023-04-18T13:53:38.493,0.147,-0.030,0.008,0.001
1681818818504,2023-04-18T13:53:38.504,0.158,-0.029,0.011,0.002
1681818818514,2023-04-18T13:53:38.514,0.168,-0.029,0.011,0.005
1681818818524,2023-04-18T13:53:38.524,0.178,-0.027,0.012,0.006
1681818818534,2023-04-18T13:53:38.534,0.188,-0.025,0.010,0.007
1681818818543,2023-04-18T13:53:38.543,0.197,-0.016,0.009,0.002
1681818818554,2023-04-18T13:53:38.554,0.208,-0.015,0.013,-0.004
1681818818564,2023-04-18T13:53:38.564,0.218,-0.013,0.018,-0.001
1681818818574,2023-04-18T13:53:38.574,0.228,-0.016,0.019,0.006
1681818818584,2023-04-18T13:53:38.584,0.238,-0.020,0.017,0.009
1681818818593,2023-04-18T13:53:38.593,0.247,-0.014,0.019,0.014
1681818818603,2023-04-18T13:53:38.603,0.257,-0.020,0.018,0.012
1681818818614,2023-04-18T13:53:38.614,0.268,-0.014,0.019,0.015
1681818818624,2023-04-18T13:53:38.624,0.278,-0.013,0.017,0.011
1681818818633,2023-04-18T13:53:38.633,0.287,-0.016,0.018,0.012
1681818818643,2023-04-18T13:53:38.643,0.297,-0.018,0.018,0.018
1681818818653,2023-04-18T13:53:38.653,0.307,-0.028,0.023,0.015
1681818818663,2023-04-18T13:53:38.663,0.317,-0.028,0.027,0.016
1681818818674,2023-04-18T13:53:38.674,0.328,-0.025,0.028,0.014
1681818818682,2023-04-18T13:53:38.682,0.336,-0.026,0.031,0.014
1681818818693,2023-04-18T13:53:38.693,0.347,-0.028,0.032,0.018
1681818818703,2023-04-18T13:53:38.703,0.357,-0.034,0.031,0.021
1681818818713,2023-04-18T13:53:38.713,0.367,-0.036,0.030,0.027
1681818818723,2023-04-18T13:53:38.723,0.377,-0.036,0.035,0.023
1681818818732,2023-04-18T13:53:38.732,0.386,-0.038,0.039,0.021
1681818818743,2023-04-18T13:53:38.743,0.397,-0.037,0.040,0.028
1681818818753,2023-04-18T13:53:38.753,0.407,-0.041,0.040,0.027
1681818818763,2023-04-18T13:53:38.763,0.417,-0.041,0.041,0.026
1681818818773,2023-04-18T13:53:38.773,0.427,-0.037,0.043,0.028
1681818818782,2023-04-18T13:53:38.782,0.436,-0.035,0.046,0.023
1681818818792,2023-04-18T13:53:38.792,0.446,-0.033,0.047,0.028
1681818818803,2023-04-18T13:53:38.803,0.457,-0.032,0.046,0.029
1681818818813,2023-04-18T13:53:38.813,0.467,-0.027,0.046,0.027
1681818818823,2023-04-18T13:53:38.823,0.477,-0.024,0.048,0.033
1681818818833,2023-04-18T13:53:38.833,0.487,-0.023,0.049,0.027
1681818818842,2023-04-18T13:53:38.842,0.496,-0.024,0.052,0.029
1681818818852,2023-04-18T13:53:38.852,0.506,-0.030,0.055,0.030
1681818818863,2023-04-18T13:53:38.863,0.517,-0.030,0.059,0.026
1681818818873,2023-04-18T13:53:38.873,0.527,-0.029,0.051,0.032
1681818818882,2023-04-18T13:53:38.882,0.536,-0.030,0.046,0.032
1681818818892,2023-04-18T13:53:38.892,0.546,-0.028,0.046,0.031
1681818818902,2023-04-18T13:53:38.902,0.556,-0.025,0.045,0.040
1681818818912,2023-04-18T13:53:38.912,0.566,-0.027,0.041,0.039
1681818818921,2023-04-18T13:53:38.921,0.575,-0.027,0.039,0.045
1681818818931,2023-04-18T13:53:38.931,0.585,-0.019,0.045,0.050
1681818818942,2023-04-18T13:53:38.942,0.596,-0.014,0.051,0.047
1681818818952,2023-04-18T13:53:38.952,0.606,-0.019,0.057,0.048
1681818818962,2023-04-18T13:53:38.962,0.616,-0.022,0.060,0.044
1681818818971,2023-04-18T13:53:38.971,0.625,-0.028,0.061,0.035
1681818818981,2023-04-18T13:53:38.981,0.635,-0.029,0.061,0.030
1681818818992,2023-04-18T13:53:38.992,0.646,-0.033,0.059,0.024
1681818819002,2023-04-18T13:53:39.002,0.656,-0.042,0.055,0.017
1681818819012,2023-04-18T13:53:39.012,0.666,-0.052,0.054,0.007
1681818819021,2023-04-18T13:53:39.021,0.675,-0.054,0.053,0.003
1681818819031,2023-04-18T13:53:39.031,0.685,-0.055,0.052,-0.003
1681818819041,2023-04-18T13:53:39.041,0.695,-0.048,0.051,-0.007
1681818819052,2023-04-18T13:53:39.052,0.706,-0.045,0.051,-0.005
1681818819062,2023-04-18T13:53:39.062,0.716,-0.034,0.045,-0.005
1681818819072,2023-04-18T13:53:39.072,0.726,-0.026,0.035,0.000
1681818819081,2023-04-18T13:53:39.081,0.735,-0.026,0.030,-0.002
1681818819091,2023-04-18T13:53:39.091,0.745,-0.028,0.025,0.002
1681818819101,2023-04-18T13:53:39.101,0.755,-0.022,0.021,0.002
1681818819112,2023-04-18T13:53:39.112,0.766,-0.018,0.018,-0.000
1681818819120,2023-04-18T13:53:39.120,0.774,-0.017,0.014,-0.002
1681818819131,2023-04-18T13:53:39.131,0.785,-0.019,0.006,-0.008
1681818819141,2023-04-18T13:53:39.141,0.795,-0.023,0.001,-0.013
1681818819151,2023-04-18T13:53:39.151,0.805,-0.026,-0.002,-0.018
1681818819160,2023-04-18T13:53:39.160,0.814,-0.030,-0.002,-0.023
1681818819170,2023-04-18T13:53:39.170,0.824,-0.029,-0.005,-0.020
1681818819180,2023-04-18T13:53:39.180,0.834,-0.028,-0.009,-0.023
1681818819191,2023-04-18T13:53:39.191,0.845,-0.026,-0.017,-0.022
1681818819201,2023-04-18T13:53:39.201,0.855,-0.022,-0.017,-0.021
1681818819210,2023-04-18T13:53:39.210,0.864,-0.021,-0.020,-0.030
