epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681819465675,2023-04-18T14:04:25.675,0.000,0.822,-0.168,0.544,0.000
1681819465685,2023-04-18T14:04:25.685,0.010,0.822,-0.168,0.544,0.000
1681819465695,2023-04-18T14:04:25.695,0.020,0.822,-0.168,0.544,0.000
1681819465705,2023-04-18T14:04:25.705,0.030,0.822,-0.168,0.544,0.000
1681819465716,2023-04-18T14:04:25.716,0.041,0.822,-0.168,0.544,0.000
1681819465724,2023-04-18T14:04:25.724,0.049,0.822,-0.168,0.544,0.000
1681819465735,2023-04-18T14:04:25.735,0.060,0.822,-0.168,0.544,0.000
1681819465745,2023-04-18T14:04:25.745,0.070,0.822,-0.168,0.544,0.000
1681819465755,2023-04-18T14:04:25.755,0.080,0.822,-0.168,0.544,0.000
1681819465765,2023-04-18T14:04:25.765,0.090,0.822,-0.168,0.544,0.000
1681819465774,2023-04-18T14:04:25.774,0.099,0.822,-0.168,0.544,0.000
1681819465784,2023-04-18T14:04:25.784,0.109,0.822,-0.168,0.544,0.000
1681819465795,2023-04-18T14:04:25.795,0.120,0.823,-0.168,0.543,0.000
1681819465805,2023-04-18T14:04:25.805,0.130,0.823,-0.168,0.543,0.000
1681819465815,2023-04-18T14:04:25.815,0.140,0.823,-0.168,0.543,0.000
1681819465824,2023-04-18T14:04:25.824,0.149,0.823,-0.168,0.543,0.000
1681819465834,2023-04-18T14:04:25.834,0.159,0.823,-0.168,0.543,0.000
1681819465845,2023-04-18T14:04:25.845,0.170,0.823,-0.168,0.543,0.000
1681819465855,2023-04-18T14:04:25.855,0.180,0.823,-0.168,0.543,0.000
1681819465865,2023-04-18T14:04:25.865,0.190,0.823,-0.168,0.543,0.000
1681819465874,2023-04-18T14:04:25.874,0.199,0.823,-0.168,0.543,0.000
1681819465884,2023-04-18T14:04:25.884,0.209,0.823,-0.168,0.543,0.000
1681819465894,2023-04-18T14:04:25.894,0.219,0.823,-0.168,0.543,0.000
1681819465905,2023-04-18T14:04:25.905,0.230,0.823,-0.168,0.543,0.000
1681819465913,2023-04-18T14:04:25.913,0.238,0.823,-0.168,0.543,0.000
1681819465924,2023-04-18T14:04:25.924,0.249,0.823,-0.168,0.543,0.000
1681819465934,2023-04-18T14:04:25.934,0.259,0.823,-0.168,0.543,0.000
1681819465944,2023-04-18T14:04:25.944,0.269,0.823,-0.168,0.543,0.000
1681819465954,2023-04-18T14:04:25.954,0.279,0.823,-0.168,0.543,0.000
1681819465963,2023-04-18T14:04:25.963,0.288,0.823,-0.168,0.543,0.000
1681819465973,2023-04-18T14:04:25.973,0.298,0.823,-0.168,0.543,0.001
1681819465984,2023-04-18T14:04:25.984,0.309,0.823,-0.168,0.543,0.001
1681819465994,2023-04-18T14:04:25.994,0.319,0.823,-0.168,0.543,0.001
1681819466004,2023-04-18T14:04:26.004,0.329,0.823,-0.168,0.543,0.001
1681819466013,2023-04-18T14:04:26.013,0.338,0.823,-0.168,0.543,0.001
1681819466023,2023-04-18T14:04:26.023,0.348,0.823,-0.168,0.543,0.001
1681819466033,2023-04-18T14:04:26.033,0.358,0.823,-0.168,0.543,0.001
