epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681820002119,2023-04-18T14:13:22.119,0.000,0.798,0.097,0.595,0.000
1681820002129,2023-04-18T14:13:22.129,0.010,0.798,0.097,0.595,0.000
1681820002138,2023-04-18T14:13:22.138,0.019,0.798,0.097,0.595,0.000
1681820002148,2023-04-18T14:13:22.148,0.029,0.798,0.097,0.595,0.000
1681820002158,2023-04-18T14:13:22.158,0.039,0.798,0.097,0.595,0.000
1681820002169,2023-04-18T14:13:22.169,0.050,0.798,0.097,0.595,0.000
1681820002179,2023-04-18T14:13:22.179,0.060,0.798,0.097,0.595,0.000
1681820002188,2023-04-18T14:13:22.188,0.069,0.798,0.097,0.595,-0.000
1681820002198,2023-04-18T14:13:22.198,0.079,0.798,0.097,0.595,-0.000
1681820002208,2023-04-18T14:13:22.208,0.089,0.798,0.097,0.595,-0.000
1681820002219,2023-04-18T14:13:22.219,0.100,0.798,0.097,0.595,-0.000
1681820002229,2023-04-18T14:13:22.229,0.110,0.798,0.097,0.595,-0.000
1681820002238,2023-04-18T14:13:22.238,0.119,0.798,0.097,0.594,-0.000
1681820002248,2023-04-18T14:13:22.248,0.129,0.798,0.097,0.594,-0.000
1681820002258,2023-04-18T14:13:22.258,0.139,0.798,0.097,0.594,-0.000
1681820002268,2023-04-18T14:13:22.268,0.149,0.798,0.097,0.594,-0.000
1681820002279,2023-04-18T14:13:22.279,0.160,0.798,0.097,0.594,-0.000
1681820002289,2023-04-18T14:13:22.289,0.170,0.798,0.097,0.594,-0.000
1681820002298,2023-04-18T14:13:22.298,0.179,0.798,0.097,0.594,-0.000
1681820002308,2023-04-18T14:13:22.308,0.189,0.798,0.097,0.594,-0.000
1681820002318,2023-04-18T14:13:22.318,0.199,0.798,0.097,0.594,-0.000
1681820002328,2023-04-18T14:13:22.328,0.209,0.798,0.097,0.594,-0.000
1681820002339,2023-04-18T14:13:22.339,0.220,0.798,0.097,0.594,-0.000
1681820002347,2023-04-18T14:13:22.347,0.228,0.798,0.097,0.594,-0.000
1681820002358,2023-04-18T14:13:22.358,0.239,0.798,0.097,0.594,-0.000
1681820002368,2023-04-18T14:13:22.368,0.249,0.798,0.097,0.594,-0.000
1681820002378,2023-04-18T14:13:22.378,0.259,0.798,0.097,0.594,-0.000
1681820002388,2023-04-18T14:13:22.388,0.269,0.798,0.097,0.594,-0.001
1681820002399,2023-04-18T14:13:22.399,0.280,0.798,0.097,0.594,-0.001
1681820002408,2023-04-18T14:13:22.408,0.289,0.798,0.097,0.594,-0.001
1681820002418,2023-04-18T14:13:22.418,0.299,0.799,0.097,0.594,-0.001
1681820002428,2023-04-18T14:13:22.428,0.309,0.799,0.097,0.594,-0.000
1681820002438,2023-04-18T14:13:22.438,0.319,0.799,0.097,0.594,-0.000
1681820002449,2023-04-18T14:13:22.449,0.330,0.799,0.097,0.594,-0.000
1681820002457,2023-04-18T14:13:22.457,0.338,0.799,0.097,0.594,-0.000
1681820002468,2023-04-18T14:13:22.468,0.349,0.799,0.097,0.594,-0.000
1681820002478,2023-04-18T14:13:22.478,0.359,0.799,0.097,0.594,-0.000
1681820002488,2023-04-18T14:13:22.488,0.369,0.799,0.097,0.594,-0.000
1681820002498,2023-04-18T14:13:22.498,0.379,0.799,0.097,0.594,0.000
1681820002509,2023-04-18T14:13:22.509,0.390,0.799,0.097,0.594,0.000
1681820002517,2023-04-18T14:13:22.517,0.398,0.799,0.097,0.594,0.000
1681820002528,2023-04-18T14:13:22.528,0.409,0.799,0.096,0.594,0.000
1681820002538,2023-04-18T14:13:22.538,0.419,0.799,0.096,0.594,0.001
1681820002548,2023-04-18T14:13:22.548,0.429,0.799,0.096,0.594,0.001
1681820002558,2023-04-18T14:13:22.558,0.439,0.799,0.096,0.594,0.001
1681820002567,2023-04-18T14:13:22.567,0.448,0.799,0.096,0.594,0.001
1681820002577,2023-04-18T14:13:22.577,0.458,0.799,0.096,0.594,0.001
1681820002588,2023-04-18T14:13:22.588,0.469,0.799,0.096,0.594,0.002
1681820002598,2023-04-18T14:13:22.598,0.479,0.799,0.096,0.594,0.002
1681820002608,2023-04-18T14:13:22.608,0.489,0.799,0.096,0.594,0.002
1681820002617,2023-04-18T14:13:22.617,0.498,0.799,0.095,0.594,0.002
1681820002627,2023-04-18T14:13:22.627,0.508,0.799,0.095,0.594,0.002
1681820002637,2023-04-18T14:13:22.637,0.518,0.799,0.095,0.594,0.003
1681820002648,2023-04-18T14:13:22.648,0.529,0.799,0.095,0.594,0.003
1681820002658,2023-04-18T14:13:22.658,0.539,0.799,0.094,0.594,0.003
1681820002668,2023-04-18T14:13:22.668,0.549,0.799,0.094,0.594,0.003
1681820002677,2023-04-18T14:13:22.677,0.558,0.799,0.094,0.594,0.004
1681820002687,2023-04-18T14:13:22.687,0.568,0.799,0.094,0.594,0.004
1681820002698,2023-04-18T14:13:22.698,0.579,0.799,0.093,0.594,0.004
1681820002708,2023-04-18T14:13:22.708,0.589,0.799,0.093,0.594,0.004
1681820002718,2023-04-18T14:13:22.718,0.599,0.799,0.093,0.594,0.004
1681820002727,2023-04-18T14:13:22.727,0.608,0.799,0.093,0.594,0.004
1681820002737,2023-04-18T14:13:22.737,0.618,0.799,0.092,0.594,0.005
1681820002747,2023-04-18T14:13:22.747,0.628,0.799,0.092,0.594,0.005
1681820002758,2023-04-18T14:13:22.758,0.639,0.799,0.092,0.594,0.005
1681820002768,2023-04-18T14:13:22.768,0.649,0.800,0.092,0.594,0.005
1681820002778,2023-04-18T14:13:22.778,0.659,0.800,0.092,0.594,0.006
