epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681820077758,2023-04-18T14:14:37.758,0.000,0.033,-0.011,-0.017
1681820077769,2023-04-18T14:14:37.769,0.011,0.018,0.030,0.044
1681820077778,2023-04-18T14:14:37.778,0.020,-0.005,0.014,0.016
1681820077788,2023-04-18T14:14:37.788,0.030,0.009,0.002,0.003
1681820077798,2023-04-18T14:14:37.798,0.040,0.025,0.005,0.023
1681820077808,2023-04-18T14:14:37.808,0.050,0.018,-0.003,0.008
1681820077819,2023-04-18T14:14:37.819,0.061,0.009,-0.003,-0.001
1681820077827,2023-04-18T14:14:37.827,0.069,-0.000,0.005,0.019
1681820077838,2023-04-18T14:14:37.838,0.080,-0.011,0.001,0.024
1681820077848,2023-04-18T14:14:37.848,0.090,-0.020,0.004,0.026
1681820077858,2023-04-18T14:14:37.858,0.100,-0.020,0.005,0.033
1681820077868,2023-04-18T14:14:37.868,0.110,-0.017,0.006,0.030
1681820077879,2023-04-18T14:14:37.879,0.121,-0.016,0.005,0.028
1681820077887,2023-04-18T14:14:37.887,0.129,-0.016,0.005,0.034
1681820077898,2023-04-18T14:14:37.898,0.140,-0.031,-0.002,0.042
1681820077908,2023-04-18T14:14:37.908,0.150,-0.042,0.003,0.052
1681820077918,2023-04-18T14:14:37.918,0.160,-0.040,0.018,0.038
1681820077928,2023-04-18T14:14:37.928,0.170,-0.026,0.029,0.039
1681820077937,2023-04-18T14:14:37.937,0.179,-0.015,0.034,0.057
1681820077947,2023-04-18T14:14:37.947,0.189,-0.013,0.026,0.071
1681820077958,2023-04-18T14:14:37.958,0.200,-0.010,0.013,0.048
1681820077968,2023-04-18T14:14:37.968,0.210,0.002,0.011,0.028
1681820077978,2023-04-18T14:14:37.978,0.220,0.011,0.013,0.038
1681820077988,2023-04-18T14:14:37.988,0.230,-0.001,0.010,0.035
1681820077997,2023-04-18T14:14:37.997,0.239,0.007,0.013,-0.005
1681820078008,2023-04-18T14:14:38.008,0.250,0.030,0.023,0.005
1681820078018,2023-04-18T14:14:38.018,0.260,0.007,0.024,0.031
1681820078028,2023-04-18T14:14:38.028,0.270,-0.003,0.021,0.000
1681820078038,2023-04-18T14:14:38.038,0.280,0.024,0.030,-0.011
1681820078047,2023-04-18T14:14:38.047,0.289,0.033,0.029,-0.011
1681820078057,2023-04-18T14:14:38.057,0.299,0.009,0.033,-0.003
