epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1679390577025,2023-03-21T10.22.57.025,0.000,-1.008,0.013,0.083
1679390577065,2023-03-21T10.22.57.065,0.040,-1.014,0.016,0.086
1679390577104,2023-03-21T10.22.57.104,0.079,-1.012,0.016,0.087
1679390577145,2023-03-21T10.22.57.145,0.120,-1.012,0.015,0.083
1679390577185,2023-03-21T10.22.57.185,0.160,-1.010,0.013,0.081
1679390577224,2023-03-21T10.22.57.224,0.199,-1.013,0.014,0.086
1679390577264,2023-03-21T10.22.57.264,0.239,-1.017,0.023,0.094
1679390577304,2023-03-21T10.22.57.304,0.279,-1.013,0.024,0.087
1679390577343,2023-03-21T10.22.57.343,0.318,-1.011,0.012,0.081
1679390577384,2023-03-21T10.22.57.384,0.359,-1.013,0.010,0.083
1679390577424,2023-03-21T10.22.57.424,0.399,-1.011,0.018,0.087
1679390577463,2023-03-21T10.22.57.463,0.438,-1.011,0.018,0.087
1679390577503,2023-03-21T10.22.57.503,0.478,-1.015,0.019,0.083
1679390577542,2023-03-21T10.22.57.542,0.517,-1.015,0.019,0.086
1679390577582,2023-03-21T10.22.57.582,0.557,-1.014,0.021,0.092
1679390577623,2023-03-21T10.22.57.623,0.598,-1.011,0.019,0.086
1679390577662,2023-03-21T10.22.57.662,0.637,-1.013,0.013,0.079
1679390577702,2023-03-21T10.22.57.702,0.677,-1.012,0.012,0.084
1679390577742,2023-03-21T10.22.57.742,0.717,-1.010,0.019,0.085
1679390577781,2023-03-21T10.22.57.781,0.756,-1.015,0.024,0.089
1679390577821,2023-03-21T10.22.57.821,0.796,-1.016,0.021,0.087
1679390577862,2023-03-21T10.22.57.862,0.837,-1.014,0.021,0.083
1679390577901,2023-03-21T10.22.57.901,0.876,-1.012,0.017,0.082
1679390577941,2023-03-21T10.22.57.941,0.916,-1.011,0.015,0.083
1679390577980,2023-03-21T10.22.57.980,0.955,-1.011,0.019,0.085
1679390578020,2023-03-21T10.22.58.020,0.995,-1.013,0.021,0.083
1679390578059,2023-03-21T10.22.58.059,1.034,-1.015,0.021,0.084
1679390578100,2023-03-21T10.22.58.100,1.075,-1.015,0.021,0.088
1679390578140,2023-03-21T10.22.58.140,1.115,-1.012,0.027,0.085
1679390578180,2023-03-21T10.22.58.180,1.155,-1.011,0.020,0.085
1679390578219,2023-03-21T10.22.58.219,1.194,-1.012,0.016,0.080
1679390578259,2023-03-21T10.22.58.259,1.234,-1.011,0.018,0.079
1679390578298,2023-03-21T10.22.58.298,1.273,-1.012,0.018,0.085
1679390578339,2023-03-21T10.22.58.339,1.314,-1.014,0.025,0.089
1679390578379,2023-03-21T10.22.58.379,1.354,-1.014,0.029,0.091
1679390578418,2023-03-21T10.22.58.418,1.393,-1.014,0.021,0.081
1679390578458,2023-03-21T10.22.58.458,1.433,-1.013,0.011,0.077
1679390578497,2023-03-21T10.22.58.497,1.472,-1.011,0.017,0.084
1679390578537,2023-03-21T10.22.58.537,1.512,-1.011,0.022,0.087
1679390578578,2023-03-21T10.22.58.578,1.553,-1.014,0.021,0.084
1679390578617,2023-03-21T10.22.58.617,1.592,-1.015,0.023,0.081
1679390578657,2023-03-21T10.22.58.657,1.632,-1.015,0.023,0.083
1679390578697,2023-03-21T10.22.58.697,1.672,-1.012,0.023,0.087
1679390578736,2023-03-21T10.22.58.736,1.711,-1.011,0.019,0.085
1679390578776,2023-03-21T10.22.58.776,1.751,-1.012,0.017,0.079
1679390578817,2023-03-21T10.22.58.817,1.792,-1.011,0.018,0.080
1679390578856,2023-03-21T10.22.58.856,1.831,-1.014,0.019,0.082
1679390578896,2023-03-21T10.22.58.896,1.871,-1.015,0.024,0.085
1679390578935,2023-03-21T10.22.58.935,1.910,-1.014,0.026,0.088
1679390578975,2023-03-21T10.22.58.975,1.950,-1.012,0.022,0.086
1679390579014,2023-03-21T10.22.59.014,1.989,-1.012,0.018,0.077
1679390579055,2023-03-21T10.22.59.055,2.030,-1.012,0.016,0.078
1679390579095,2023-03-21T10.22.59.095,2.070,-1.010,0.020,0.084
1679390579135,2023-03-21T10.22.59.135,2.110,-1.013,0.023,0.083
1679390579174,2023-03-21T10.22.59.174,2.149,-1.015,0.024,0.086
1679390579215,2023-03-21T10.22.59.215,2.190,-1.014,0.024,0.088
1679390579253,2023-03-21T10.22.59.253,2.228,-1.012,0.021,0.083
1679390579294,2023-03-21T10.22.59.294,2.269,-1.012,0.017,0.082
1679390579334,2023-03-21T10.22.59.334,2.309,-1.011,0.020,0.083
1679390579373,2023-03-21T10.22.59.373,2.348,-1.011,0.020,0.083
1679390579413,2023-03-21T10.22.59.413,2.388,-1.014,0.021,0.086
1679390579452,2023-03-21T10.22.59.452,2.427,-1.014,0.026,0.086
1679390579493,2023-03-21T10.22.59.493,2.468,-1.014,0.023,0.086
1679390579533,2023-03-21T10.22.59.533,2.508,-1.012,0.020,0.083
1679390579573,2023-03-21T10.22.59.573,2.548,-1.013,0.018,0.082
1679390579612,2023-03-21T10.22.59.612,2.587,-1.012,0.018,0.082
1679390579652,2023-03-21T10.22.59.652,2.627,-1.011,0.020,0.084
1679390579691,2023-03-21T10.22.59.691,2.666,-1.013,0.021,0.085
1679390579732,2023-03-21T10.22.59.732,2.707,-1.015,0.022,0.088
1679390579772,2023-03-21T10.22.59.772,2.747,-1.013,0.024,0.087
1679390579811,2023-03-21T10.22.59.811,2.786,-1.012,0.017,0.083
1679390579851,2023-03-21T10.22.59.851,2.826,-1.012,0.013,0.083
1679390579890,2023-03-21T10.22.59.890,2.865,-1.012,0.016,0.083
1679390579930,2023-03-21T10.22.59.930,2.905,-1.011,0.013,0.084
1679390579971,2023-03-21T10.22.59.971,2.946,-1.015,0.017,0.085
1679390580011,2023-03-21T10.23.00.011,2.986,-1.016,0.024,0.085
1679390580050,2023-03-21T10.23.00.050,3.025,-1.014,0.020,0.090
1679390580090,2023-03-21T10.23.00.090,3.065,-1.011,0.016,0.086
1679390580129,2023-03-21T10.23.00.129,3.104,-1.012,0.013,0.082
1679390580169,2023-03-21T10.23.00.169,3.144,-1.012,0.012,0.084
1679390580210,2023-03-21T10.23.00.210,3.185,-1.011,0.014,0.086
1679390580249,2023-03-21T10.23.00.249,3.224,-1.014,0.018,0.087
1679390580289,2023-03-21T10.23.00.289,3.264,-1.016,0.019,0.089
1679390580328,2023-03-21T10.23.00.328,3.303,-1.013,0.019,0.086
1679390580368,2023-03-21T10.23.00.368,3.343,-1.012,0.013,0.087
1679390580408,2023-03-21T10.23.00.408,3.383,-1.013,0.013,0.083
1679390580449,2023-03-21T10.23.00.449,3.424,-1.011,0.013,0.083
1679390580488,2023-03-21T10.23.00.488,3.463,-1.011,0.012,0.084
1679390580528,2023-03-21T10.23.00.528,3.503,-1.014,0.016,0.084
1679390580567,2023-03-21T10.23.00.567,3.542,-1.016,0.020,0.089
1679390580607,2023-03-21T10.23.00.607,3.582,-1.013,0.020,0.093
1679390580646,2023-03-21T10.23.00.646,3.621,-1.011,0.014,0.089
1679390580687,2023-03-21T10.23.00.687,3.662,-1.013,0.009,0.082
1679390580727,2023-03-21T10.23.00.727,3.702,-1.011,0.012,0.079
1679390580766,2023-03-21T10.23.00.766,3.741,-1.013,0.016,0.087
1679390580806,2023-03-21T10.23.00.806,3.781,-1.019,0.019,0.091
1679390580846,2023-03-21T10.23.00.846,3.821,-1.023,0.021,0.096
1679390580885,2023-03-21T10.23.00.885,3.860,-1.012,0.025,0.083
1679390580926,2023-03-21T10.23.00.926,3.901,-1.010,0.013,0.082
1679390580966,2023-03-21T10.23.00.966,3.941,-1.001,0.001,0.075
1679390581005,2023-03-21T10.23.01.005,3.980,-1.016,0.007,0.080
1679390581045,2023-03-21T10.23.01.045,4.020,-1.016,0.023,0.094
1679390581084,2023-03-21T10.23.01.084,4.059,-1.008,0.037,0.114
1679390581124,2023-03-21T10.23.01.124,4.099,-1.018,0.010,0.097
1679390581165,2023-03-21T10.23.01.165,4.140,-1.011,0.000,0.054
1679390581204,2023-03-21T10.23.01.204,4.179,-1.014,0.001,0.091
1679390581244,2023-03-21T10.23.01.244,4.219,-1.011,0.030,0.098
1679390581284,2023-03-21T10.23.01.284,4.259,-1.014,0.026,0.092
1679390581323,2023-03-21T10.23.01.323,4.298,-1.010,0.004,0.089
1679390581363,2023-03-21T10.23.01.363,4.338,-1.013,0.009,0.085
1679390581404,2023-03-21T10.23.01.404,4.379,-1.013,0.017,0.086
1679390581443,2023-03-21T10.23.01.443,4.418,-1.015,0.022,0.093
1679390581483,2023-03-21T10.23.01.483,4.458,-1.014,0.022,0.095
1679390581522,2023-03-21T10.23.01.522,4.497,-1.012,0.014,0.092
1679390581562,2023-03-21T10.23.01.562,4.537,-1.013,0.010,0.093
1679390581601,2023-03-21T10.23.01.601,4.576,-1.011,0.010,0.097
1679390581642,2023-03-21T10.23.01.642,4.617,-1.014,0.001,0.096
1679390581682,2023-03-21T10.23.01.682,4.657,-1.015,0.001,0.099
1679390581722,2023-03-21T10.23.01.722,4.697,-1.016,0.005,0.099
1679390581761,2023-03-21T10.23.01.761,4.736,-1.015,-0.013,0.098
1679390581801,2023-03-21T10.23.01.801,4.776,-1.010,-0.011,0.108
1679390581840,2023-03-21T10.23.01.840,4.815,-1.009,-0.035,0.099
1679390581881,2023-03-21T10.23.01.881,4.856,-1.010,-0.014,0.105
1679390581921,2023-03-21T10.23.01.921,4.896,-1.014,0.008,0.090
1679390581960,2023-03-21T10.23.01.960,4.935,-1.015,0.016,0.086
1679390582000,2023-03-21T10.23.02.000,4.975,-1.012,0.012,0.113
