epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680004195482,2023-03-28T13.49.55.482,0.000,-0.987,-0.148,0.059
1680004195490,2023-03-28T13.49.55.490,0.008,-0.987,-0.148,0.059
1680004195501,2023-03-28T13.49.55.501,0.019,-0.987,-0.149,0.056
1680004195511,2023-03-28T13.49.55.511,0.029,-0.987,-0.149,0.054
1680004195521,2023-03-28T13.49.55.521,0.039,-0.988,-0.149,0.050
1680004195531,2023-03-28T13.49.55.531,0.049,-0.988,-0.150,0.047
1680004195540,2023-03-28T13.49.55.540,0.058,-0.988,-0.150,0.044
1680004195550,2023-03-28T13.49.55.550,0.068,-0.988,-0.151,0.041
1680004195561,2023-03-28T13.49.55.561,0.079,-0.988,-0.151,0.040
1680004195571,2023-03-28T13.49.55.571,0.089,-0.988,-0.151,0.038
1680004195581,2023-03-28T13.49.55.581,0.099,-0.988,-0.151,0.036
1680004195590,2023-03-28T13.49.55.590,0.108,-0.988,-0.149,0.034
1680004195600,2023-03-28T13.49.55.600,0.118,-0.989,-0.147,0.031
1680004195610,2023-03-28T13.49.55.610,0.128,-0.989,-0.145,0.027
1680004195621,2023-03-28T13.49.55.621,0.139,-0.990,-0.142,0.024
1680004195631,2023-03-28T13.49.55.631,0.149,-0.990,-0.138,0.021
1680004195640,2023-03-28T13.49.55.640,0.158,-0.991,-0.133,0.018
1680004195650,2023-03-28T13.49.55.650,0.168,-0.992,-0.129,0.016
1680004195660,2023-03-28T13.49.55.660,0.178,-0.992,-0.124,0.014
1680004195671,2023-03-28T13.49.55.671,0.189,-0.993,-0.118,0.012
1680004195681,2023-03-28T13.49.55.681,0.199,-0.994,-0.113,0.010
1680004195690,2023-03-28T13.49.55.690,0.208,-0.994,-0.108,0.009
1680004195700,2023-03-28T13.49.55.700,0.218,-0.995,-0.103,0.008
1680004195710,2023-03-28T13.49.55.710,0.228,-0.995,-0.100,0.007
1680004195720,2023-03-28T13.49.55.720,0.238,-0.995,-0.096,0.007
1680004195731,2023-03-28T13.49.55.731,0.249,-0.996,-0.094,0.007
1680004195739,2023-03-28T13.49.55.739,0.257,-0.996,-0.093,0.007
1680004195750,2023-03-28T13.49.55.750,0.268,-0.996,-0.092,0.008
1680004195760,2023-03-28T13.49.55.760,0.278,-0.996,-0.093,0.010
1680004195770,2023-03-28T13.49.55.770,0.288,-0.996,-0.093,0.013
1680004195779,2023-03-28T13.49.55.779,0.297,-0.995,-0.095,0.016
1680004195789,2023-03-28T13.49.55.789,0.307,-0.995,-0.097,0.020
1680004195799,2023-03-28T13.49.55.799,0.317,-0.995,-0.100,0.024
1680004195810,2023-03-28T13.49.55.810,0.328,-0.994,-0.102,0.029
1680004195820,2023-03-28T13.49.55.820,0.338,-0.994,-0.104,0.033
1680004195829,2023-03-28T13.49.55.829,0.347,-0.994,-0.106,0.036
1680004195839,2023-03-28T13.49.55.839,0.357,-0.994,-0.106,0.039
1680004195849,2023-03-28T13.49.55.849,0.367,-0.994,-0.105,0.041
1680004195860,2023-03-28T13.49.55.860,0.378,-0.994,-0.104,0.042
1680004195870,2023-03-28T13.49.55.870,0.388,-0.994,-0.101,0.041
1680004195879,2023-03-28T13.49.55.879,0.397,-0.994,-0.099,0.039
1680004195889,2023-03-28T13.49.55.889,0.407,-0.995,-0.096,0.036
1680004195899,2023-03-28T13.49.55.899,0.417,-0.995,-0.093,0.033
1680004195909,2023-03-28T13.49.55.909,0.427,-0.995,-0.090,0.031
1680004195920,2023-03-28T13.49.55.920,0.438,-0.996,-0.087,0.028
1680004195930,2023-03-28T13.49.55.930,0.448,-0.996,-0.085,0.026
1680004195939,2023-03-28T13.49.55.939,0.457,-0.996,-0.082,0.023
1680004195949,2023-03-28T13.49.55.949,0.467,-0.997,-0.080,0.021
1680004195959,2023-03-28T13.49.55.959,0.477,-0.997,-0.078,0.019
1680004195969,2023-03-28T13.49.55.969,0.487,-0.997,-0.076,0.017
1680004195978,2023-03-28T13.49.55.978,0.496,-0.997,-0.075,0.015
1680004195988,2023-03-28T13.49.55.988,0.506,-0.997,-0.073,0.013
1680004195999,2023-03-28T13.49.55.999,0.517,-0.997,-0.073,0.012
1680004196009,2023-03-28T13.49.56.009,0.527,-0.997,-0.072,0.011
1680004196019,2023-03-28T13.49.56.019,0.537,-0.997,-0.072,0.009
1680004196028,2023-03-28T13.49.56.028,0.546,-0.997,-0.071,0.008
1680004196038,2023-03-28T13.49.56.038,0.556,-0.997,-0.071,0.007
1680004196048,2023-03-28T13.49.56.048,0.566,-0.997,-0.071,0.007
1680004196059,2023-03-28T13.49.56.059,0.577,-0.998,-0.070,0.006
1680004196069,2023-03-28T13.49.56.069,0.587,-0.998,-0.070,0.006
1680004196078,2023-03-28T13.49.56.078,0.596,-0.998,-0.070,0.005
1680004196088,2023-03-28T13.49.56.088,0.606,-0.998,-0.070,0.005
1680004196098,2023-03-28T13.49.56.098,0.616,-0.997,-0.071,0.006
1680004196109,2023-03-28T13.49.56.109,0.627,-0.997,-0.072,0.006
1680004196117,2023-03-28T13.49.56.117,0.635,-0.997,-0.073,0.007
1680004196128,2023-03-28T13.49.56.128,0.646,-0.997,-0.075,0.008
1680004196138,2023-03-28T13.49.56.138,0.656,-0.997,-0.077,0.009
1680004196148,2023-03-28T13.49.56.148,0.666,-0.997,-0.079,0.010
1680004196158,2023-03-28T13.49.56.158,0.676,-0.997,-0.082,0.012
1680004196167,2023-03-28T13.49.56.167,0.685,-0.996,-0.085,0.014
1680004196179,2023-03-28T13.49.56.179,0.697,-0.996,-0.084,0.020
1680004196188,2023-03-28T13.49.56.188,0.706,-0.996,-0.082,0.027
1680004196198,2023-03-28T13.49.56.198,0.716,-0.996,-0.081,0.033
1680004196208,2023-03-28T13.49.56.208,0.726,-0.996,-0.080,0.039
1680004196217,2023-03-28T13.49.56.217,0.735,-0.996,-0.079,0.044
1680004196227,2023-03-28T13.49.56.227,0.745,-0.996,-0.078,0.049
1680004196237,2023-03-28T13.49.56.237,0.755,-0.995,-0.082,0.050
1680004196248,2023-03-28T13.49.56.248,0.766,-0.995,-0.086,0.050
1680004196258,2023-03-28T13.49.56.258,0.776,-0.995,-0.089,0.051
1680004196267,2023-03-28T13.49.56.267,0.785,-0.995,-0.091,0.051
1680004196277,2023-03-28T13.49.56.277,0.795,-0.994,-0.093,0.050
1680004196287,2023-03-28T13.49.56.287,0.805,-0.994,-0.093,0.050
1680004196297,2023-03-28T13.49.56.297,0.815,-0.994,-0.094,0.049
1680004196308,2023-03-28T13.49.56.308,0.826,-0.994,-0.093,0.047
1680004196317,2023-03-28T13.49.56.317,0.835,-0.995,-0.093,0.046
1680004196327,2023-03-28T13.49.56.327,0.845,-0.995,-0.092,0.044
1680004196337,2023-03-28T13.49.56.337,0.855,-0.995,-0.090,0.044
1680004196347,2023-03-28T13.49.56.347,0.865,-0.995,-0.089,0.043
1680004196358,2023-03-28T13.49.56.358,0.876,-0.995,-0.087,0.044
1680004196366,2023-03-28T13.49.56.366,0.884,-0.995,-0.085,0.044
1680004196377,2023-03-28T13.49.56.377,0.895,-0.996,-0.083,0.044
1680004196387,2023-03-28T13.49.56.387,0.905,-0.996,-0.080,0.045
1680004196397,2023-03-28T13.49.56.397,0.915,-0.996,-0.077,0.046
1680004196407,2023-03-28T13.49.56.407,0.925,-0.996,-0.074,0.049
1680004196418,2023-03-28T13.49.56.418,0.936,-0.996,-0.070,0.052
1680004196426,2023-03-28T13.49.56.426,0.944,-0.996,-0.067,0.057
1680004196437,2023-03-28T13.49.56.437,0.955,-0.996,-0.063,0.063
1680004196447,2023-03-28T13.49.56.447,0.965,-0.996,-0.060,0.068
1680004196457,2023-03-28T13.49.56.457,0.975,-0.996,-0.057,0.073
1680004196466,2023-03-28T13.49.56.466,0.984,-0.995,-0.054,0.078
1680004196476,2023-03-28T13.49.56.476,0.994,-0.995,-0.052,0.083
1680004196486,2023-03-28T13.49.56.486,1.004,-0.995,-0.051,0.088
1680004196497,2023-03-28T13.49.56.497,1.015,-0.994,-0.050,0.093
1680004196506,2023-03-28T13.49.56.506,1.024,-0.994,-0.050,0.098
1680004196516,2023-03-28T13.49.56.516,1.034,-0.993,-0.051,0.103
1680004196526,2023-03-28T13.49.56.526,1.044,-0.993,-0.052,0.107
1680004196536,2023-03-28T13.49.56.536,1.054,-0.992,-0.053,0.111
1680004196547,2023-03-28T13.49.56.547,1.065,-0.992,-0.055,0.115
1680004196555,2023-03-28T13.49.56.555,1.073,-0.991,-0.058,0.119
1680004196566,2023-03-28T13.49.56.566,1.084,-0.991,-0.060,0.123
1680004196576,2023-03-28T13.49.56.576,1.094,-0.990,-0.063,0.126
1680004196586,2023-03-28T13.49.56.586,1.104,-0.989,-0.065,0.130
1680004196596,2023-03-28T13.49.56.596,1.114,-0.989,-0.068,0.133
1680004196605,2023-03-28T13.49.56.605,1.123,-0.988,-0.070,0.135
1680004196615,2023-03-28T13.49.56.615,1.133,-0.988,-0.072,0.137
1680004196626,2023-03-28T13.49.56.626,1.144,-0.988,-0.073,0.139
1680004196636,2023-03-28T13.49.56.636,1.154,-0.987,-0.074,0.140
1680004196646,2023-03-28T13.49.56.646,1.164,-0.987,-0.074,0.141
1680004196656,2023-03-28T13.49.56.656,1.174,-0.987,-0.074,0.143
1680004196665,2023-03-28T13.49.56.665,1.183,-0.987,-0.074,0.144
1680004196675,2023-03-28T13.49.56.675,1.193,-0.987,-0.074,0.145
1680004196686,2023-03-28T13.49.56.686,1.204,-0.987,-0.073,0.145
1680004196696,2023-03-28T13.49.56.696,1.214,-0.987,-0.072,0.146
1680004196705,2023-03-28T13.49.56.705,1.223,-0.987,-0.071,0.146
1680004196715,2023-03-28T13.49.56.715,1.233,-0.987,-0.070,0.147
