epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679390576946,2023-03-21T10.22.56.946,0.000,0.122,0.732,-0.183
1679390576986,2023-03-21T10.22.56.986,0.040,0.549,0.061,-0.610
1679390577025,2023-03-21T10.22.57.025,0.079,0.793,0.488,-1.037
1679390577065,2023-03-21T10.22.57.065,0.119,-0.122,-0.610,1.098
1679390577104,2023-03-21T10.22.57.104,0.158,0.122,-1.220,0.488
1679390577145,2023-03-21T10.22.57.145,0.199,0.244,-0.061,-0.122
1679390577185,2023-03-21T10.22.57.185,0.239,0.427,0.427,-0.915
1679390577224,2023-03-21T10.22.57.224,0.278,-0.366,-1.280,0.671
1679390577264,2023-03-21T10.22.57.264,0.318,-1.220,-2.134,3.049
1679390577304,2023-03-21T10.22.57.304,0.358,0.061,0.122,0.061
1679390577343,2023-03-21T10.22.57.343,0.397,1.220,0.915,-2.317
1679390577384,2023-03-21T10.22.57.384,0.438,0.122,-0.671,0.000
1679390577424,2023-03-21T10.22.57.424,0.478,-0.976,-1.280,2.500
1679390577463,2023-03-21T10.22.57.463,0.517,0.122,-0.183,0.244
1679390577503,2023-03-21T10.22.57.503,0.557,0.305,0.488,-0.427
1679390577542,2023-03-21T10.22.57.542,0.596,-0.061,-0.793,0.610
1679390577582,2023-03-21T10.22.57.582,0.636,-0.122,-1.646,1.280
1679390577623,2023-03-21T10.22.57.623,0.677,0.366,0.122,-0.305
1679390577662,2023-03-21T10.22.57.662,0.716,0.488,0.671,-1.098
1679390577702,2023-03-21T10.22.57.702,0.756,-0.305,-0.671,0.427
1679390577742,2023-03-21T10.22.57.742,0.796,-0.732,-0.488,2.256
1679390577781,2023-03-21T10.22.57.781,0.835,-0.793,-0.915,1.524
1679390577821,2023-03-21T10.22.57.821,0.875,0.488,0.366,-0.244
1679390577862,2023-03-21T10.22.57.862,0.916,0.122,0.244,0.061
1679390577901,2023-03-21T10.22.57.901,0.955,0.488,-0.183,-0.610
1679390577941,2023-03-21T10.22.57.941,0.995,0.000,-0.549,0.488
1679390577980,2023-03-21T10.22.57.980,1.034,-0.549,-0.793,1.341
1679390578020,2023-03-21T10.22.58.020,1.074,-0.488,-0.488,0.671
1679390578059,2023-03-21T10.22.58.059,1.113,-0.183,-0.549,0.183
1679390578100,2023-03-21T10.22.58.100,1.154,-0.061,-0.488,0.427
1679390578140,2023-03-21T10.22.58.140,1.194,-0.488,-0.183,1.646
1679390578180,2023-03-21T10.22.58.180,1.234,0.488,-0.549,-1.463
1679390578219,2023-03-21T10.22.58.219,1.273,0.366,-0.183,-0.976
1679390578259,2023-03-21T10.22.58.259,1.313,-0.122,-0.305,0.549
