epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1679578693871,2023-03-23T14.38.13.871,0.000,-0.014,-0.000,0.001
1679578693882,2023-03-23T14.38.13.882,0.011,-0.019,-0.001,-0.008
1679578693892,2023-03-23T14.38.13.892,0.021,-0.015,-0.005,-0.006
1679578693901,2023-03-23T14.38.13.901,0.030,-0.014,-0.007,-0.003
1679578693911,2023-03-23T14.38.13.911,0.040,-0.016,-0.011,-0.001
1679578693921,2023-03-23T14.38.13.921,0.050,-0.020,-0.015,-0.005
1679578693931,2023-03-23T14.38.13.931,0.060,-0.022,-0.015,-0.005
1679578693942,2023-03-23T14.38.13.942,0.071,-0.018,-0.012,-0.004
1679578693951,2023-03-23T14.38.13.951,0.080,-0.015,-0.006,-0.000
1679578693961,2023-03-23T14.38.13.961,0.090,-0.017,-0.006,0.001
1679578693971,2023-03-23T14.38.13.971,0.100,-0.017,-0.007,-0.003
1679578693981,2023-03-23T14.38.13.981,0.110,-0.019,-0.000,-0.001
1679578693990,2023-03-23T14.38.13.990,0.119,-0.021,-0.001,-0.008
1679578694000,2023-03-23T14.38.14.000,0.129,-0.019,-0.005,-0.004
1679578694011,2023-03-23T14.38.14.011,0.140,-0.017,-0.001,0.001
1679578694021,2023-03-23T14.38.14.021,0.150,-0.019,0.004,0.005
1679578694031,2023-03-23T14.38.14.031,0.160,-0.029,-0.003,0.001
1679578694040,2023-03-23T14.38.14.040,0.169,0.011,-0.020,0.010
1679578694050,2023-03-23T14.38.14.050,0.179,-0.005,-0.003,-0.004
1679578694060,2023-03-23T14.38.14.060,0.189,0.002,-0.004,-0.019
1679578694071,2023-03-23T14.38.14.071,0.200,-0.071,-0.027,-0.003
1679578694081,2023-03-23T14.38.14.081,0.210,-0.035,-0.009,0.044
1679578694090,2023-03-23T14.38.14.090,0.219,-0.002,0.023,0.000
1679578694100,2023-03-23T14.38.14.100,0.229,-0.022,-0.034,-0.057
1679578694110,2023-03-23T14.38.14.110,0.239,-0.024,-0.013,-0.009
1679578694120,2023-03-23T14.38.14.120,0.249,-0.014,0.012,0.028
1679578694129,2023-03-23T14.38.14.129,0.258,-0.019,0.036,-0.006
1679578694140,2023-03-23T14.38.14.140,0.269,-0.011,-0.026,-0.015
1679578694150,2023-03-23T14.38.14.150,0.279,-0.016,0.005,0.004
1679578694160,2023-03-23T14.38.14.160,0.289,-0.018,-0.000,0.007
1679578694170,2023-03-23T14.38.14.170,0.299,-0.010,-0.021,0.018
1679578694179,2023-03-23T14.38.14.179,0.308,-0.009,-0.009,0.008
1679578694189,2023-03-23T14.38.14.189,0.318,-0.015,-0.020,-0.018
1679578694200,2023-03-23T14.38.14.200,0.329,-0.018,-0.025,-0.009
1679578694210,2023-03-23T14.38.14.210,0.339,-0.026,-0.007,-0.010
1679578694220,2023-03-23T14.38.14.220,0.349,-0.021,-0.009,-0.017
1679578694229,2023-03-23T14.38.14.229,0.358,-0.020,-0.006,-0.019
1679578694239,2023-03-23T14.38.14.239,0.368,-0.025,0.000,-0.009
1679578694249,2023-03-23T14.38.14.249,0.378,-0.023,0.001,0.012
1679578694260,2023-03-23T14.38.14.260,0.389,-0.016,0.018,0.010
1679578694270,2023-03-23T14.38.14.270,0.399,-0.021,-0.002,0.001
1679578694279,2023-03-23T14.38.14.279,0.408,-0.010,-0.006,0.008
1679578694289,2023-03-23T14.38.14.289,0.418,-0.011,0.003,-0.002
1679578694299,2023-03-23T14.38.14.299,0.428,-0.020,-0.012,0.001
1679578694309,2023-03-23T14.38.14.309,0.438,-0.021,-0.009,0.004
1679578694320,2023-03-23T14.38.14.320,0.449,-0.019,-0.016,-0.008
1679578694330,2023-03-23T14.38.14.330,0.459,-0.016,-0.023,-0.012
1679578694339,2023-03-23T14.38.14.339,0.468,-0.019,-0.016,-0.015
1679578694349,2023-03-23T14.38.14.349,0.478,-0.021,-0.015,-0.005
1679578694359,2023-03-23T14.38.14.359,0.488,-0.019,-0.001,-0.002
1679578694369,2023-03-23T14.38.14.369,0.498,-0.019,0.001,-0.000
1679578694378,2023-03-23T14.38.14.378,0.507,-0.021,0.006,-0.002
1679578694389,2023-03-23T14.38.14.389,0.518,-0.025,0.004,0.003
1679578694399,2023-03-23T14.38.14.399,0.528,-0.022,0.005,0.003
1679578694409,2023-03-23T14.38.14.409,0.538,-0.022,0.004,-0.005
1679578694418,2023-03-23T14.38.14.418,0.547,-0.016,-0.006,-0.006
1679578694428,2023-03-23T14.38.14.428,0.557,-0.012,-0.004,-0.004
1679578694438,2023-03-23T14.38.14.438,0.567,-0.014,-0.022,-0.003
1679578694449,2023-03-23T14.38.14.449,0.578,-0.017,-0.020,0.005
1679578694459,2023-03-23T14.38.14.459,0.588,-0.020,-0.016,0.003
1679578694468,2023-03-23T14.38.14.468,0.597,-0.017,-0.016,-0.009
1679578694478,2023-03-23T14.38.14.478,0.607,-0.019,-0.008,-0.017
1679578694488,2023-03-23T14.38.14.488,0.617,-0.022,-0.001,-0.016
1679578694498,2023-03-23T14.38.14.498,0.627,-0.022,0.002,-0.009
1679578694509,2023-03-23T14.38.14.509,0.638,-0.018,0.002,-0.003
1679578694517,2023-03-23T14.38.14.517,0.646,-0.018,0.004,-0.001
1679578694528,2023-03-23T14.38.14.528,0.657,-0.016,-0.001,0.001
1679578694538,2023-03-23T14.38.14.538,0.667,-0.015,0.000,0.009
1679578694548,2023-03-23T14.38.14.548,0.677,-0.018,-0.003,0.008
1679578694558,2023-03-23T14.38.14.558,0.687,-0.018,-0.008,0.001
1679578694569,2023-03-23T14.38.14.569,0.698,-0.017,-0.008,-0.006
1679578694577,2023-03-23T14.38.14.577,0.706,-0.017,-0.013,-0.011
1679578694588,2023-03-23T14.38.14.588,0.717,-0.018,-0.015,-0.012
1679578694598,2023-03-23T14.38.14.598,0.727,-0.015,-0.012,-0.010
1679578694608,2023-03-23T14.38.14.608,0.737,-0.016,-0.011,-0.008
1679578694617,2023-03-23T14.38.14.617,0.746,-0.020,-0.003,-0.005
1679578694627,2023-03-23T14.38.14.627,0.756,-0.020,-0.004,-0.002
1679578694638,2023-03-23T14.38.14.638,0.767,-0.020,0.003,-0.002
1679578694648,2023-03-23T14.38.14.648,0.777,-0.021,0.002,-0.004
