epoc (ms),timestamp (+0100),elapsed (s),w (number),x (number),y (number),z (number)
1679582256294,2023-03-23T15.37.36.294,0.000,0.734,-0.184,0.654,0.000
1679582256304,2023-03-23T15.37.36.304,0.010,0.734,-0.184,0.654,0.000
1679582256314,2023-03-23T15.37.36.314,0.020,0.734,-0.183,0.654,-0.001
1679582256325,2023-03-23T15.37.36.325,0.031,0.734,-0.181,0.655,-0.001
1679582256334,2023-03-23T15.37.36.334,0.040,0.734,-0.180,0.655,-0.002
1679582256344,2023-03-23T15.37.36.344,0.050,0.734,-0.179,0.655,-0.003
1679582256354,2023-03-23T15.37.36.354,0.060,0.734,-0.177,0.656,-0.004
1679582256364,2023-03-23T15.37.36.364,0.070,0.734,-0.176,0.656,-0.004
1679582256375,2023-03-23T15.37.36.375,0.081,0.734,-0.175,0.656,-0.005
1679582256383,2023-03-23T15.37.36.383,0.089,0.734,-0.174,0.657,-0.006
1679582256394,2023-03-23T15.37.36.394,0.100,0.734,-0.172,0.657,-0.006
1679582256404,2023-03-23T15.37.36.404,0.110,0.734,-0.171,0.657,-0.007
1679582256414,2023-03-23T15.37.36.414,0.120,0.734,-0.170,0.657,-0.008
1679582256424,2023-03-23T15.37.36.424,0.130,0.734,-0.169,0.658,-0.008
1679582256433,2023-03-23T15.37.36.433,0.139,0.734,-0.167,0.658,-0.009
1679582256443,2023-03-23T15.37.36.443,0.149,0.734,-0.166,0.658,-0.010
1679582256454,2023-03-23T15.37.36.454,0.160,0.734,-0.165,0.659,-0.010
1679582256464,2023-03-23T15.37.36.464,0.170,0.734,-0.164,0.659,-0.011
1679582256474,2023-03-23T15.37.36.474,0.180,0.734,-0.163,0.659,-0.012
1679582256483,2023-03-23T15.37.36.483,0.189,0.734,-0.162,0.659,-0.012
1679582256493,2023-03-23T15.37.36.493,0.199,0.734,-0.161,0.659,-0.013
1679582256503,2023-03-23T15.37.36.503,0.209,0.734,-0.160,0.660,-0.013
1679582256514,2023-03-23T15.37.36.514,0.220,0.734,-0.159,0.660,-0.014
1679582256524,2023-03-23T15.37.36.524,0.230,0.734,-0.158,0.660,-0.014
1679582256533,2023-03-23T15.37.36.533,0.239,0.734,-0.157,0.660,-0.015
1679582256543,2023-03-23T15.37.36.543,0.249,0.734,-0.157,0.661,-0.015
1679582256553,2023-03-23T15.37.36.553,0.259,0.734,-0.156,0.661,-0.016
1679582256564,2023-03-23T15.37.36.564,0.270,0.734,-0.155,0.661,-0.016
1679582256574,2023-03-23T15.37.36.574,0.280,0.734,-0.154,0.661,-0.017
1679582256583,2023-03-23T15.37.36.583,0.289,0.734,-0.154,0.661,-0.017
1679582256593,2023-03-23T15.37.36.593,0.299,0.734,-0.153,0.661,-0.018
1679582256603,2023-03-23T15.37.36.603,0.309,0.734,-0.152,0.662,-0.018
1679582256613,2023-03-23T15.37.36.613,0.319,0.734,-0.151,0.662,-0.019
1679582256622,2023-03-23T15.37.36.622,0.328,0.734,-0.150,0.662,-0.019
1679582256632,2023-03-23T15.37.36.632,0.338,0.734,-0.150,0.662,-0.020
1679582256643,2023-03-23T15.37.36.643,0.349,0.734,-0.149,0.662,-0.020
1679582256653,2023-03-23T15.37.36.653,0.359,0.734,-0.148,0.663,-0.020
1679582256663,2023-03-23T15.37.36.663,0.369,0.734,-0.147,0.663,-0.021
1679582256673,2023-03-23T15.37.36.673,0.379,0.734,-0.147,0.663,-0.021
1679582256682,2023-03-23T15.37.36.682,0.388,0.734,-0.146,0.663,-0.021
1679582256692,2023-03-23T15.37.36.692,0.398,0.734,-0.146,0.663,-0.021
1679582256703,2023-03-23T15.37.36.703,0.409,0.734,-0.145,0.664,-0.021
1679582256713,2023-03-23T15.37.36.713,0.419,0.733,-0.145,0.664,-0.022
1679582256722,2023-03-23T15.37.36.722,0.428,0.733,-0.144,0.664,-0.022
1679582256732,2023-03-23T15.37.36.732,0.438,0.733,-0.144,0.664,-0.022
1679582256742,2023-03-23T15.37.36.742,0.448,0.733,-0.143,0.664,-0.022
1679582256752,2023-03-23T15.37.36.752,0.458,0.733,-0.143,0.665,-0.022
1679582256763,2023-03-23T15.37.36.763,0.469,0.733,-0.143,0.665,-0.022
1679582256772,2023-03-23T15.37.36.772,0.478,0.733,-0.142,0.665,-0.022
1679582256782,2023-03-23T15.37.36.782,0.488,0.733,-0.142,0.665,-0.022
1679582256792,2023-03-23T15.37.36.792,0.498,0.733,-0.142,0.665,-0.022
1679582256802,2023-03-23T15.37.36.802,0.508,0.733,-0.141,0.665,-0.022
1679582256813,2023-03-23T15.37.36.813,0.519,0.733,-0.141,0.665,-0.022
1679582256821,2023-03-23T15.37.36.821,0.527,0.733,-0.141,0.666,-0.023
1679582256832,2023-03-23T15.37.36.832,0.538,0.733,-0.140,0.666,-0.023
1679582256842,2023-03-23T15.37.36.842,0.548,0.733,-0.140,0.666,-0.023
1679582256852,2023-03-23T15.37.36.852,0.558,0.732,-0.139,0.666,-0.023
1679582256861,2023-03-23T15.37.36.861,0.567,0.732,-0.139,0.666,-0.024
1679582256871,2023-03-23T15.37.36.871,0.577,0.732,-0.139,0.666,-0.024
1679582256881,2023-03-23T15.37.36.881,0.587,0.732,-0.138,0.666,-0.024
1679582256892,2023-03-23T15.37.36.892,0.598,0.732,-0.138,0.667,-0.024
1679582256902,2023-03-23T15.37.36.902,0.608,0.732,-0.138,0.667,-0.025
1679582256912,2023-03-23T15.37.36.912,0.618,0.732,-0.137,0.667,-0.025
1679582256921,2023-03-23T15.37.36.921,0.627,0.732,-0.137,0.667,-0.025
1679582256931,2023-03-23T15.37.36.931,0.637,0.732,-0.137,0.667,-0.026
1679582256941,2023-03-23T15.37.36.941,0.647,0.731,-0.136,0.668,-0.026
1679582256952,2023-03-23T15.37.36.952,0.658,0.731,-0.136,0.668,-0.026
1679582256960,2023-03-23T15.37.36.960,0.666,0.731,-0.136,0.668,-0.026
1679582256971,2023-03-23T15.37.36.971,0.677,0.731,-0.136,0.669,-0.027
1679582256981,2023-03-23T15.37.36.981,0.687,0.730,-0.136,0.669,-0.027
1679582256991,2023-03-23T15.37.36.991,0.697,0.730,-0.136,0.669,-0.027
1679582257001,2023-03-23T15.37.37.001,0.707,0.729,-0.136,0.670,-0.027
1679582257010,2023-03-23T15.37.37.010,0.716,0.729,-0.136,0.670,-0.027
1679582257021,2023-03-23T15.37.37.021,0.727,0.729,-0.136,0.671,-0.027
1679582257031,2023-03-23T15.37.37.031,0.737,0.728,-0.136,0.671,-0.027
1679582257041,2023-03-23T15.37.37.041,0.747,0.728,-0.136,0.671,-0.027
1679582257051,2023-03-23T15.37.37.051,0.757,0.728,-0.136,0.672,-0.027
1679582257060,2023-03-23T15.37.37.060,0.766,0.727,-0.136,0.672,-0.027
1679582257070,2023-03-23T15.37.37.070,0.776,0.727,-0.136,0.672,-0.028
1679582257081,2023-03-23T15.37.37.081,0.787,0.727,-0.136,0.673,-0.028
1679582257091,2023-03-23T15.37.37.091,0.797,0.727,-0.136,0.673,-0.028
1679582257100,2023-03-23T15.37.37.100,0.806,0.726,-0.136,0.673,-0.028
1679582257110,2023-03-23T15.37.37.110,0.816,0.726,-0.136,0.674,-0.028
1679582257120,2023-03-23T15.37.37.120,0.826,0.726,-0.136,0.674,-0.028
1679582257130,2023-03-23T15.37.37.130,0.836,0.726,-0.135,0.674,-0.028
1679582257141,2023-03-23T15.37.37.141,0.847,0.725,-0.135,0.674,-0.028
1679582257151,2023-03-23T15.37.37.151,0.857,0.725,-0.135,0.675,-0.029
1679582257160,2023-03-23T15.37.37.160,0.866,0.724,-0.135,0.675,-0.029
1679582257170,2023-03-23T15.37.37.170,0.876,0.724,-0.135,0.676,-0.030
1679582257180,2023-03-23T15.37.37.180,0.886,0.724,-0.134,0.676,-0.030
1679582257190,2023-03-23T15.37.37.190,0.896,0.724,-0.134,0.676,-0.031
1679582257199,2023-03-23T15.37.37.199,0.905,0.724,-0.133,0.676,-0.031
1679582257210,2023-03-23T15.37.37.210,0.916,0.724,-0.133,0.676,-0.032
1679582257220,2023-03-23T15.37.37.220,0.926,0.724,-0.133,0.677,-0.033
1679582257230,2023-03-23T15.37.37.230,0.936,0.723,-0.132,0.677,-0.034
1679582257240,2023-03-23T15.37.37.240,0.946,0.723,-0.132,0.677,-0.035
1679582257249,2023-03-23T15.37.37.249,0.955,0.723,-0.131,0.677,-0.036
1679582257259,2023-03-23T15.37.37.259,0.965,0.723,-0.130,0.677,-0.037
1679582257270,2023-03-23T15.37.37.270,0.976,0.723,-0.129,0.677,-0.038
1679582257280,2023-03-23T15.37.37.280,0.986,0.724,-0.128,0.677,-0.039
1679582257290,2023-03-23T15.37.37.290,0.996,0.724,-0.127,0.677,-0.040
1679582257299,2023-03-23T15.37.37.299,1.005,0.724,-0.125,0.677,-0.042
1679582257309,2023-03-23T15.37.37.309,1.015,0.724,-0.124,0.677,-0.043
1679582257319,2023-03-23T15.37.37.319,1.025,0.725,-0.122,0.677,-0.044
1679582257330,2023-03-23T15.37.37.330,1.036,0.725,-0.121,0.676,-0.045
1679582257340,2023-03-23T15.37.37.340,1.046,0.726,-0.119,0.676,-0.046
1679582257349,2023-03-23T15.37.37.349,1.055,0.726,-0.118,0.676,-0.047
1679582257359,2023-03-23T15.37.37.359,1.065,0.727,-0.117,0.675,-0.048
1679582257369,2023-03-23T15.37.37.369,1.075,0.727,-0.116,0.675,-0.049
1679582257379,2023-03-23T15.37.37.379,1.085,0.728,-0.115,0.674,-0.050
1679582257388,2023-03-23T15.37.37.388,1.094,0.728,-0.114,0.674,-0.050
1679582257400,2023-03-23T15.37.37.400,1.106,0.728,-0.113,0.674,-0.051
1679582257409,2023-03-23T15.37.37.409,1.115,0.729,-0.113,0.673,-0.051
1679582257419,2023-03-23T15.37.37.419,1.125,0.729,-0.112,0.673,-0.052
