epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680004199561,2023-03-28T13.49.59.561,0.000,-0.987,0.106,-0.118
1680004199571,2023-03-28T13.49.59.571,0.010,-0.987,0.106,-0.118
1680004199581,2023-03-28T13.49.59.581,0.020,-0.987,0.107,-0.118
1680004199592,2023-03-28T13.49.59.592,0.031,-0.987,0.108,-0.117
1680004199602,2023-03-28T13.49.59.602,0.041,-0.987,0.109,-0.117
1680004199611,2023-03-28T13.49.59.611,0.050,-0.987,0.111,-0.116
1680004199621,2023-03-28T13.49.59.621,0.060,-0.987,0.112,-0.115
1680004199631,2023-03-28T13.49.59.631,0.070,-0.987,0.113,-0.114
1680004199641,2023-03-28T13.49.59.641,0.080,-0.987,0.114,-0.112
1680004199652,2023-03-28T13.49.59.652,0.091,-0.987,0.115,-0.111
1680004199662,2023-03-28T13.49.59.662,0.101,-0.987,0.115,-0.109
1680004199671,2023-03-28T13.49.59.671,0.110,-0.987,0.115,-0.108
1680004199681,2023-03-28T13.49.59.681,0.120,-0.988,0.115,-0.107
1680004199691,2023-03-28T13.49.59.691,0.130,-0.988,0.116,-0.106
1680004199701,2023-03-28T13.49.59.701,0.140,-0.988,0.116,-0.106
1680004199712,2023-03-28T13.49.59.712,0.151,-0.988,0.117,-0.106
1680004199721,2023-03-28T13.49.59.721,0.160,-0.988,0.117,-0.106
1680004199731,2023-03-28T13.49.59.731,0.170,-0.988,0.116,-0.106
1680004199741,2023-03-28T13.49.59.741,0.180,-0.988,0.116,-0.107
1680004199751,2023-03-28T13.49.59.751,0.190,-0.988,0.115,-0.106
1680004199762,2023-03-28T13.49.59.762,0.201,-0.988,0.114,-0.106
1680004199772,2023-03-28T13.49.59.772,0.211,-0.988,0.113,-0.105
1680004199781,2023-03-28T13.49.59.781,0.220,-0.988,0.111,-0.104
1680004199791,2023-03-28T13.49.59.791,0.230,-0.989,0.110,-0.103
1680004199801,2023-03-28T13.49.59.801,0.240,-0.989,0.110,-0.101
1680004199811,2023-03-28T13.49.59.811,0.250,-0.989,0.109,-0.100
1680004199822,2023-03-28T13.49.59.822,0.261,-0.989,0.109,-0.098
1680004199830,2023-03-28T13.49.59.830,0.269,-0.989,0.109,-0.095
1680004199841,2023-03-28T13.49.59.841,0.280,-0.990,0.110,-0.093
1680004199851,2023-03-28T13.49.59.851,0.290,-0.990,0.112,-0.091
1680004199861,2023-03-28T13.49.59.861,0.300,-0.989,0.113,-0.090
1680004199871,2023-03-28T13.49.59.871,0.310,-0.989,0.116,-0.088
1680004199882,2023-03-28T13.49.59.882,0.321,-0.989,0.118,-0.086
