epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681293275777,2023-04-12T11:54:35.777,4.517,0.781,-0.092,0.599,-0.148
1681293275788,2023-04-12T11:54:35.788,4.528,0.781,-0.091,0.599,-0.148
1681293275798,2023-04-12T11:54:35.798,4.538,0.781,-0.090,0.601,-0.148
1681293275808,2023-04-12T11:54:35.808,4.548,0.780,-0.090,0.601,-0.148
1681293275817,2023-04-12T11:54:35.817,4.557,0.780,-0.090,0.601,-0.147
1681293275827,2023-04-12T11:54:35.827,4.567,0.781,-0.090,0.600,-0.147
1681293275837,2023-04-12T11:54:35.837,4.577,0.782,-0.088,0.599,-0.147
1681293275848,2023-04-12T11:54:35.848,4.588,0.783,-0.087,0.598,-0.148
1681293275858,2023-04-12T11:54:35.858,4.598,0.784,-0.086,0.597,-0.148
1681293275867,2023-04-12T11:54:35.867,4.607,0.784,-0.085,0.597,-0.149
1681293275877,2023-04-12T11:54:35.877,4.617,0.784,-0.083,0.596,-0.150
1681293275887,2023-04-12T11:54:35.887,4.627,0.785,-0.081,0.596,-0.151
1681293275897,2023-04-12T11:54:35.897,4.637,0.784,-0.079,0.596,-0.151
1681293275908,2023-04-12T11:54:35.908,4.648,0.784,-0.077,0.597,-0.152
1681293275916,2023-04-12T11:54:35.916,4.656,0.783,-0.076,0.598,-0.152
1681293275927,2023-04-12T11:54:35.927,4.667,0.783,-0.074,0.599,-0.151
1681293275937,2023-04-12T11:54:35.937,4.677,0.783,-0.074,0.599,-0.151
1681293275947,2023-04-12T11:54:35.947,4.687,0.783,-0.073,0.599,-0.150
1681293275956,2023-04-12T11:54:35.956,4.696,0.783,-0.072,0.599,-0.149
1681293275966,2023-04-12T11:54:35.966,4.706,0.784,-0.072,0.598,-0.149
1681293275977,2023-04-12T11:54:35.977,4.717,0.785,-0.072,0.598,-0.148
1681293275987,2023-04-12T11:54:35.987,4.727,0.786,-0.072,0.597,-0.147
1681293275997,2023-04-12T11:54:35.997,4.737,0.786,-0.071,0.596,-0.146
1681293276006,2023-04-12T11:54:36.006,4.746,0.787,-0.071,0.596,-0.145
1681293276018,2023-04-12T11:54:36.018,4.758,0.787,-0.070,0.596,-0.145
1681293276026,2023-04-12T11:54:36.026,4.766,0.787,-0.069,0.596,-0.144
1681293276037,2023-04-12T11:54:36.037,4.777,0.787,-0.068,0.597,-0.144
1681293276047,2023-04-12T11:54:36.047,4.787,0.787,-0.067,0.597,-0.143
1681293276056,2023-04-12T11:54:36.056,4.796,0.787,-0.066,0.597,-0.143
1681293276066,2023-04-12T11:54:36.066,4.806,0.787,-0.065,0.596,-0.142
1681293276076,2023-04-12T11:54:36.076,4.816,0.788,-0.064,0.596,-0.142
1681293276086,2023-04-12T11:54:36.086,4.826,0.789,-0.063,0.595,-0.142
1681293276097,2023-04-12T11:54:36.097,4.837,0.789,-0.062,0.594,-0.141
1681293276105,2023-04-12T11:54:36.105,4.845,0.790,-0.062,0.594,-0.141
1681293276116,2023-04-12T11:54:36.116,4.856,0.790,-0.061,0.593,-0.141
1681293276126,2023-04-12T11:54:36.126,4.866,0.791,-0.061,0.593,-0.141
1681293276136,2023-04-12T11:54:36.136,4.876,0.791,-0.061,0.593,-0.140
1681293276146,2023-04-12T11:54:36.146,4.886,0.791,-0.060,0.592,-0.140
1681293276155,2023-04-12T11:54:36.155,4.895,0.791,-0.059,0.592,-0.139
1681293276165,2023-04-12T11:54:36.165,4.905,0.792,-0.059,0.592,-0.138
1681293276176,2023-04-12T11:54:36.176,4.916,0.792,-0.059,0.592,-0.138
1681293276186,2023-04-12T11:54:36.186,4.926,0.792,-0.059,0.592,-0.137
1681293276196,2023-04-12T11:54:36.196,4.936,0.792,-0.059,0.592,-0.136
1681293276205,2023-04-12T11:54:36.205,4.945,0.792,-0.059,0.592,-0.135
1681293276215,2023-04-12T11:54:36.215,4.955,0.793,-0.060,0.592,-0.134
1681293276226,2023-04-12T11:54:36.226,4.966,0.793,-0.060,0.592,-0.133
1681293276236,2023-04-12T11:54:36.236,4.976,0.793,-0.061,0.591,-0.132
1681293276245,2023-04-12T11:54:36.245,4.985,0.793,-0.061,0.591,-0.131
1681293276256,2023-04-12T11:54:36.256,4.996,0.794,-0.062,0.591,-0.130
1681293276265,2023-04-12T11:54:36.265,5.005,0.794,-0.063,0.591,-0.130
1681293276275,2023-04-12T11:54:36.275,5.015,0.794,-0.063,0.591,-0.129
1681293276286,2023-04-12T11:54:36.286,5.026,0.794,-0.064,0.591,-0.128
1681293276296,2023-04-12T11:54:36.296,5.036,0.794,-0.065,0.591,-0.128
1681293276305,2023-04-12T11:54:36.305,5.045,0.794,-0.065,0.591,-0.127
1681293276315,2023-04-12T11:54:36.315,5.055,0.794,-0.066,0.591,-0.127
1681293276325,2023-04-12T11:54:36.325,5.065,0.794,-0.067,0.591,-0.127
1681293276335,2023-04-12T11:54:36.335,5.075,0.794,-0.067,0.591,-0.126
1681293276344,2023-04-12T11:54:36.344,5.084,0.794,-0.068,0.590,-0.126
1681293276354,2023-04-12T11:54:36.354,5.094,0.794,-0.068,0.591,-0.126
1681293276365,2023-04-12T11:54:36.365,5.105,0.794,-0.069,0.591,-0.126
1681293276375,2023-04-12T11:54:36.375,5.115,0.794,-0.069,0.591,-0.125
1681293276385,2023-04-12T11:54:36.385,5.125,0.794,-0.070,0.591,-0.125
1681293276394,2023-04-12T11:54:36.394,5.134,0.794,-0.070,0.591,-0.125
1681293276404,2023-04-12T11:54:36.404,5.144,0.793,-0.070,0.592,-0.125
1681293276415,2023-04-12T11:54:36.415,5.155,0.793,-0.071,0.592,-0.125
1681293276425,2023-04-12T11:54:36.425,5.165,0.792,-0.071,0.593,-0.125
1681293276435,2023-04-12T11:54:36.435,5.175,0.792,-0.072,0.593,-0.125
1681293276444,2023-04-12T11:54:36.444,5.184,0.792,-0.072,0.594,-0.126
1681293276454,2023-04-12T11:54:36.454,5.194,0.791,-0.073,0.594,-0.126
1681293276464,2023-04-12T11:54:36.464,5.204,0.790,-0.073,0.595,-0.127
1681293276475,2023-04-12T11:54:36.475,5.215,0.790,-0.073,0.595,-0.127
1681293276485,2023-04-12T11:54:36.485,5.225,0.789,-0.074,0.596,-0.128
1681293276494,2023-04-12T11:54:36.494,5.234,0.788,-0.074,0.597,-0.129
1681293276504,2023-04-12T11:54:36.504,5.244,0.788,-0.074,0.598,-0.130
1681293276514,2023-04-12T11:54:36.514,5.254,0.787,-0.074,0.598,-0.131
1681293276524,2023-04-12T11:54:36.524,5.264,0.786,-0.075,0.599,-0.132
1681293276533,2023-04-12T11:54:36.533,5.273,0.785,-0.075,0.600,-0.133
1681293276543,2023-04-12T11:54:36.543,5.283,0.785,-0.076,0.601,-0.133
1681293276554,2023-04-12T11:54:36.554,5.294,0.784,-0.076,0.602,-0.134
1681293276564,2023-04-12T11:54:36.564,5.304,0.783,-0.077,0.603,-0.135
1681293276574,2023-04-12T11:54:36.574,5.314,0.782,-0.077,0.604,-0.136
1681293276584,2023-04-12T11:54:36.584,5.324,0.781,-0.078,0.605,-0.137
1681293276593,2023-04-12T11:54:36.593,5.333,0.780,-0.078,0.606,-0.138
1681293276603,2023-04-12T11:54:36.603,5.343,0.779,-0.078,0.607,-0.139
1681293276614,2023-04-12T11:54:36.614,5.354,0.778,-0.079,0.608,-0.140
1681293276624,2023-04-12T11:54:36.624,5.364,0.776,-0.079,0.609,-0.141
1681293276633,2023-04-12T11:54:36.633,5.373,0.775,-0.079,0.610,-0.143
1681293276643,2023-04-12T11:54:36.643,5.383,0.774,-0.079,0.611,-0.144
1681293276653,2023-04-12T11:54:36.653,5.393,0.773,-0.079,0.612,-0.145
1681293276664,2023-04-12T11:54:36.664,5.404,0.772,-0.079,0.613,-0.147
1681293276674,2023-04-12T11:54:36.674,5.414,0.772,-0.080,0.614,-0.148
1681293276683,2023-04-12T11:54:36.683,5.423,0.771,-0.080,0.614,-0.149
1681293276693,2023-04-12T11:54:36.693,5.433,0.770,-0.081,0.615,-0.150
1681293276703,2023-04-12T11:54:36.703,5.443,0.769,-0.081,0.615,-0.152
1681293276713,2023-04-12T11:54:36.713,5.453,0.768,-0.082,0.616,-0.154
1681293276724,2023-04-12T11:54:36.724,5.464,0.767,-0.082,0.617,-0.155
1681293276732,2023-04-12T11:54:36.732,5.472,0.767,-0.082,0.617,-0.157
1681293276743,2023-04-12T11:54:36.743,5.483,0.766,-0.082,0.618,-0.159
1681293276753,2023-04-12T11:54:36.753,5.493,0.765,-0.083,0.618,-0.161
1681293276763,2023-04-12T11:54:36.763,5.503,0.765,-0.083,0.618,-0.163
1681293276773,2023-04-12T11:54:36.773,5.513,0.764,-0.084,0.618,-0.165
1681293276782,2023-04-12T11:54:36.782,5.522,0.764,-0.084,0.617,-0.167
1681293276792,2023-04-12T11:54:36.792,5.532,0.765,-0.085,0.616,-0.169
1681293276803,2023-04-12T11:54:36.803,5.543,0.765,-0.086,0.615,-0.170
1681293276813,2023-04-12T11:54:36.813,5.553,0.765,-0.087,0.614,-0.172
1681293276823,2023-04-12T11:54:36.823,5.563,0.765,-0.088,0.614,-0.174
1681293276832,2023-04-12T11:54:36.832,5.572,0.765,-0.089,0.613,-0.175
1681293276842,2023-04-12T11:54:36.842,5.582,0.765,-0.090,0.613,-0.177
1681293276852,2023-04-12T11:54:36.852,5.592,0.765,-0.091,0.612,-0.179
1681293276863,2023-04-12T11:54:36.863,5.603,0.765,-0.091,0.611,-0.181
1681293276872,2023-04-12T11:54:36.872,5.612,0.765,-0.092,0.611,-0.183
1681293276882,2023-04-12T11:54:36.882,5.622,0.766,-0.093,0.609,-0.184
1681293276892,2023-04-12T11:54:36.892,5.632,0.766,-0.093,0.608,-0.185
1681293276902,2023-04-12T11:54:36.902,5.642,0.767,-0.094,0.607,-0.185
1681293276913,2023-04-12T11:54:36.913,5.653,0.768,-0.094,0.606,-0.185
1681293276921,2023-04-12T11:54:36.921,5.661,0.768,-0.094,0.606,-0.185
1681293276932,2023-04-12T11:54:36.932,5.672,0.767,-0.095,0.607,-0.185
1681293276942,2023-04-12T11:54:36.942,5.682,0.766,-0.094,0.608,-0.185
1681293276952,2023-04-12T11:54:36.952,5.692,0.765,-0.094,0.609,-0.185
1681293276962,2023-04-12T11:54:36.962,5.702,0.764,-0.095,0.611,-0.184
1681293276971,2023-04-12T11:54:36.971,5.711,0.763,-0.095,0.612,-0.183
1681293276981,2023-04-12T11:54:36.981,5.721,0.762,-0.095,0.614,-0.182
1681293276992,2023-04-12T11:54:36.992,5.732,0.761,-0.095,0.616,-0.181
1681293277002,2023-04-12T11:54:37.002,5.742,0.760,-0.095,0.618,-0.180
1681293277012,2023-04-12T11:54:37.012,5.752,0.759,-0.095,0.619,-0.179
1681293277021,2023-04-12T11:54:37.021,5.761,0.758,-0.096,0.621,-0.177
1681293277031,2023-04-12T11:54:37.031,5.771,0.756,-0.096,0.622,-0.176
1681293277041,2023-04-12T11:54:37.041,5.781,0.756,-0.096,0.624,-0.175
1681293277052,2023-04-12T11:54:37.052,5.792,0.755,-0.096,0.625,-0.174
1681293277062,2023-04-12T11:54:37.062,5.802,0.754,-0.096,0.627,-0.173
1681293277071,2023-04-12T11:54:37.071,5.811,0.753,-0.097,0.628,-0.173
1681293277081,2023-04-12T11:54:37.081,5.821,0.752,-0.097,0.629,-0.173
1681293277091,2023-04-12T11:54:37.091,5.831,0.751,-0.097,0.630,-0.172
1681293277102,2023-04-12T11:54:37.102,5.842,0.750,-0.098,0.631,-0.172
1681293277112,2023-04-12T11:54:37.112,5.852,0.749,-0.098,0.632,-0.172
1681293277121,2023-04-12T11:54:37.121,5.861,0.748,-0.098,0.633,-0.172
1681293277131,2023-04-12T11:54:37.131,5.871,0.747,-0.099,0.634,-0.173
1681293277141,2023-04-12T11:54:37.141,5.881,0.746,-0.099,0.635,-0.173
1681293277151,2023-04-12T11:54:37.151,5.891,0.745,-0.099,0.636,-0.173
1681293277160,2023-04-12T11:54:37.160,5.900,0.744,-0.100,0.637,-0.174
1681293277170,2023-04-12T11:54:37.170,5.910,0.744,-0.101,0.637,-0.175
1681293277181,2023-04-12T11:54:37.181,5.921,0.743,-0.101,0.638,-0.176
1681293277191,2023-04-12T11:54:37.191,5.931,0.742,-0.102,0.639,-0.177
1681293277201,2023-04-12T11:54:37.201,5.941,0.741,-0.103,0.639,-0.177
1681293277210,2023-04-12T11:54:37.210,5.950,0.740,-0.104,0.640,-0.178
1681293277220,2023-04-12T11:54:37.220,5.960,0.739,-0.105,0.641,-0.179
1681293277230,2023-04-12T11:54:37.230,5.970,0.738,-0.106,0.641,-0.180
1681293277241,2023-04-12T11:54:37.241,5.981,0.737,-0.108,0.642,-0.181
1681293277251,2023-04-12T11:54:37.251,5.991,0.736,-0.109,0.643,-0.182
1681293277260,2023-04-12T11:54:37.260,6.000,0.735,-0.110,0.643,-0.184
1681293277270,2023-04-12T11:54:37.270,6.010,0.734,-0.112,0.644,-0.185
1681293277280,2023-04-12T11:54:37.280,6.020,0.733,-0.113,0.645,-0.186
1681293277290,2023-04-12T11:54:37.290,6.030,0.732,-0.115,0.645,-0.187
1681293277301,2023-04-12T11:54:37.301,6.041,0.731,-0.116,0.646,-0.188
1681293277311,2023-04-12T11:54:37.311,6.051,0.729,-0.118,0.647,-0.189
1681293277320,2023-04-12T11:54:37.320,6.060,0.728,-0.119,0.648,-0.191
1681293277330,2023-04-12T11:54:37.330,6.070,0.727,-0.120,0.649,-0.192
1681293277340,2023-04-12T11:54:37.340,6.080,0.725,-0.121,0.649,-0.194
1681293277351,2023-04-12T11:54:37.351,6.091,0.724,-0.122,0.650,-0.195
1681293277359,2023-04-12T11:54:37.359,6.099,0.723,-0.123,0.651,-0.197
