epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681293275745,2023-04-12T11:54:35.745,4.503,-0.069,-0.351,0.005
1681293275756,2023-04-12T11:54:35.756,4.514,-0.073,-0.308,0.023
1681293275766,2023-04-12T11:54:35.766,4.524,-0.039,-0.204,0.049
1681293275776,2023-04-12T11:54:35.776,4.534,0.007,-0.107,0.058
1681293275786,2023-04-12T11:54:35.786,4.544,0.027,-0.049,0.033
1681293275797,2023-04-12T11:54:35.797,4.555,0.048,-0.048,0.021
1681293275807,2023-04-12T11:54:35.807,4.565,0.049,-0.076,0.002
1681293275816,2023-04-12T11:54:35.816,4.574,0.049,-0.093,-0.024
1681293275826,2023-04-12T11:54:35.826,4.584,0.031,-0.072,-0.027
1681293275836,2023-04-12T11:54:35.836,4.594,-0.018,-0.049,-0.018
1681293275846,2023-04-12T11:54:35.846,4.604,-0.047,-0.033,-0.014
1681293275855,2023-04-12T11:54:35.855,4.613,-0.046,-0.015,-0.029
1681293275865,2023-04-12T11:54:35.865,4.623,-0.044,0.008,-0.022
1681293275876,2023-04-12T11:54:35.876,4.634,-0.041,0.044,0.005
1681293275886,2023-04-12T11:54:35.886,4.644,-0.035,0.081,0.029
1681293275896,2023-04-12T11:54:35.896,4.654,-0.019,0.077,0.055
1681293275907,2023-04-12T11:54:35.907,4.665,0.002,0.061,0.039
1681293275915,2023-04-12T11:54:35.915,4.673,0.019,0.042,0.020
1681293275926,2023-04-12T11:54:35.926,4.684,0.018,0.037,0.031
1681293275936,2023-04-12T11:54:35.936,4.694,0.013,0.031,0.037
1681293275946,2023-04-12T11:54:35.946,4.704,0.016,0.021,0.038
1681293275956,2023-04-12T11:54:35.956,4.714,0.022,-0.003,0.046
1681293275965,2023-04-12T11:54:35.965,4.723,0.020,-0.026,0.042
1681293275977,2023-04-12T11:54:35.977,4.735,0.018,-0.038,0.028
1681293275986,2023-04-12T11:54:35.986,4.744,0.006,-0.036,0.021
1681293275996,2023-04-12T11:54:35.996,4.754,-0.012,-0.027,0.033
1681293276006,2023-04-12T11:54:36.006,4.764,-0.023,-0.030,0.044
1681293276016,2023-04-12T11:54:36.016,4.774,-0.027,-0.039,0.044
1681293276025,2023-04-12T11:54:36.025,4.783,-0.010,-0.046,0.052
1681293276035,2023-04-12T11:54:36.035,4.793,0.003,-0.062,0.061
1681293276046,2023-04-12T11:54:36.046,4.804,0.008,-0.079,0.057
1681293276056,2023-04-12T11:54:36.056,4.814,0.006,-0.081,0.051
1681293276066,2023-04-12T11:54:36.066,4.824,-0.011,-0.078,0.052
1681293276075,2023-04-12T11:54:36.075,4.833,-0.016,-0.072,0.054
1681293276085,2023-04-12T11:54:36.085,4.843,0.001,-0.056,0.053
1681293276095,2023-04-12T11:54:36.095,4.853,0.023,-0.036,0.049
1681293276106,2023-04-12T11:54:36.106,4.864,0.017,-0.021,0.038
1681293276116,2023-04-12T11:54:36.116,4.874,-0.006,-0.024,0.025
1681293276126,2023-04-12T11:54:36.126,4.884,-0.023,-0.028,0.012
1681293276136,2023-04-12T11:54:36.136,4.894,-0.031,-0.027,0.004
1681293276145,2023-04-12T11:54:36.145,4.903,-0.032,-0.019,0.005
1681293276156,2023-04-12T11:54:36.156,4.914,-0.026,0.001,0.003
1681293276166,2023-04-12T11:54:36.166,4.924,-0.021,0.013,0.002
1681293276176,2023-04-12T11:54:36.176,4.934,-0.010,0.012,0.003
1681293276185,2023-04-12T11:54:36.185,4.943,0.001,0.008,0.005
1681293276195,2023-04-12T11:54:36.195,4.953,-0.001,-0.009,0.007
1681293276205,2023-04-12T11:54:36.205,4.963,-0.003,-0.024,0.007
1681293276216,2023-04-12T11:54:36.216,4.974,-0.017,-0.040,0.007
1681293276226,2023-04-12T11:54:36.226,4.984,-0.023,-0.057,0.006
1681293276235,2023-04-12T11:54:36.235,4.993,-0.023,-0.059,-0.001
1681293276245,2023-04-12T11:54:36.245,5.003,-0.021,-0.054,0.000
1681293276255,2023-04-12T11:54:36.255,5.013,-0.023,-0.047,0.003
1681293276265,2023-04-12T11:54:36.265,5.023,-0.019,-0.044,0.003
1681293276276,2023-04-12T11:54:36.276,5.034,-0.007,-0.040,0.003
1681293276286,2023-04-12T11:54:36.286,5.044,-0.001,-0.036,0.002
1681293276296,2023-04-12T11:54:36.296,5.054,-0.004,-0.038,0.008
1681293276305,2023-04-12T11:54:36.305,5.063,-0.007,-0.039,0.011
1681293276315,2023-04-12T11:54:36.315,5.073,-0.009,-0.040,0.010
1681293276325,2023-04-12T11:54:36.325,5.083,-0.016,-0.034,0.013
1681293276336,2023-04-12T11:54:36.336,5.094,-0.013,-0.030,0.020
1681293276344,2023-04-12T11:54:36.344,5.102,0.003,-0.028,0.025
1681293276355,2023-04-12T11:54:36.355,5.113,0.003,-0.026,0.025
1681293276365,2023-04-12T11:54:36.365,5.123,-0.009,-0.028,0.026
1681293276375,2023-04-12T11:54:36.375,5.133,-0.015,-0.036,0.022
1681293276386,2023-04-12T11:54:36.386,5.144,-0.017,-0.042,0.017
1681293276396,2023-04-12T11:54:36.396,5.154,-0.021,-0.046,0.015
1681293276405,2023-04-12T11:54:36.405,5.163,-0.012,-0.043,0.014
1681293276415,2023-04-12T11:54:36.415,5.173,0.010,-0.034,0.022
1681293276425,2023-04-12T11:54:36.425,5.183,0.021,-0.036,0.023
1681293276435,2023-04-12T11:54:36.435,5.193,0.008,-0.043,0.025
1681293276446,2023-04-12T11:54:36.446,5.204,-0.016,-0.051,0.026
1681293276456,2023-04-12T11:54:36.456,5.214,-0.023,-0.060,0.026
1681293276465,2023-04-12T11:54:36.465,5.223,-0.014,-0.070,0.025
1681293276475,2023-04-12T11:54:36.475,5.233,-0.008,-0.066,0.017
