epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681293275756,2023-04-12T11:54:35.756,4.514,0.778,0.181,0.580,-0.160
1681293275766,2023-04-12T11:54:35.766,4.524,0.779,0.181,0.579,-0.160
1681293275776,2023-04-12T11:54:35.776,4.534,0.780,0.182,0.577,-0.159
1681293275786,2023-04-12T11:54:35.786,4.544,0.781,0.182,0.576,-0.159
1681293275797,2023-04-12T11:54:35.797,4.555,0.782,0.183,0.575,-0.158
1681293275807,2023-04-12T11:54:35.807,4.565,0.783,0.184,0.573,-0.158
1681293275816,2023-04-12T11:54:35.816,4.574,0.783,0.185,0.572,-0.158
1681293275826,2023-04-12T11:54:35.826,4.584,0.784,0.185,0.571,-0.157
1681293275836,2023-04-12T11:54:35.836,4.594,0.785,0.186,0.570,-0.157
1681293275846,2023-04-12T11:54:35.846,4.604,0.785,0.188,0.568,-0.158
1681293275855,2023-04-12T11:54:35.855,4.613,0.786,0.189,0.567,-0.158
1681293275865,2023-04-12T11:54:35.865,4.623,0.786,0.190,0.566,-0.159
1681293275876,2023-04-12T11:54:35.876,4.634,0.787,0.191,0.564,-0.160
1681293275886,2023-04-12T11:54:35.886,4.644,0.788,0.192,0.563,-0.161
1681293275896,2023-04-12T11:54:35.896,4.654,0.788,0.192,0.562,-0.162
1681293275907,2023-04-12T11:54:35.907,4.665,0.788,0.193,0.561,-0.163
1681293275915,2023-04-12T11:54:35.915,4.673,0.789,0.192,0.560,-0.164
1681293275926,2023-04-12T11:54:35.926,4.684,0.790,0.192,0.559,-0.164
1681293275936,2023-04-12T11:54:35.936,4.694,0.790,0.191,0.558,-0.165
1681293275946,2023-04-12T11:54:35.946,4.704,0.791,0.190,0.558,-0.165
1681293275956,2023-04-12T11:54:35.956,4.714,0.792,0.189,0.557,-0.165
1681293275965,2023-04-12T11:54:35.965,4.723,0.793,0.188,0.556,-0.165
1681293275977,2023-04-12T11:54:35.977,4.735,0.794,0.188,0.555,-0.165
1681293275986,2023-04-12T11:54:35.986,4.744,0.795,0.186,0.554,-0.164
1681293275996,2023-04-12T11:54:35.996,4.754,0.796,0.185,0.553,-0.164
1681293276006,2023-04-12T11:54:36.006,4.764,0.797,0.184,0.552,-0.164
1681293276016,2023-04-12T11:54:36.016,4.774,0.797,0.183,0.551,-0.164
1681293276025,2023-04-12T11:54:36.025,4.783,0.798,0.182,0.551,-0.163
