epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681294917132,2023-04-12T12:21:57.132,4.030,0.796,-0.083,0.595,-0.073
1681294917142,2023-04-12T12:21:57.142,4.040,0.795,-0.082,0.596,-0.074
1681294917153,2023-04-12T12:21:57.153,4.051,0.795,-0.080,0.597,-0.076
1681294917161,2023-04-12T12:21:57.161,4.059,0.794,-0.079,0.598,-0.077
1681294917172,2023-04-12T12:21:57.172,4.070,0.793,-0.078,0.599,-0.078
1681294917182,2023-04-12T12:21:57.182,4.080,0.792,-0.077,0.600,-0.079
1681294917192,2023-04-12T12:21:57.192,4.090,0.792,-0.076,0.601,-0.080
1681294917203,2023-04-12T12:21:57.203,4.101,0.791,-0.075,0.602,-0.081
1681294917211,2023-04-12T12:21:57.211,4.109,0.791,-0.074,0.602,-0.082
1681294917222,2023-04-12T12:21:57.222,4.120,0.790,-0.073,0.603,-0.083
1681294917232,2023-04-12T12:21:57.232,4.130,0.789,-0.072,0.604,-0.084
1681294917242,2023-04-12T12:21:57.242,4.140,0.789,-0.071,0.604,-0.085
1681294917251,2023-04-12T12:21:57.251,4.149,0.788,-0.069,0.605,-0.087
1681294917261,2023-04-12T12:21:57.261,4.159,0.787,-0.068,0.606,-0.088
1681294917271,2023-04-12T12:21:57.271,4.169,0.786,-0.067,0.608,-0.089
1681294917282,2023-04-12T12:21:57.282,4.180,0.786,-0.066,0.609,-0.090
1681294917292,2023-04-12T12:21:57.292,4.190,0.785,-0.064,0.610,-0.091
1681294917301,2023-04-12T12:21:57.301,4.199,0.784,-0.064,0.610,-0.092
1681294917311,2023-04-12T12:21:57.311,4.209,0.783,-0.063,0.611,-0.094
1681294917321,2023-04-12T12:21:57.321,4.219,0.783,-0.062,0.612,-0.095
1681294917331,2023-04-12T12:21:57.331,4.229,0.782,-0.062,0.612,-0.096
1681294917342,2023-04-12T12:21:57.342,4.240,0.782,-0.061,0.613,-0.097
1681294917350,2023-04-12T12:21:57.350,4.248,0.781,-0.061,0.613,-0.098
1681294917361,2023-04-12T12:21:57.361,4.259,0.781,-0.060,0.614,-0.099
1681294917371,2023-04-12T12:21:57.371,4.269,0.780,-0.060,0.614,-0.100
1681294917381,2023-04-12T12:21:57.381,4.279,0.780,-0.060,0.615,-0.101
1681294917391,2023-04-12T12:21:57.391,4.289,0.779,-0.059,0.615,-0.102
1681294917400,2023-04-12T12:21:57.400,4.298,0.779,-0.059,0.616,-0.103
1681294917411,2023-04-12T12:21:57.411,4.309,0.778,-0.059,0.616,-0.104
1681294917421,2023-04-12T12:21:57.421,4.319,0.778,-0.060,0.617,-0.105
1681294917431,2023-04-12T12:21:57.431,4.329,0.777,-0.060,0.617,-0.106
1681294917441,2023-04-12T12:21:57.441,4.339,0.777,-0.060,0.618,-0.107
1681294917452,2023-04-12T12:21:57.452,4.350,0.776,-0.061,0.618,-0.108
1681294917460,2023-04-12T12:21:57.460,4.358,0.776,-0.062,0.619,-0.109
1681294917471,2023-04-12T12:21:57.471,4.369,0.775,-0.062,0.619,-0.110
1681294917481,2023-04-12T12:21:57.481,4.379,0.775,-0.063,0.619,-0.110
1681294917491,2023-04-12T12:21:57.491,4.389,0.775,-0.064,0.619,-0.111
1681294917500,2023-04-12T12:21:57.500,4.398,0.774,-0.065,0.620,-0.112
1681294917510,2023-04-12T12:21:57.510,4.408,0.773,-0.067,0.621,-0.113
1681294917520,2023-04-12T12:21:57.520,4.418,0.772,-0.068,0.621,-0.114
1681294917531,2023-04-12T12:21:57.531,4.429,0.772,-0.069,0.622,-0.115
