epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681295105809,2023-04-12T12:25:05.809,42.850,-0.006,0.045,0.030
1681295105819,2023-04-12T12:25:05.819,42.860,-0.011,0.044,0.027
1681295105829,2023-04-12T12:25:05.829,42.870,-0.018,0.038,0.029
1681295105840,2023-04-12T12:25:05.840,42.881,-0.023,0.035,0.024
1681295105848,2023-04-12T12:25:05.848,42.889,-0.036,0.036,0.015
1681295105859,2023-04-12T12:25:05.859,42.900,-0.037,0.033,0.008
1681295105869,2023-04-12T12:25:05.869,42.910,-0.033,0.022,0.005
1681295105879,2023-04-12T12:25:05.879,42.920,-0.039,0.002,-0.001
1681295105889,2023-04-12T12:25:05.889,42.930,-0.033,-0.006,-0.001
1681295105898,2023-04-12T12:25:05.898,42.939,-0.013,-0.007,0.019
1681295105909,2023-04-12T12:25:05.909,42.950,0.004,-0.014,0.040
1681295105919,2023-04-12T12:25:05.919,42.960,0.006,-0.010,0.043
1681295105929,2023-04-12T12:25:05.929,42.970,0.008,0.006,0.048
1681295105939,2023-04-12T12:25:05.939,42.980,0.013,0.020,0.054
1681295105948,2023-04-12T12:25:05.948,42.989,0.020,0.025,0.060
1681295105958,2023-04-12T12:25:05.958,42.999,0.018,0.039,0.054
1681295105969,2023-04-12T12:25:05.969,43.010,0.006,0.050,0.045
1681295105979,2023-04-12T12:25:05.979,43.020,-0.001,0.049,0.047
1681295105989,2023-04-12T12:25:05.989,43.030,-0.014,0.042,0.051
1681295105998,2023-04-12T12:25:05.998,43.039,-0.021,0.036,0.055
1681295106008,2023-04-12T12:25:06.008,43.049,-0.026,0.039,0.053
1681295106018,2023-04-12T12:25:06.018,43.059,-0.021,0.038,0.052
1681295106029,2023-04-12T12:25:06.029,43.070,-0.017,0.039,0.057
1681295106039,2023-04-12T12:25:06.039,43.080,-0.010,0.040,0.060
1681295106049,2023-04-12T12:25:06.049,43.090,-0.007,0.045,0.059
1681295106058,2023-04-12T12:25:06.058,43.099,-0.013,0.051,0.045
1681295106068,2023-04-12T12:25:06.068,43.109,-0.018,0.051,0.041
1681295106078,2023-04-12T12:25:06.078,43.119,-0.017,0.045,0.033
1681295106089,2023-04-12T12:25:06.089,43.130,-0.020,0.042,0.029
1681295106097,2023-04-12T12:25:06.097,43.138,-0.022,0.032,0.035
