epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681295106009,2023-04-12T12:25:06.009,43.084,0.024,-0.050,0.080
1681295106019,2023-04-12T12:25:06.019,43.094,0.023,-0.045,0.077
1681295106029,2023-04-12T12:25:06.029,43.104,0.013,-0.045,0.074
1681295106039,2023-04-12T12:25:06.039,43.114,0.005,-0.045,0.077
1681295106050,2023-04-12T12:25:06.050,43.125,-0.005,-0.048,0.075
1681295106058,2023-04-12T12:25:06.058,43.133,-0.016,-0.043,0.080
1681295106069,2023-04-12T12:25:06.069,43.144,-0.036,-0.038,0.082
1681295106079,2023-04-12T12:25:06.079,43.154,-0.045,-0.033,0.077
1681295106089,2023-04-12T12:25:06.089,43.164,-0.035,-0.028,0.077
1681295106099,2023-04-12T12:25:06.099,43.174,-0.031,-0.027,0.078
1681295106108,2023-04-12T12:25:06.108,43.183,-0.027,-0.027,0.072
1681295106120,2023-04-12T12:25:06.120,43.195,-0.021,-0.028,0.066
1681295106129,2023-04-12T12:25:06.129,43.204,-0.044,-0.029,0.066
1681295106139,2023-04-12T12:25:06.139,43.214,-0.064,-0.025,0.060
1681295106149,2023-04-12T12:25:06.149,43.224,-0.057,-0.015,0.048
1681295106159,2023-04-12T12:25:06.159,43.234,-0.062,0.007,0.047
1681295106168,2023-04-12T12:25:06.168,43.243,-0.069,0.030,0.046
1681295106178,2023-04-12T12:25:06.178,43.253,-0.086,0.046,0.047
1681295106189,2023-04-12T12:25:06.189,43.264,-0.106,0.038,0.063
1681295106199,2023-04-12T12:25:06.199,43.274,-0.132,0.024,0.056
1681295106209,2023-04-12T12:25:06.209,43.284,-0.138,0.033,0.028
1681295106218,2023-04-12T12:25:06.218,43.293,-0.125,0.057,0.014
1681295106228,2023-04-12T12:25:06.228,43.303,-0.144,0.073,0.019
1681295106239,2023-04-12T12:25:06.239,43.314,-0.160,0.073,0.034
1681295106249,2023-04-12T12:25:06.249,43.324,-0.190,0.063,0.052
1681295106259,2023-04-12T12:25:06.259,43.334,-0.206,0.050,0.062
1681295106268,2023-04-12T12:25:06.268,43.343,-0.208,0.039,0.086
1681295106280,2023-04-12T12:25:06.280,43.355,-0.237,0.014,0.128
1681295106288,2023-04-12T12:25:06.288,43.363,-0.253,0.005,0.152
1681295106299,2023-04-12T12:25:06.299,43.374,-0.229,-0.001,0.139
1681295106309,2023-04-12T12:25:06.309,43.384,-0.233,-0.053,0.165
1681295106319,2023-04-12T12:25:06.319,43.394,-0.227,-0.085,0.129
1681295106328,2023-04-12T12:25:06.328,43.403,-0.208,-0.107,0.113
1681295106338,2023-04-12T12:25:06.338,43.413,-0.211,-0.115,0.095
1681295106348,2023-04-12T12:25:06.348,43.423,-0.242,-0.065,0.024
1681295106359,2023-04-12T12:25:06.359,43.434,-0.252,0.011,0.001
1681295106369,2023-04-12T12:25:06.369,43.444,-0.249,0.083,0.001
1681295106378,2023-04-12T12:25:06.378,43.453,-0.226,0.118,0.006
1681295106388,2023-04-12T12:25:06.388,43.463,-0.189,0.137,0.000
