epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681295106019,2023-04-12T12:25:06.019,43.094,0.766,0.220,0.567,-0.211
1681295106029,2023-04-12T12:25:06.029,43.104,0.765,0.221,0.567,-0.211
1681295106039,2023-04-12T12:25:06.039,43.114,0.765,0.221,0.567,-0.211
1681295106050,2023-04-12T12:25:06.050,43.125,0.765,0.221,0.567,-0.211
1681295106058,2023-04-12T12:25:06.058,43.133,0.764,0.222,0.568,-0.210
1681295106069,2023-04-12T12:25:06.069,43.144,0.764,0.224,0.568,-0.209
1681295106079,2023-04-12T12:25:06.079,43.154,0.763,0.225,0.569,-0.208
1681295106089,2023-04-12T12:25:06.089,43.164,0.763,0.227,0.569,-0.207
1681295106099,2023-04-12T12:25:06.099,43.174,0.762,0.228,0.570,-0.206
1681295106108,2023-04-12T12:25:06.108,43.183,0.762,0.230,0.570,-0.205
1681295106120,2023-04-12T12:25:06.120,43.195,0.761,0.231,0.571,-0.204
1681295106129,2023-04-12T12:25:06.129,43.204,0.761,0.232,0.571,-0.203
1681295106139,2023-04-12T12:25:06.139,43.214,0.761,0.233,0.571,-0.203
1681295106149,2023-04-12T12:25:06.149,43.224,0.761,0.235,0.570,-0.202
1681295106159,2023-04-12T12:25:06.159,43.234,0.761,0.236,0.570,-0.201
1681295106168,2023-04-12T12:25:06.168,43.243,0.761,0.238,0.570,-0.200
1681295106178,2023-04-12T12:25:06.178,43.253,0.761,0.239,0.569,-0.199
1681295106189,2023-04-12T12:25:06.189,43.264,0.762,0.240,0.568,-0.198
1681295106199,2023-04-12T12:25:06.199,43.274,0.763,0.242,0.566,-0.197
1681295106209,2023-04-12T12:25:06.209,43.284,0.764,0.243,0.564,-0.197
1681295106218,2023-04-12T12:25:06.218,43.293,0.766,0.244,0.562,-0.196
1681295106228,2023-04-12T12:25:06.228,43.303,0.767,0.244,0.560,-0.196
1681295106239,2023-04-12T12:25:06.239,43.314,0.768,0.245,0.558,-0.195
1681295106249,2023-04-12T12:25:06.249,43.324,0.770,0.245,0.557,-0.195
1681295106259,2023-04-12T12:25:06.259,43.334,0.771,0.246,0.555,-0.194
1681295106268,2023-04-12T12:25:06.268,43.343,0.772,0.247,0.553,-0.193
1681295106280,2023-04-12T12:25:06.280,43.355,0.773,0.247,0.551,-0.192
1681295106288,2023-04-12T12:25:06.288,43.363,0.775,0.248,0.549,-0.192
1681295106299,2023-04-12T12:25:06.299,43.374,0.776,0.248,0.548,-0.191
1681295106309,2023-04-12T12:25:06.309,43.384,0.777,0.248,0.546,-0.190
1681295106319,2023-04-12T12:25:06.319,43.394,0.778,0.248,0.545,-0.189
1681295106328,2023-04-12T12:25:06.328,43.403,0.779,0.248,0.544,-0.188
1681295106338,2023-04-12T12:25:06.338,43.413,0.778,0.250,0.545,-0.188
1681295106348,2023-04-12T12:25:06.348,43.423,0.778,0.251,0.545,-0.188
1681295106359,2023-04-12T12:25:06.359,43.434,0.777,0.253,0.545,-0.187
1681295106369,2023-04-12T12:25:06.369,43.444,0.776,0.256,0.546,-0.187
1681295106378,2023-04-12T12:25:06.378,43.453,0.775,0.258,0.546,-0.186
1681295106388,2023-04-12T12:25:06.388,43.463,0.774,0.260,0.547,-0.185
1681295106398,2023-04-12T12:25:06.398,43.473,0.773,0.262,0.547,-0.183
1681295106408,2023-04-12T12:25:06.408,43.483,0.773,0.263,0.548,-0.181
1681295106419,2023-04-12T12:25:06.419,43.494,0.772,0.265,0.549,-0.180
1681295106429,2023-04-12T12:25:06.429,43.504,0.771,0.265,0.551,-0.178
1681295106439,2023-04-12T12:25:06.439,43.514,0.770,0.266,0.552,-0.176
1681295106448,2023-04-12T12:25:06.448,43.523,0.769,0.267,0.554,-0.174
1681295106458,2023-04-12T12:25:06.458,43.533,0.767,0.269,0.557,-0.173
1681295106469,2023-04-12T12:25:06.469,43.544,0.765,0.270,0.559,-0.172
1681295106479,2023-04-12T12:25:06.479,43.554,0.763,0.272,0.561,-0.171
1681295106488,2023-04-12T12:25:06.488,43.563,0.761,0.274,0.563,-0.170
1681295106498,2023-04-12T12:25:06.498,43.573,0.759,0.275,0.565,-0.170
1681295106508,2023-04-12T12:25:06.508,43.583,0.757,0.277,0.567,-0.169
1681295106518,2023-04-12T12:25:06.518,43.593,0.756,0.279,0.568,-0.168
1681295106529,2023-04-12T12:25:06.529,43.604,0.754,0.280,0.570,-0.167
1681295106539,2023-04-12T12:25:06.539,43.614,0.753,0.281,0.571,-0.166
1681295106548,2023-04-12T12:25:06.548,43.623,0.752,0.282,0.573,-0.164
1681295106558,2023-04-12T12:25:06.558,43.633,0.751,0.282,0.574,-0.162
1681295106568,2023-04-12T12:25:06.568,43.643,0.751,0.283,0.575,-0.160
1681295106578,2023-04-12T12:25:06.578,43.653,0.751,0.283,0.576,-0.158
1681295106589,2023-04-12T12:25:06.589,43.664,0.751,0.283,0.576,-0.156
1681295106599,2023-04-12T12:25:06.599,43.674,0.751,0.282,0.577,-0.154
1681295106608,2023-04-12T12:25:06.608,43.683,0.751,0.282,0.578,-0.151
1681295106618,2023-04-12T12:25:06.618,43.693,0.751,0.281,0.578,-0.149
1681295106628,2023-04-12T12:25:06.628,43.703,0.751,0.280,0.579,-0.146
1681295106638,2023-04-12T12:25:06.638,43.713,0.752,0.278,0.580,-0.143
1681295106649,2023-04-12T12:25:06.649,43.724,0.752,0.277,0.581,-0.141
1681295106658,2023-04-12T12:25:06.658,43.733,0.753,0.274,0.581,-0.138
1681295106668,2023-04-12T12:25:06.668,43.743,0.755,0.272,0.581,-0.135
1681295106678,2023-04-12T12:25:06.678,43.753,0.757,0.271,0.580,-0.133
1681295106688,2023-04-12T12:25:06.688,43.763,0.758,0.270,0.579,-0.130
1681295106699,2023-04-12T12:25:06.699,43.774,0.759,0.269,0.579,-0.127
1681295106707,2023-04-12T12:25:06.707,43.782,0.760,0.269,0.579,-0.125
1681295106718,2023-04-12T12:25:06.718,43.793,0.760,0.269,0.579,-0.122
1681295106728,2023-04-12T12:25:06.728,43.803,0.760,0.269,0.580,-0.120
1681295106738,2023-04-12T12:25:06.738,43.813,0.759,0.268,0.581,-0.118
1681295106748,2023-04-12T12:25:06.748,43.823,0.758,0.268,0.582,-0.116
1681295106757,2023-04-12T12:25:06.757,43.832,0.758,0.268,0.584,-0.114
1681295106769,2023-04-12T12:25:06.769,43.844,0.757,0.268,0.585,-0.111
1681295106778,2023-04-12T12:25:06.778,43.853,0.757,0.268,0.586,-0.108
1681295106788,2023-04-12T12:25:06.788,43.863,0.756,0.268,0.588,-0.105
1681295106798,2023-04-12T12:25:06.798,43.873,0.755,0.268,0.590,-0.101
1681295106808,2023-04-12T12:25:06.808,43.883,0.753,0.269,0.593,-0.097
1681295106817,2023-04-12T12:25:06.817,43.892,0.751,0.269,0.596,-0.093
1681295106827,2023-04-12T12:25:06.827,43.902,0.748,0.270,0.599,-0.089
1681295106838,2023-04-12T12:25:06.838,43.913,0.745,0.271,0.603,-0.085
1681295106848,2023-04-12T12:25:06.848,43.923,0.742,0.272,0.608,-0.080
1681295106858,2023-04-12T12:25:06.858,43.933,0.739,0.272,0.612,-0.075
1681295106867,2023-04-12T12:25:06.867,43.942,0.735,0.272,0.617,-0.070
1681295106877,2023-04-12T12:25:06.877,43.952,0.732,0.272,0.622,-0.064
1681295106887,2023-04-12T12:25:06.887,43.962,0.728,0.271,0.627,-0.059
1681295106898,2023-04-12T12:25:06.898,43.973,0.724,0.271,0.632,-0.056
1681295106908,2023-04-12T12:25:06.908,43.983,0.719,0.271,0.637,-0.054
1681295106918,2023-04-12T12:25:06.918,43.993,0.715,0.272,0.642,-0.055
1681295106928,2023-04-12T12:25:06.928,44.003,0.710,0.273,0.646,-0.057
1681295106937,2023-04-12T12:25:06.937,44.012,0.706,0.276,0.650,-0.061
1681295106948,2023-04-12T12:25:06.948,44.023,0.702,0.279,0.652,-0.065
1681295106958,2023-04-12T12:25:06.958,44.033,0.699,0.281,0.653,-0.071
1681295106968,2023-04-12T12:25:06.968,44.043,0.698,0.282,0.654,-0.077
1681295106977,2023-04-12T12:25:06.977,44.052,0.698,0.281,0.653,-0.084
1681295106987,2023-04-12T12:25:06.987,44.062,0.700,0.280,0.651,-0.091
1681295106997,2023-04-12T12:25:06.997,44.072,0.701,0.277,0.650,-0.098
1681295107008,2023-04-12T12:25:07.008,44.083,0.703,0.272,0.649,-0.104
1681295107018,2023-04-12T12:25:07.018,44.093,0.706,0.266,0.647,-0.110
1681295107027,2023-04-12T12:25:07.027,44.102,0.709,0.260,0.646,-0.115
1681295107037,2023-04-12T12:25:07.037,44.112,0.713,0.254,0.643,-0.118
1681295107047,2023-04-12T12:25:07.047,44.122,0.718,0.249,0.639,-0.121
1681295107057,2023-04-12T12:25:07.057,44.132,0.720,0.247,0.636,-0.122
1681295107068,2023-04-12T12:25:07.068,44.143,0.723,0.247,0.634,-0.123
1681295107078,2023-04-12T12:25:07.078,44.153,0.725,0.246,0.631,-0.122
1681295107088,2023-04-12T12:25:07.088,44.163,0.727,0.246,0.630,-0.122
1681295107097,2023-04-12T12:25:07.097,44.172,0.727,0.247,0.629,-0.122
1681295107107,2023-04-12T12:25:07.107,44.182,0.725,0.249,0.630,-0.123
1681295107117,2023-04-12T12:25:07.117,44.192,0.723,0.252,0.631,-0.126
1681295107128,2023-04-12T12:25:07.128,44.203,0.722,0.255,0.630,-0.129
1681295107137,2023-04-12T12:25:07.137,44.212,0.721,0.257,0.629,-0.133
1681295107147,2023-04-12T12:25:07.147,44.222,0.720,0.259,0.629,-0.136
1681295107157,2023-04-12T12:25:07.157,44.232,0.720,0.260,0.629,-0.136
1681295107167,2023-04-12T12:25:07.167,44.242,0.721,0.260,0.628,-0.135
1681295107178,2023-04-12T12:25:07.178,44.253,0.722,0.260,0.627,-0.133
1681295107188,2023-04-12T12:25:07.188,44.263,0.724,0.259,0.626,-0.128
1681295107197,2023-04-12T12:25:07.197,44.272,0.727,0.257,0.625,-0.121
1681295107207,2023-04-12T12:25:07.207,44.282,0.731,0.255,0.623,-0.112
1681295107217,2023-04-12T12:25:07.217,44.292,0.735,0.251,0.622,-0.102
1681295107227,2023-04-12T12:25:07.227,44.302,0.738,0.246,0.621,-0.093
1681295107238,2023-04-12T12:25:07.238,44.313,0.740,0.242,0.622,-0.084
1681295107248,2023-04-12T12:25:07.248,44.323,0.741,0.239,0.623,-0.076
1681295107257,2023-04-12T12:25:07.257,44.332,0.741,0.235,0.625,-0.071
1681295107267,2023-04-12T12:25:07.267,44.342,0.741,0.232,0.627,-0.066
1681295107277,2023-04-12T12:25:07.277,44.352,0.740,0.228,0.629,-0.062
1681295107287,2023-04-12T12:25:07.287,44.362,0.741,0.222,0.631,-0.061
