epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681295243946,2023-04-12T12:27:23.946,3.681,-0.062,-0.033,-0.003
1681295243956,2023-04-12T12:27:23.956,3.691,-0.076,-0.034,-0.007
1681295243967,2023-04-12T12:27:23.967,3.702,-0.071,-0.033,-0.011
1681295243977,2023-04-12T12:27:23.977,3.712,-0.049,-0.019,-0.009
1681295243986,2023-04-12T12:27:23.986,3.721,-0.029,-0.004,-0.006
1681295243996,2023-04-12T12:27:23.996,3.731,-0.013,0.004,-0.006
1681295244006,2023-04-12T12:27:24.006,3.741,-0.005,-0.001,-0.014
1681295244016,2023-04-12T12:27:24.016,3.751,-0.006,-0.005,-0.020
1681295244027,2023-04-12T12:27:24.027,3.762,-0.006,-0.009,-0.019
1681295244035,2023-04-12T12:27:24.035,3.770,0.004,-0.012,-0.008
1681295244046,2023-04-12T12:27:24.046,3.781,0.012,-0.011,-0.004
1681295244056,2023-04-12T12:27:24.056,3.791,0.013,-0.004,-0.009
1681295244066,2023-04-12T12:27:24.066,3.801,0.003,0.003,-0.009
1681295244076,2023-04-12T12:27:24.076,3.811,-0.014,-0.001,-0.011
1681295244087,2023-04-12T12:27:24.087,3.822,-0.032,-0.015,-0.014
1681295244095,2023-04-12T12:27:24.095,3.830,-0.039,-0.029,-0.009
1681295244106,2023-04-12T12:27:24.106,3.841,-0.032,-0.033,0.003
1681295244116,2023-04-12T12:27:24.116,3.851,-0.018,-0.027,0.017
1681295244126,2023-04-12T12:27:24.126,3.861,-0.003,-0.019,0.026
1681295244136,2023-04-12T12:27:24.136,3.871,-0.006,-0.007,0.029
1681295244145,2023-04-12T12:27:24.145,3.880,-0.013,0.004,0.033
1681295244155,2023-04-12T12:27:24.155,3.890,-0.016,0.013,0.036
1681295244166,2023-04-12T12:27:24.166,3.901,-0.020,0.023,0.033
1681295244176,2023-04-12T12:27:24.176,3.911,-0.027,0.030,0.032
1681295244185,2023-04-12T12:27:24.185,3.920,-0.028,0.036,0.028
1681295244195,2023-04-12T12:27:24.195,3.930,-0.030,0.034,0.029
1681295244205,2023-04-12T12:27:24.205,3.940,-0.029,0.027,0.025
1681295244216,2023-04-12T12:27:24.216,3.951,-0.029,0.017,0.020
1681295244224,2023-04-12T12:27:24.224,3.959,-0.031,0.019,0.024
1681295244235,2023-04-12T12:27:24.235,3.970,-0.027,0.030,0.025
1681295244245,2023-04-12T12:27:24.245,3.980,-0.024,0.040,0.031
1681295244255,2023-04-12T12:27:24.255,3.990,-0.025,0.037,0.031
1681295244265,2023-04-12T12:27:24.265,4.000,-0.032,0.030,0.026
1681295244274,2023-04-12T12:27:24.274,4.009,-0.034,0.023,0.025
1681295244284,2023-04-12T12:27:24.284,4.019,-0.036,0.022,0.027
1681295244295,2023-04-12T12:27:24.295,4.030,-0.037,0.030,0.033
1681295244305,2023-04-12T12:27:24.305,4.040,-0.033,0.040,0.037
1681295244315,2023-04-12T12:27:24.315,4.050,-0.027,0.045,0.042
1681295244324,2023-04-12T12:27:24.324,4.059,-0.023,0.043,0.044
1681295244334,2023-04-12T12:27:24.334,4.069,-0.022,0.039,0.039
1681295244344,2023-04-12T12:27:24.344,4.079,-0.025,0.040,0.040
1681295244355,2023-04-12T12:27:24.355,4.090,-0.022,0.043,0.043
1681295244365,2023-04-12T12:27:24.365,4.100,-0.014,0.041,0.042
1681295244375,2023-04-12T12:27:24.375,4.110,-0.017,0.035,0.043
1681295244384,2023-04-12T12:27:24.384,4.119,-0.025,0.028,0.044
1681295244394,2023-04-12T12:27:24.394,4.129,-0.029,0.027,0.047
1681295244405,2023-04-12T12:27:24.405,4.140,-0.028,0.034,0.053
