epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681295243956,2023-04-12T12:27:23.956,3.691,0.784,-0.226,0.567,0.117
1681295243967,2023-04-12T12:27:23.967,3.702,0.783,-0.227,0.567,0.117
1681295243977,2023-04-12T12:27:23.977,3.712,0.782,-0.228,0.568,0.116
1681295243986,2023-04-12T12:27:23.986,3.721,0.782,-0.229,0.568,0.115
1681295243996,2023-04-12T12:27:23.996,3.731,0.781,-0.231,0.569,0.115
1681295244006,2023-04-12T12:27:24.006,3.741,0.781,-0.232,0.569,0.114
1681295244016,2023-04-12T12:27:24.016,3.751,0.780,-0.233,0.569,0.114
1681295244027,2023-04-12T12:27:24.027,3.762,0.780,-0.234,0.570,0.113
1681295244035,2023-04-12T12:27:24.035,3.770,0.779,-0.235,0.570,0.112
1681295244046,2023-04-12T12:27:24.046,3.781,0.779,-0.236,0.570,0.111
1681295244056,2023-04-12T12:27:24.056,3.791,0.778,-0.237,0.571,0.110
1681295244066,2023-04-12T12:27:24.066,3.801,0.778,-0.238,0.571,0.110
1681295244076,2023-04-12T12:27:24.076,3.811,0.777,-0.239,0.572,0.109
1681295244087,2023-04-12T12:27:24.087,3.822,0.777,-0.240,0.572,0.108
1681295244095,2023-04-12T12:27:24.095,3.830,0.776,-0.241,0.573,0.107
1681295244106,2023-04-12T12:27:24.106,3.841,0.776,-0.242,0.573,0.106
1681295244116,2023-04-12T12:27:24.116,3.851,0.776,-0.242,0.573,0.105
1681295244126,2023-04-12T12:27:24.126,3.861,0.776,-0.243,0.573,0.104
1681295244136,2023-04-12T12:27:24.136,3.871,0.775,-0.243,0.574,0.103
1681295244145,2023-04-12T12:27:24.145,3.880,0.775,-0.243,0.574,0.102
1681295244155,2023-04-12T12:27:24.155,3.890,0.775,-0.244,0.574,0.101
1681295244166,2023-04-12T12:27:24.166,3.901,0.775,-0.244,0.574,0.100
1681295244176,2023-04-12T12:27:24.176,3.911,0.775,-0.244,0.575,0.099
1681295244185,2023-04-12T12:27:24.185,3.920,0.775,-0.245,0.575,0.098
1681295244195,2023-04-12T12:27:24.195,3.930,0.774,-0.246,0.575,0.097
1681295244205,2023-04-12T12:27:24.205,3.940,0.774,-0.247,0.575,0.096
