epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681295244172,2023-04-12T12:27:24.172,3.943,-0.039,0.006,-0.028
1681295244182,2023-04-12T12:27:24.182,3.953,-0.036,0.008,-0.016
1681295244191,2023-04-12T12:27:24.191,3.962,-0.033,0.000,-0.003
1681295244201,2023-04-12T12:27:24.201,3.972,-0.037,-0.005,-0.004
1681295244212,2023-04-12T12:27:24.212,3.983,-0.040,-0.014,-0.011
1681295244222,2023-04-12T12:27:24.222,3.993,-0.029,-0.027,-0.017
1681295244232,2023-04-12T12:27:24.232,4.003,-0.013,-0.037,-0.011
1681295244242,2023-04-12T12:27:24.242,4.013,-0.006,-0.036,-0.002
1681295244251,2023-04-12T12:27:24.251,4.022,-0.005,-0.039,-0.010
1681295244261,2023-04-12T12:27:24.261,4.032,-0.007,-0.039,-0.014
1681295244272,2023-04-12T12:27:24.272,4.043,-0.004,-0.032,-0.022
1681295244282,2023-04-12T12:27:24.282,4.053,-0.005,-0.026,-0.037
1681295244292,2023-04-12T12:27:24.292,4.063,-0.007,-0.015,-0.023
1681295244301,2023-04-12T12:27:24.301,4.072,-0.010,-0.019,-0.022
1681295244311,2023-04-12T12:27:24.311,4.082,-0.019,-0.028,-0.019
1681295244321,2023-04-12T12:27:24.321,4.092,-0.025,-0.041,-0.022
1681295244332,2023-04-12T12:27:24.332,4.103,-0.024,-0.049,-0.024
1681295244342,2023-04-12T12:27:24.342,4.113,-0.024,-0.055,-0.029
1681295244352,2023-04-12T12:27:24.352,4.123,-0.022,-0.057,-0.028
1681295244361,2023-04-12T12:27:24.361,4.132,-0.006,-0.058,-0.020
1681295244371,2023-04-12T12:27:24.371,4.142,0.008,-0.058,-0.009
1681295244381,2023-04-12T12:27:24.381,4.152,0.011,-0.064,-0.013
1681295244392,2023-04-12T12:27:24.392,4.163,0.000,-0.068,-0.028
1681295244402,2023-04-12T12:27:24.402,4.173,-0.004,-0.068,-0.033
1681295244411,2023-04-12T12:27:24.411,4.182,-0.005,-0.063,-0.033
1681295244421,2023-04-12T12:27:24.421,4.192,-0.013,-0.059,-0.037
1681295244431,2023-04-12T12:27:24.431,4.202,-0.021,-0.050,-0.042
1681295244442,2023-04-12T12:27:24.442,4.213,-0.028,-0.031,-0.030
1681295244452,2023-04-12T12:27:24.452,4.223,-0.025,-0.011,-0.027
1681295244462,2023-04-12T12:27:24.462,4.233,-0.020,-0.001,-0.028
1681295244471,2023-04-12T12:27:24.471,4.242,-0.005,0.003,-0.035
1681295244481,2023-04-12T12:27:24.481,4.252,0.020,0.002,-0.039
1681295244491,2023-04-12T12:27:24.491,4.262,0.041,-0.002,-0.032
1681295244502,2023-04-12T12:27:24.502,4.273,0.048,-0.006,-0.035
1681295244512,2023-04-12T12:27:24.512,4.283,0.035,-0.004,-0.058
