epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681295244182,2023-04-12T12:27:24.182,3.953,0.814,0.079,0.570,0.070
1681295244191,2023-04-12T12:27:24.191,3.962,0.815,0.081,0.570,0.070
1681295244201,2023-04-12T12:27:24.201,3.972,0.815,0.082,0.570,0.071
1681295244212,2023-04-12T12:27:24.212,3.983,0.815,0.083,0.569,0.071
1681295244222,2023-04-12T12:27:24.222,3.993,0.815,0.084,0.569,0.071
1681295244232,2023-04-12T12:27:24.232,4.003,0.815,0.085,0.569,0.072
1681295244242,2023-04-12T12:27:24.242,4.013,0.815,0.085,0.569,0.072
1681295244251,2023-04-12T12:27:24.251,4.022,0.815,0.086,0.568,0.073
1681295244261,2023-04-12T12:27:24.261,4.032,0.815,0.087,0.568,0.073
1681295244272,2023-04-12T12:27:24.272,4.043,0.815,0.088,0.568,0.074
1681295244282,2023-04-12T12:27:24.282,4.053,0.815,0.090,0.568,0.074
1681295244292,2023-04-12T12:27:24.292,4.063,0.815,0.090,0.568,0.075
1681295244301,2023-04-12T12:27:24.301,4.072,0.815,0.091,0.568,0.075
1681295244311,2023-04-12T12:27:24.311,4.082,0.815,0.092,0.568,0.076
1681295244321,2023-04-12T12:27:24.321,4.092,0.815,0.093,0.567,0.077
1681295244332,2023-04-12T12:27:24.332,4.103,0.814,0.093,0.567,0.077
1681295244342,2023-04-12T12:27:24.342,4.113,0.814,0.094,0.567,0.078
1681295244352,2023-04-12T12:27:24.352,4.123,0.814,0.094,0.568,0.078
1681295244361,2023-04-12T12:27:24.361,4.132,0.814,0.095,0.568,0.079
1681295244371,2023-04-12T12:27:24.371,4.142,0.814,0.095,0.568,0.080
1681295244381,2023-04-12T12:27:24.381,4.152,0.813,0.095,0.568,0.081
1681295244392,2023-04-12T12:27:24.392,4.163,0.813,0.096,0.568,0.082
1681295244402,2023-04-12T12:27:24.402,4.173,0.813,0.097,0.568,0.083
1681295244411,2023-04-12T12:27:24.411,4.182,0.813,0.097,0.568,0.084
1681295244421,2023-04-12T12:27:24.421,4.192,0.812,0.097,0.569,0.085
1681295244431,2023-04-12T12:27:24.431,4.202,0.812,0.098,0.569,0.086
1681295244442,2023-04-12T12:27:24.442,4.213,0.812,0.098,0.569,0.087
1681295244452,2023-04-12T12:27:24.452,4.223,0.812,0.099,0.569,0.089
1681295244462,2023-04-12T12:27:24.462,4.233,0.812,0.099,0.568,0.091
1681295244471,2023-04-12T12:27:24.471,4.242,0.812,0.100,0.568,0.093
1681295244481,2023-04-12T12:27:24.481,4.252,0.811,0.100,0.568,0.095
1681295244491,2023-04-12T12:27:24.491,4.262,0.811,0.101,0.568,0.097
1681295244502,2023-04-12T12:27:24.502,4.273,0.811,0.102,0.568,0.099
1681295244512,2023-04-12T12:27:24.512,4.283,0.810,0.102,0.568,0.102
1681295244521,2023-04-12T12:27:24.521,4.292,0.810,0.103,0.568,0.104
1681295244531,2023-04-12T12:27:24.531,4.302,0.809,0.103,0.568,0.107
1681295244541,2023-04-12T12:27:24.541,4.312,0.809,0.104,0.568,0.110
1681295244551,2023-04-12T12:27:24.551,4.322,0.808,0.104,0.569,0.113
1681295244562,2023-04-12T12:27:24.562,4.333,0.807,0.104,0.569,0.116
1681295244570,2023-04-12T12:27:24.570,4.341,0.806,0.105,0.570,0.119
1681295244581,2023-04-12T12:27:24.581,4.352,0.805,0.106,0.570,0.122
1681295244591,2023-04-12T12:27:24.591,4.362,0.804,0.107,0.571,0.125
1681295244601,2023-04-12T12:27:24.601,4.372,0.803,0.108,0.571,0.129
1681295244611,2023-04-12T12:27:24.611,4.382,0.802,0.109,0.572,0.132
1681295244622,2023-04-12T12:27:24.622,4.393,0.802,0.110,0.572,0.135
1681295244631,2023-04-12T12:27:24.631,4.402,0.801,0.111,0.572,0.138
1681295244641,2023-04-12T12:27:24.641,4.412,0.800,0.113,0.572,0.141
1681295244651,2023-04-12T12:27:24.651,4.422,0.800,0.114,0.572,0.143
1681295244661,2023-04-12T12:27:24.661,4.432,0.799,0.115,0.572,0.146
1681295244672,2023-04-12T12:27:24.672,4.443,0.799,0.117,0.572,0.148
1681295244680,2023-04-12T12:27:24.680,4.451,0.798,0.119,0.571,0.149
1681295244691,2023-04-12T12:27:24.691,4.462,0.798,0.122,0.571,0.150
1681295244701,2023-04-12T12:27:24.701,4.472,0.798,0.125,0.571,0.151
1681295244711,2023-04-12T12:27:24.711,4.482,0.797,0.129,0.571,0.151
1681295244721,2023-04-12T12:27:24.721,4.492,0.796,0.133,0.571,0.150
1681295244732,2023-04-12T12:27:24.732,4.503,0.795,0.137,0.571,0.149
1681295244740,2023-04-12T12:27:24.740,4.511,0.794,0.142,0.572,0.148
1681295244751,2023-04-12T12:27:24.751,4.522,0.793,0.147,0.573,0.145
1681295244761,2023-04-12T12:27:24.761,4.532,0.792,0.152,0.574,0.142
1681295244771,2023-04-12T12:27:24.771,4.542,0.791,0.157,0.575,0.139
1681295244781,2023-04-12T12:27:24.781,4.552,0.790,0.162,0.576,0.135
1681295244790,2023-04-12T12:27:24.790,4.561,0.789,0.166,0.578,0.131
1681295244802,2023-04-12T12:27:24.802,4.573,0.786,0.169,0.580,0.127
1681295244811,2023-04-12T12:27:24.811,4.582,0.784,0.170,0.584,0.123
1681295244821,2023-04-12T12:27:24.821,4.592,0.782,0.170,0.587,0.118
1681295244831,2023-04-12T12:27:24.831,4.602,0.782,0.170,0.590,0.112
1681295244841,2023-04-12T12:27:24.841,4.612,0.782,0.170,0.591,0.104
1681295244850,2023-04-12T12:27:24.850,4.621,0.784,0.170,0.589,0.095
1681295244860,2023-04-12T12:27:24.860,4.631,0.788,0.171,0.585,0.085
1681295244871,2023-04-12T12:27:24.871,4.642,0.792,0.174,0.580,0.073
1681295244881,2023-04-12T12:27:24.881,4.652,0.795,0.179,0.577,0.060
1681295244891,2023-04-12T12:27:24.891,4.662,0.797,0.185,0.573,0.047
1681295244900,2023-04-12T12:27:24.900,4.671,0.798,0.192,0.569,0.034
1681295244910,2023-04-12T12:27:24.910,4.681,0.799,0.201,0.567,0.023
1681295244921,2023-04-12T12:27:24.921,4.692,0.798,0.210,0.565,0.014
1681295244931,2023-04-12T12:27:24.931,4.702,0.797,0.218,0.563,0.006
1681295244941,2023-04-12T12:27:24.941,4.712,0.797,0.226,0.561,-0.003
1681295244950,2023-04-12T12:27:24.950,4.721,0.797,0.233,0.557,-0.012
1681295244962,2023-04-12T12:27:24.962,4.733,0.798,0.239,0.553,-0.021
1681295244970,2023-04-12T12:27:24.970,4.741,0.798,0.246,0.549,-0.030
1681295244981,2023-04-12T12:27:24.981,4.752,0.800,0.253,0.543,-0.040
1681295244991,2023-04-12T12:27:24.991,4.762,0.801,0.259,0.538,-0.048
1681295245001,2023-04-12T12:27:25.001,4.772,0.802,0.265,0.532,-0.056
1681295245010,2023-04-12T12:27:25.010,4.781,0.803,0.271,0.527,-0.061
1681295245020,2023-04-12T12:27:25.020,4.791,0.804,0.276,0.523,-0.065
1681295245030,2023-04-12T12:27:25.030,4.801,0.805,0.279,0.519,-0.067
1681295245041,2023-04-12T12:27:25.041,4.812,0.807,0.281,0.515,-0.067
1681295245051,2023-04-12T12:27:25.051,4.822,0.810,0.281,0.511,-0.065
1681295245060,2023-04-12T12:27:25.060,4.831,0.812,0.279,0.509,-0.062
1681295245070,2023-04-12T12:27:25.070,4.841,0.814,0.277,0.507,-0.057
1681295245080,2023-04-12T12:27:25.080,4.851,0.815,0.274,0.508,-0.051
1681295245090,2023-04-12T12:27:25.090,4.861,0.814,0.271,0.511,-0.045
1681295245101,2023-04-12T12:27:25.101,4.872,0.813,0.269,0.515,-0.039
1681295245111,2023-04-12T12:27:25.111,4.882,0.812,0.267,0.518,-0.035
1681295245121,2023-04-12T12:27:25.121,4.892,0.811,0.264,0.521,-0.031
1681295245130,2023-04-12T12:27:25.130,4.901,0.812,0.260,0.522,-0.029
1681295245140,2023-04-12T12:27:25.140,4.911,0.814,0.254,0.523,-0.027
1681295245151,2023-04-12T12:27:25.151,4.922,0.814,0.246,0.526,-0.024
1681295245161,2023-04-12T12:27:25.161,4.932,0.814,0.237,0.530,-0.021
1681295245170,2023-04-12T12:27:25.170,4.941,0.814,0.229,0.534,-0.018
1681295245180,2023-04-12T12:27:25.180,4.951,0.813,0.221,0.538,-0.014
1681295245190,2023-04-12T12:27:25.190,4.961,0.815,0.215,0.539,-0.013
1681295245200,2023-04-12T12:27:25.200,4.971,0.817,0.210,0.537,-0.016
1681295245211,2023-04-12T12:27:25.211,4.982,0.822,0.206,0.531,-0.022
1681295245221,2023-04-12T12:27:25.221,4.992,0.826,0.201,0.526,-0.025
1681295245230,2023-04-12T12:27:25.230,5.001,0.832,0.196,0.519,-0.018
1681295245240,2023-04-12T12:27:25.240,5.011,0.837,0.189,0.513,-0.007
1681295245250,2023-04-12T12:27:25.250,5.021,0.839,0.184,0.513,0.004
1681295245260,2023-04-12T12:27:25.260,5.031,0.838,0.179,0.515,0.013
1681295245271,2023-04-12T12:27:25.271,5.042,0.838,0.177,0.516,0.023
1681295245279,2023-04-12T12:27:25.279,5.050,0.838,0.175,0.517,0.033
1681295245291,2023-04-12T12:27:25.291,5.062,0.837,0.173,0.518,0.043
1681295245300,2023-04-12T12:27:25.300,5.071,0.835,0.173,0.519,0.052
1681295245310,2023-04-12T12:27:25.310,5.081,0.833,0.173,0.521,0.060
1681295245320,2023-04-12T12:27:25.320,5.091,0.831,0.174,0.524,0.066
1681295245331,2023-04-12T12:27:25.331,5.102,0.828,0.174,0.528,0.070
1681295245339,2023-04-12T12:27:25.339,5.110,0.826,0.177,0.531,0.071
1681295245350,2023-04-12T12:27:25.350,5.121,0.823,0.180,0.535,0.068
1681295245360,2023-04-12T12:27:25.360,5.131,0.819,0.186,0.539,0.064
