epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680876943792,2023-04-07T16:15:43.792,3.652,-0.002,0.002,0.045
1680876943802,2023-04-07T16:15:43.802,3.662,-0.002,-0.000,0.045
1680876943811,2023-04-07T16:15:43.811,3.671,-0.000,0.000,0.044
1680876943821,2023-04-07T16:15:43.821,3.681,-0.001,0.002,0.044
1680876943831,2023-04-07T16:15:43.831,3.691,-0.002,0.001,0.043
1680876943842,2023-04-07T16:15:43.842,3.702,-0.002,0.001,0.044
1680876943852,2023-04-07T16:15:43.852,3.712,-0.001,0.002,0.046
1680876943861,2023-04-07T16:15:43.861,3.721,-0.001,0.002,0.045
1680876943871,2023-04-07T16:15:43.871,3.731,-0.000,0.002,0.043
1680876943881,2023-04-07T16:15:43.881,3.741,-0.002,0.002,0.043
1680876943891,2023-04-07T16:15:43.891,3.751,-0.000,0.000,0.044
1680876943902,2023-04-07T16:15:43.902,3.762,-0.001,-0.000,0.045
1680876943910,2023-04-07T16:15:43.910,3.770,-0.001,0.001,0.045
1680876943921,2023-04-07T16:15:43.921,3.781,0.000,0.002,0.044
1680876943931,2023-04-07T16:15:43.931,3.791,-0.000,0.002,0.047
1680876943941,2023-04-07T16:15:43.941,3.801,-0.001,0.001,0.046
1680876943951,2023-04-07T16:15:43.951,3.811,-0.001,0.000,0.043
1680876943960,2023-04-07T16:15:43.960,3.820,-0.001,0.001,0.045
1680876943971,2023-04-07T16:15:43.971,3.831,-0.002,0.001,0.045
1680876943981,2023-04-07T16:15:43.981,3.841,-0.001,0.000,0.044
1680876943991,2023-04-07T16:15:43.991,3.851,-0.000,0.002,0.044
1680876944001,2023-04-07T16:15:44.001,3.861,-0.002,0.002,0.045
1680876944010,2023-04-07T16:15:44.010,3.870,-0.000,0.002,0.043
1680876944020,2023-04-07T16:15:44.020,3.880,0.000,0.001,0.044
1680876944031,2023-04-07T16:15:44.031,3.891,-0.002,0.001,0.044
1680876944041,2023-04-07T16:15:44.041,3.901,0.000,0.001,0.043
1680876944051,2023-04-07T16:15:44.051,3.911,-0.000,0.002,0.044
1680876944060,2023-04-07T16:15:44.060,3.920,-0.001,0.002,0.043
1680876944070,2023-04-07T16:15:44.070,3.930,-0.002,0.000,0.047
1680876944080,2023-04-07T16:15:44.080,3.940,0.000,0.002,0.045
1680876944091,2023-04-07T16:15:44.091,3.951,0.001,0.002,0.045
1680876944101,2023-04-07T16:15:44.101,3.961,-0.001,0.002,0.044
1680876944110,2023-04-07T16:15:44.110,3.970,-0.002,0.002,0.045
1680876944120,2023-04-07T16:15:44.120,3.980,-0.003,0.001,0.044
1680876944130,2023-04-07T16:15:44.130,3.990,-0.001,0.001,0.043
1680876944140,2023-04-07T16:15:44.140,4.000,-0.000,0.002,0.045
1680876944149,2023-04-07T16:15:44.149,4.009,-0.001,0.001,0.045
1680876944159,2023-04-07T16:15:44.159,4.019,-0.000,0.002,0.044
1680876944170,2023-04-07T16:15:44.170,4.030,0.000,-0.000,0.044
1680876944180,2023-04-07T16:15:44.180,4.040,-0.001,0.001,0.046
1680876944190,2023-04-07T16:15:44.190,4.050,0.001,0.001,0.046
1680876944199,2023-04-07T16:15:44.199,4.059,-0.002,-0.001,0.045
1680876944209,2023-04-07T16:15:44.209,4.069,-0.002,0.002,0.044
1680876944220,2023-04-07T16:15:44.220,4.080,-0.001,0.002,0.046
1680876944230,2023-04-07T16:15:44.230,4.090,-0.000,0.002,0.045
1680876944240,2023-04-07T16:15:44.240,4.100,0.000,0.000,0.042
1680876944249,2023-04-07T16:15:44.249,4.109,0.000,0.002,0.046
1680876944259,2023-04-07T16:15:44.259,4.119,0.000,-0.000,0.045
1680876944269,2023-04-07T16:15:44.269,4.129,0.000,0.001,0.044
1680876944280,2023-04-07T16:15:44.280,4.140,-0.080,0.006,0.045
1680876944290,2023-04-07T16:15:44.290,4.150,-0.229,0.030,0.048
1680876944299,2023-04-07T16:15:44.299,4.159,0.071,-0.105,0.045
1680876944309,2023-04-07T16:15:44.309,4.169,0.208,-0.134,0.044
1680876944319,2023-04-07T16:15:44.319,4.179,-0.009,0.067,0.042
1680876944329,2023-04-07T16:15:44.329,4.189,-0.023,-0.007,0.046
1680876944338,2023-04-07T16:15:44.338,4.198,0.020,0.024,0.042
1680876944348,2023-04-07T16:15:44.348,4.208,0.039,0.024,0.043
1680876944359,2023-04-07T16:15:44.359,4.219,0.047,-0.012,0.042
1680876944369,2023-04-07T16:15:44.369,4.229,0.071,0.011,0.040
1680876944379,2023-04-07T16:15:44.379,4.239,0.054,0.029,0.045
1680876944389,2023-04-07T16:15:44.389,4.249,0.019,0.029,0.044
1680876944398,2023-04-07T16:15:44.398,4.258,0.024,-0.007,0.047
1680876944409,2023-04-07T16:15:44.409,4.269,0.022,-0.013,0.041
1680876944419,2023-04-07T16:15:44.419,4.279,0.007,-0.006,0.046
1680876944429,2023-04-07T16:15:44.429,4.289,0.001,-0.003,0.044
1680876944438,2023-04-07T16:15:44.438,4.298,0.013,-0.015,0.041
1680876944448,2023-04-07T16:15:44.448,4.308,0.023,0.002,0.045
1680876944458,2023-04-07T16:15:44.458,4.318,0.039,0.003,0.048
1680876944469,2023-04-07T16:15:44.469,4.329,0.056,-0.014,0.042
1680876944479,2023-04-07T16:15:44.479,4.339,0.041,-0.014,0.037
1680876944488,2023-04-07T16:15:44.488,4.348,0.084,-0.019,0.045
1680876944498,2023-04-07T16:15:44.498,4.358,0.118,-0.014,0.044
1680876944508,2023-04-07T16:15:44.508,4.368,0.106,-0.011,0.042
1680876944518,2023-04-07T16:15:44.518,4.378,0.139,0.014,0.041
1680876944529,2023-04-07T16:15:44.529,4.389,0.156,0.007,0.045
1680876944537,2023-04-07T16:15:44.537,4.397,0.093,0.026,0.049
1680876944548,2023-04-07T16:15:44.548,4.408,0.068,0.007,0.043
1680876944558,2023-04-07T16:15:44.558,4.418,0.071,-0.014,0.024
1680876944568,2023-04-07T16:15:44.568,4.428,0.087,0.009,0.058
1680876944578,2023-04-07T16:15:44.578,4.438,0.107,0.009,0.044
1680876944587,2023-04-07T16:15:44.587,4.447,0.096,0.003,0.044
1680876944597,2023-04-07T16:15:44.597,4.457,0.064,0.010,0.049
1680876944608,2023-04-07T16:15:44.608,4.468,0.041,-0.001,0.067
1680876944618,2023-04-07T16:15:44.618,4.478,0.031,-0.046,0.057
1680876944628,2023-04-07T16:15:44.628,4.488,0.022,-0.046,0.031
1680876944637,2023-04-07T16:15:44.637,4.497,-0.019,-0.029,0.021
1680876944647,2023-04-07T16:15:44.647,4.507,-0.016,-0.021,0.038
1680876944658,2023-04-07T16:15:44.658,4.518,-0.015,0.009,0.050
1680876944668,2023-04-07T16:15:44.668,4.528,0.003,0.009,0.040
1680876944677,2023-04-07T16:15:44.677,4.537,0.017,0.014,0.044
1680876944687,2023-04-07T16:15:44.687,4.547,0.019,0.022,0.039
1680876944697,2023-04-07T16:15:44.697,4.557,0.011,0.020,0.043
1680876944707,2023-04-07T16:15:44.707,4.567,-0.038,0.021,0.036
1680876944718,2023-04-07T16:15:44.718,4.578,-0.050,0.029,0.055
1680876944726,2023-04-07T16:15:44.726,4.586,-0.110,-0.015,0.048
1680876944737,2023-04-07T16:15:44.737,4.597,-0.133,-0.035,0.038
1680876944747,2023-04-07T16:15:44.747,4.607,-0.110,-0.022,0.041
1680876944757,2023-04-07T16:15:44.757,4.617,-0.089,0.003,0.052
1680876944767,2023-04-07T16:15:44.767,4.627,-0.144,0.008,0.054
1680876944776,2023-04-07T16:15:44.776,4.636,-0.146,-0.015,0.045
1680876944786,2023-04-07T16:15:44.786,4.646,-0.122,-0.001,0.044
1680876944797,2023-04-07T16:15:44.797,4.657,-0.099,0.001,0.046
1680876944807,2023-04-07T16:15:44.807,4.667,-0.078,0.003,0.045
1680876944817,2023-04-07T16:15:44.817,4.677,-0.084,0.017,0.042
1680876944826,2023-04-07T16:15:44.826,4.686,-0.070,0.004,0.045
1680876944836,2023-04-07T16:15:44.836,4.696,-0.090,-0.009,0.047
1680876944846,2023-04-07T16:15:44.846,4.706,-0.094,0.009,0.045
1680876944857,2023-04-07T16:15:44.857,4.717,-0.060,0.000,0.044
1680876944867,2023-04-07T16:15:44.867,4.727,-0.093,0.026,0.042
1680876944876,2023-04-07T16:15:44.876,4.736,-0.080,0.009,0.045
1680876944886,2023-04-07T16:15:44.886,4.746,-0.037,0.017,0.044
1680876944896,2023-04-07T16:15:44.896,4.756,-0.011,0.032,0.044
1680876944907,2023-04-07T16:15:44.907,4.767,-0.044,0.019,0.044
1680876944917,2023-04-07T16:15:44.917,4.777,-0.063,-0.001,0.044
1680876944926,2023-04-07T16:15:44.926,4.786,-0.037,-0.008,0.044
1680876944936,2023-04-07T16:15:44.936,4.796,-0.049,-0.020,0.045
1680876944946,2023-04-07T16:15:44.946,4.806,-0.025,-0.022,0.045
1680876944956,2023-04-07T16:15:44.956,4.816,0.011,-0.003,0.044
1680876944965,2023-04-07T16:15:44.965,4.825,0.000,0.007,0.043
1680876944975,2023-04-07T16:15:44.975,4.835,-0.016,0.029,0.043
1680876944986,2023-04-07T16:15:44.986,4.846,0.008,-0.011,0.045
1680876944996,2023-04-07T16:15:44.996,4.856,0.009,0.002,0.044
1680876945006,2023-04-07T16:15:45.006,4.866,0.012,0.014,0.043
1680876945015,2023-04-07T16:15:45.015,4.875,0.010,0.014,0.043
1680876945025,2023-04-07T16:15:45.025,4.885,0.003,-0.008,0.043
1680876945035,2023-04-07T16:15:45.035,4.895,0.002,-0.010,0.045
1680876945046,2023-04-07T16:15:45.046,4.906,0.006,-0.016,0.043
1680876945056,2023-04-07T16:15:45.056,4.916,0.007,-0.006,0.043
1680876945065,2023-04-07T16:15:45.065,4.925,0.009,-0.018,0.045
1680876945075,2023-04-07T16:15:45.075,4.935,0.004,0.003,0.045
1680876945085,2023-04-07T16:15:45.085,4.945,0.009,-0.013,0.044
1680876945096,2023-04-07T16:15:45.096,4.956,0.011,-0.017,0.046
1680876945106,2023-04-07T16:15:45.106,4.966,0.009,-0.001,0.044
1680876945116,2023-04-07T16:15:45.116,4.976,0.004,0.005,0.043
1680876945125,2023-04-07T16:15:45.125,4.985,0.000,-0.014,0.045
1680876945135,2023-04-07T16:15:45.135,4.995,-0.001,0.007,0.044
1680876945145,2023-04-07T16:15:45.145,5.005,0.006,0.021,0.045
1680876945156,2023-04-07T16:15:45.156,5.016,0.018,-0.013,0.045
1680876945164,2023-04-07T16:15:45.164,5.024,0.015,0.018,0.044
1680876945175,2023-04-07T16:15:45.175,5.035,0.002,-0.029,0.044
1680876945185,2023-04-07T16:15:45.185,5.045,-0.005,-0.026,0.045
1680876945195,2023-04-07T16:15:45.195,5.055,0.000,-0.024,0.047
1680876945204,2023-04-07T16:15:45.204,5.064,0.007,-0.026,0.045
1680876945214,2023-04-07T16:15:45.214,5.074,0.008,-0.012,0.045
1680876945224,2023-04-07T16:15:45.224,5.084,0.007,-0.005,0.043
1680876945235,2023-04-07T16:15:45.235,5.095,0.006,-0.003,0.043
1680876945245,2023-04-07T16:15:45.245,5.105,0.006,-0.003,0.044
1680876945254,2023-04-07T16:15:45.254,5.114,0.006,-0.003,0.044
1680876945264,2023-04-07T16:15:45.264,5.124,0.004,-0.001,0.043
1680876945274,2023-04-07T16:15:45.274,5.134,0.007,-0.002,0.043
1680876945284,2023-04-07T16:15:45.284,5.144,0.006,-0.002,0.044
1680876945295,2023-04-07T16:15:45.295,5.155,0.005,-0.003,0.043
1680876945304,2023-04-07T16:15:45.304,5.164,0.004,-0.004,0.044
1680876945314,2023-04-07T16:15:45.314,5.174,0.006,-0.003,0.045
1680876945324,2023-04-07T16:15:45.324,5.184,0.008,-0.002,0.042
1680876945334,2023-04-07T16:15:45.334,5.194,0.008,-0.003,0.044
1680876945345,2023-04-07T16:15:45.345,5.205,-0.003,-0.005,0.043
1680876945353,2023-04-07T16:15:45.353,5.213,0.002,-0.005,0.043
1680876945364,2023-04-07T16:15:45.364,5.224,0.006,-0.004,0.043
1680876945374,2023-04-07T16:15:45.374,5.234,0.005,-0.004,0.045
1680876945384,2023-04-07T16:15:45.384,5.244,0.011,-0.001,0.044
1680876945394,2023-04-07T16:15:45.394,5.254,0.036,0.004,0.043
1680876945403,2023-04-07T16:15:45.403,5.263,0.049,0.009,0.044
1680876945413,2023-04-07T16:15:45.413,5.273,0.005,0.008,0.044
1680876945424,2023-04-07T16:15:45.424,5.284,-0.008,-0.008,0.043
1680876945434,2023-04-07T16:15:45.434,5.294,-0.020,-0.008,0.043
1680876945443,2023-04-07T16:15:45.443,5.303,-0.025,-0.016,0.043
1680876945453,2023-04-07T16:15:45.453,5.313,-0.007,-0.009,0.044
1680876945463,2023-04-07T16:15:45.463,5.323,0.004,-0.003,0.045
1680876945473,2023-04-07T16:15:45.473,5.333,0.007,-0.004,0.043
1680876945484,2023-04-07T16:15:45.484,5.344,0.008,-0.003,0.044
1680876945492,2023-04-07T16:15:45.492,5.352,0.011,0.002,0.043
1680876945503,2023-04-07T16:15:45.503,5.363,0.016,0.003,0.043
1680876945513,2023-04-07T16:15:45.513,5.373,-0.001,-0.011,0.046
1680876945523,2023-04-07T16:15:45.523,5.383,-0.006,-0.010,0.045
1680876945534,2023-04-07T16:15:45.534,5.394,0.005,-0.002,0.045
1680876945542,2023-04-07T16:15:45.542,5.402,0.000,-0.004,0.043
1680876945553,2023-04-07T16:15:45.553,5.413,0.002,0.000,0.045
