epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680876940150,2023-04-07T16:15:40.150,0.010,-0.001,0.001,0.048
1680876940160,2023-04-07T16:15:40.160,0.020,0.000,0.003,0.045
1680876940169,2023-04-07T16:15:40.169,0.029,-0.002,0.002,0.045
1680876940180,2023-04-07T16:15:40.180,0.040,-0.003,0.001,0.046
1680876940190,2023-04-07T16:15:40.190,0.050,-0.001,0.003,0.046
1680876940200,2023-04-07T16:15:40.200,0.060,0.000,0.003,0.046
1680876940209,2023-04-07T16:15:40.209,0.069,0.001,0.002,0.047
1680876940219,2023-04-07T16:15:40.219,0.079,-0.000,0.001,0.043
1680876940229,2023-04-07T16:15:40.229,0.089,0.000,0.001,0.045
1680876940240,2023-04-07T16:15:40.240,0.100,-0.000,0.002,0.046
1680876940250,2023-04-07T16:15:40.250,0.110,0.001,0.002,0.047
1680876940259,2023-04-07T16:15:40.259,0.119,-0.001,0.002,0.046
1680876940269,2023-04-07T16:15:40.269,0.129,-0.001,0.002,0.044
1680876940279,2023-04-07T16:15:40.279,0.139,-0.001,0.001,0.045
1680876940289,2023-04-07T16:15:40.289,0.149,0.001,0.002,0.046
1680876940300,2023-04-07T16:15:40.300,0.160,0.001,0.001,0.046
1680876940308,2023-04-07T16:15:40.308,0.168,0.001,0.001,0.046
1680876940319,2023-04-07T16:15:40.319,0.179,-0.002,0.002,0.045
1680876940329,2023-04-07T16:15:40.329,0.189,-0.001,0.001,0.043
1680876940339,2023-04-07T16:15:40.339,0.199,-0.000,0.001,0.046
1680876940349,2023-04-07T16:15:40.349,0.209,-0.001,0.001,0.046
1680876940358,2023-04-07T16:15:40.358,0.218,-0.001,0.002,0.044
1680876940368,2023-04-07T16:15:40.368,0.228,-0.001,0.002,0.045
1680876940379,2023-04-07T16:15:40.379,0.239,-0.000,0.002,0.046
1680876940389,2023-04-07T16:15:40.389,0.249,-0.001,0.000,0.045
1680876940399,2023-04-07T16:15:40.399,0.259,-0.002,0.002,0.046
1680876940408,2023-04-07T16:15:40.408,0.268,-0.001,0.001,0.046
1680876940418,2023-04-07T16:15:40.418,0.278,-0.002,0.001,0.045
