epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1680876940150,2023-04-07T16:15:40.150,0.010,1.000,-0.008,-0.008,-0.000
1680876940159,2023-04-07T16:15:40.159,0.019,1.000,-0.008,-0.008,-0.000
1680876940169,2023-04-07T16:15:40.169,0.029,1.000,-0.008,-0.008,-0.000
1680876940180,2023-04-07T16:15:40.180,0.040,1.000,-0.008,-0.008,-0.000
1680876940190,2023-04-07T16:15:40.190,0.050,1.000,-0.008,-0.008,-0.000
1680876940200,2023-04-07T16:15:40.200,0.060,1.000,-0.008,-0.008,-0.000
1680876940209,2023-04-07T16:15:40.209,0.069,1.000,-0.008,-0.008,-0.000
1680876940219,2023-04-07T16:15:40.219,0.079,1.000,-0.008,-0.008,-0.000
1680876940229,2023-04-07T16:15:40.229,0.089,1.000,-0.008,-0.008,-0.000
1680876940240,2023-04-07T16:15:40.240,0.100,1.000,-0.008,-0.008,-0.000
1680876940250,2023-04-07T16:15:40.250,0.110,1.000,-0.008,-0.008,-0.000
1680876940259,2023-04-07T16:15:40.259,0.119,1.000,-0.008,-0.008,-0.000
1680876940269,2023-04-07T16:15:40.269,0.129,1.000,-0.008,-0.008,-0.000
1680876940279,2023-04-07T16:15:40.279,0.139,1.000,-0.008,-0.008,-0.000
1680876940289,2023-04-07T16:15:40.289,0.149,1.000,-0.008,-0.008,-0.000
1680876940300,2023-04-07T16:15:40.300,0.160,1.000,-0.008,-0.008,-0.000
1680876940308,2023-04-07T16:15:40.308,0.168,1.000,-0.008,-0.008,-0.000
1680876940319,2023-04-07T16:15:40.319,0.179,1.000,-0.008,-0.008,-0.000
1680876940329,2023-04-07T16:15:40.329,0.189,1.000,-0.008,-0.008,-0.000
1680876940339,2023-04-07T16:15:40.339,0.199,1.000,-0.008,-0.008,-0.000
1680876940349,2023-04-07T16:15:40.349,0.209,1.000,-0.008,-0.008,-0.000
1680876940358,2023-04-07T16:15:40.358,0.218,1.000,-0.008,-0.008,-0.000
1680876940368,2023-04-07T16:15:40.368,0.228,1.000,-0.008,-0.008,-0.000
1680876940379,2023-04-07T16:15:40.379,0.239,1.000,-0.008,-0.008,-0.000
1680876940389,2023-04-07T16:15:40.389,0.249,1.000,-0.008,-0.008,-0.000
1680876940399,2023-04-07T16:15:40.399,0.259,1.000,-0.008,-0.008,-0.000
1680876940408,2023-04-07T16:15:40.408,0.268,1.000,-0.008,-0.008,-0.000
1680876940418,2023-04-07T16:15:40.418,0.278,1.000,-0.008,-0.008,-0.000
1680876940429,2023-04-07T16:15:40.429,0.289,1.000,-0.008,-0.008,-0.000
1680876940439,2023-04-07T16:15:40.439,0.299,1.000,-0.008,-0.008,-0.000
1680876940448,2023-04-07T16:15:40.448,0.308,1.000,-0.008,-0.008,-0.000
1680876940458,2023-04-07T16:15:40.458,0.318,1.000,-0.008,-0.008,-0.000
1680876940468,2023-04-07T16:15:40.468,0.328,1.000,-0.008,-0.008,-0.000
1680876940478,2023-04-07T16:15:40.478,0.338,1.000,-0.008,-0.008,-0.000
1680876940489,2023-04-07T16:15:40.489,0.349,1.000,-0.008,-0.008,-0.000
1680876940497,2023-04-07T16:15:40.497,0.357,1.000,-0.008,-0.008,-0.000
1680876940508,2023-04-07T16:15:40.508,0.368,1.000,-0.008,-0.008,-0.000
1680876940518,2023-04-07T16:15:40.518,0.378,1.000,-0.008,-0.008,-0.000
1680876940528,2023-04-07T16:15:40.528,0.388,1.000,-0.008,-0.008,-0.000
1680876940538,2023-04-07T16:15:40.538,0.398,1.000,-0.008,-0.008,-0.000
1680876940547,2023-04-07T16:15:40.547,0.407,1.000,-0.008,-0.008,-0.000
1680876940557,2023-04-07T16:15:40.557,0.417,1.000,-0.008,-0.008,-0.000
1680876940568,2023-04-07T16:15:40.568,0.428,1.000,-0.008,-0.008,-0.000
1680876940578,2023-04-07T16:15:40.578,0.438,1.000,-0.008,-0.008,-0.000
1680876940588,2023-04-07T16:15:40.588,0.448,1.000,-0.008,-0.008,-0.000
1680876940597,2023-04-07T16:15:40.597,0.457,1.000,-0.008,-0.008,-0.000
1680876940607,2023-04-07T16:15:40.607,0.467,1.000,-0.008,-0.008,-0.000
1680876940617,2023-04-07T16:15:40.617,0.477,1.000,-0.008,-0.008,-0.000
1680876940628,2023-04-07T16:15:40.628,0.488,1.000,-0.008,-0.008,-0.000
1680876940638,2023-04-07T16:15:40.638,0.498,1.000,-0.008,-0.008,-0.000
1680876940647,2023-04-07T16:15:40.647,0.507,1.000,-0.008,-0.008,-0.000
1680876940657,2023-04-07T16:15:40.657,0.517,1.000,-0.008,-0.008,-0.000
1680876940667,2023-04-07T16:15:40.667,0.527,1.000,-0.008,-0.008,-0.000
1680876940678,2023-04-07T16:15:40.678,0.538,1.000,-0.008,-0.008,-0.000
1680876940688,2023-04-07T16:15:40.688,0.548,1.000,-0.008,-0.008,-0.000
