epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680907471422,2023-04-08T00:44:31.422,0.010,0.001,-0.001,0.048
1680907471432,2023-04-08T00:44:31.432,0.020,-0.000,-0.001,0.045
1680907471443,2023-04-08T00:44:31.443,0.031,0.002,-0.001,0.046
1680907471453,2023-04-08T00:44:31.453,0.041,0.001,-0.003,0.046
1680907471462,2023-04-08T00:44:31.462,0.050,0.001,-0.003,0.045
1680907471472,2023-04-08T00:44:31.472,0.060,0.001,-0.001,0.045
1680907471482,2023-04-08T00:44:31.482,0.070,0.000,-0.001,0.047
1680907471492,2023-04-08T00:44:31.492,0.080,-0.001,-0.001,0.046
1680907471501,2023-04-08T00:44:31.501,0.089,-0.001,-0.001,0.046
1680907471512,2023-04-08T00:44:31.512,0.100,0.000,0.000,0.046
1680907471522,2023-04-08T00:44:31.522,0.110,0.001,-0.000,0.045
1680907471532,2023-04-08T00:44:31.532,0.120,-0.000,-0.001,0.046
1680907471542,2023-04-08T00:44:31.542,0.130,0.001,-0.003,0.046
1680907471551,2023-04-08T00:44:31.551,0.139,0.001,-0.002,0.046
1680907471561,2023-04-08T00:44:31.561,0.149,0.002,0.000,0.045
1680907471572,2023-04-08T00:44:31.572,0.160,-0.000,0.000,0.046
1680907471582,2023-04-08T00:44:31.582,0.170,0.000,-0.000,0.047
1680907471592,2023-04-08T00:44:31.592,0.180,-0.001,-0.001,0.046
1680907471601,2023-04-08T00:44:31.601,0.189,-0.001,-0.000,0.046
1680907471611,2023-04-08T00:44:31.611,0.199,0.002,-0.001,0.046
1680907471621,2023-04-08T00:44:31.621,0.209,0.000,-0.001,0.046
1680907471632,2023-04-08T00:44:31.632,0.220,0.001,-0.002,0.046
1680907471642,2023-04-08T00:44:31.642,0.230,0.002,-0.003,0.046
1680907471651,2023-04-08T00:44:31.651,0.239,-0.000,-0.002,0.046
1680907471661,2023-04-08T00:44:31.661,0.249,0.000,-0.001,0.045
1680907471671,2023-04-08T00:44:31.671,0.259,0.001,-0.002,0.046
1680907471681,2023-04-08T00:44:31.681,0.269,-0.001,-0.001,0.045
1680907471692,2023-04-08T00:44:31.692,0.280,-0.001,0.001,0.044
1680907471700,2023-04-08T00:44:31.700,0.288,0.001,-0.002,0.046
1680907471711,2023-04-08T00:44:31.711,0.299,0.050,-0.012,0.045
1680907471721,2023-04-08T00:44:31.721,0.309,0.149,0.026,0.043
1680907471731,2023-04-08T00:44:31.731,0.319,0.010,-0.008,0.049
1680907471740,2023-04-08T00:44:31.740,0.328,-0.141,-0.024,0.048
1680907471750,2023-04-08T00:44:31.750,0.338,-0.086,-0.002,0.048
1680907471761,2023-04-08T00:44:31.761,0.349,-0.005,0.003,0.046
1680907471771,2023-04-08T00:44:31.771,0.359,0.009,-0.005,0.044
1680907471781,2023-04-08T00:44:31.781,0.369,0.003,-0.005,0.046
1680907471790,2023-04-08T00:44:31.790,0.378,-0.031,0.011,0.041
1680907471800,2023-04-08T00:44:31.800,0.388,-0.070,-0.053,0.052
1680907471810,2023-04-08T00:44:31.810,0.398,-0.037,-0.021,0.047
1680907471821,2023-04-08T00:44:31.821,0.409,0.011,-0.013,0.046
1680907471831,2023-04-08T00:44:31.831,0.419,0.052,-0.001,0.046
1680907471840,2023-04-08T00:44:31.840,0.428,0.009,-0.029,0.049
1680907471850,2023-04-08T00:44:31.850,0.438,0.010,-0.008,0.048
1680907471860,2023-04-08T00:44:31.860,0.448,0.046,0.016,0.045
1680907471870,2023-04-08T00:44:31.870,0.458,0.064,-0.028,0.051
1680907471881,2023-04-08T00:44:31.881,0.469,0.067,-0.011,0.046
1680907471891,2023-04-08T00:44:31.891,0.479,0.078,0.010,0.049
1680907471900,2023-04-08T00:44:31.900,0.488,0.096,0.032,0.046
1680907471910,2023-04-08T00:44:31.910,0.498,0.095,-0.004,0.028
1680907471920,2023-04-08T00:44:31.920,0.508,0.068,-0.031,0.024
1680907471930,2023-04-08T00:44:31.930,0.518,0.043,-0.009,0.062
1680907471939,2023-04-08T00:44:31.939,0.527,0.054,0.036,0.057
1680907471950,2023-04-08T00:44:31.950,0.538,0.039,-0.004,0.030
1680907471960,2023-04-08T00:44:31.960,0.548,-0.029,-0.018,0.058
1680907471970,2023-04-08T00:44:31.970,0.558,0.021,-0.030,0.070
1680907471979,2023-04-08T00:44:31.979,0.567,0.076,-0.036,0.018
1680907471989,2023-04-08T00:44:31.989,0.577,0.087,0.018,0.033
1680907471999,2023-04-08T00:44:31.999,0.587,0.013,0.032,0.055
1680907472010,2023-04-08T00:44:32.010,0.598,-0.067,0.025,0.041
1680907472020,2023-04-08T00:44:32.020,0.608,-0.161,0.029,0.043
1680907472029,2023-04-08T00:44:32.029,0.617,-0.084,-0.023,0.057
1680907472039,2023-04-08T00:44:32.039,0.627,-0.048,-0.019,0.060
1680907472049,2023-04-08T00:44:32.049,0.637,-0.044,0.014,0.060
1680907472059,2023-04-08T00:44:32.059,0.647,-0.039,0.027,0.038
1680907472070,2023-04-08T00:44:32.070,0.658,-0.046,0.019,0.041
1680907472078,2023-04-08T00:44:32.078,0.666,0.040,0.017,0.043
1680907472089,2023-04-08T00:44:32.089,0.677,0.087,0.028,0.040
1680907472099,2023-04-08T00:44:32.099,0.687,0.038,0.037,0.048
1680907472109,2023-04-08T00:44:32.109,0.697,-0.017,0.014,0.038
1680907472119,2023-04-08T00:44:32.119,0.707,-0.042,-0.007,0.036
1680907472128,2023-04-08T00:44:32.128,0.716,-0.026,-0.009,0.059
1680907472138,2023-04-08T00:44:32.138,0.726,0.008,-0.022,-0.012
1680907472149,2023-04-08T00:44:32.149,0.737,-0.096,-0.002,0.109
1680907472159,2023-04-08T00:44:32.159,0.747,-0.066,-0.004,0.004
1680907472169,2023-04-08T00:44:32.169,0.757,0.005,0.002,0.014
1680907472178,2023-04-08T00:44:32.178,0.766,0.053,-0.013,0.068
1680907472188,2023-04-08T00:44:32.188,0.776,0.013,-0.025,0.053
1680907472199,2023-04-08T00:44:32.199,0.787,0.009,-0.060,0.045
1680907472209,2023-04-08T00:44:32.209,0.797,0.018,-0.015,0.056
1680907472219,2023-04-08T00:44:32.219,0.807,0.063,-0.002,0.041
1680907472228,2023-04-08T00:44:32.228,0.816,0.090,-0.019,0.033
1680907472238,2023-04-08T00:44:32.238,0.826,0.014,-0.038,0.049
1680907472248,2023-04-08T00:44:32.248,0.836,-0.028,0.012,0.054
1680907472259,2023-04-08T00:44:32.259,0.847,-0.014,-0.050,0.044
1680907472267,2023-04-08T00:44:32.267,0.855,-0.043,-0.059,0.049
1680907472278,2023-04-08T00:44:32.278,0.866,-0.128,-0.042,0.050
1680907472288,2023-04-08T00:44:32.288,0.876,-0.094,-0.018,0.048
1680907472298,2023-04-08T00:44:32.298,0.886,-0.023,0.007,0.046
1680907472308,2023-04-08T00:44:32.308,0.896,-0.014,0.028,0.044
1680907472317,2023-04-08T00:44:32.317,0.905,-0.098,0.008,0.048
1680907472327,2023-04-08T00:44:32.327,0.915,-0.105,0.012,0.049
1680907472338,2023-04-08T00:44:32.338,0.926,-0.053,-0.004,0.047
1680907472348,2023-04-08T00:44:32.348,0.936,-0.034,-0.011,0.047
1680907472358,2023-04-08T00:44:32.358,0.946,-0.033,-0.026,0.047
1680907472367,2023-04-08T00:44:32.367,0.955,-0.011,-0.028,0.047
1680907472377,2023-04-08T00:44:32.377,0.965,0.018,-0.007,0.045
1680907472387,2023-04-08T00:44:32.387,0.975,0.006,-0.050,0.050
1680907472398,2023-04-08T00:44:32.398,0.986,-0.025,-0.050,0.047
1680907472408,2023-04-08T00:44:32.408,0.996,-0.014,-0.052,0.048
1680907472417,2023-04-08T00:44:32.417,1.005,0.006,-0.048,0.046
1680907472427,2023-04-08T00:44:32.427,1.015,0.005,-0.004,0.047
1680907472437,2023-04-08T00:44:32.437,1.025,-0.010,-0.026,0.047
1680907472448,2023-04-08T00:44:32.448,1.036,-0.036,-0.037,0.046
1680907472458,2023-04-08T00:44:32.458,1.046,-0.019,0.001,0.045
1680907472467,2023-04-08T00:44:32.467,1.055,0.048,0.021,0.040
1680907472477,2023-04-08T00:44:32.477,1.065,0.067,0.030,0.045
1680907472487,2023-04-08T00:44:32.487,1.075,0.047,0.040,0.045
1680907472497,2023-04-08T00:44:32.497,1.085,0.042,0.038,0.046
1680907472506,2023-04-08T00:44:32.506,1.094,0.022,0.030,0.046
1680907472516,2023-04-08T00:44:32.516,1.104,-0.008,0.033,0.041
1680907472527,2023-04-08T00:44:32.527,1.115,-0.021,0.000,0.048
1680907472537,2023-04-08T00:44:32.537,1.125,-0.020,0.033,0.046
1680907472547,2023-04-08T00:44:32.547,1.135,0.003,0.027,0.044
1680907472556,2023-04-08T00:44:32.556,1.144,-0.017,0.050,0.044
1680907472566,2023-04-08T00:44:32.566,1.154,-0.042,0.038,0.046
1680907472576,2023-04-08T00:44:32.576,1.164,-0.040,0.021,0.046
1680907472587,2023-04-08T00:44:32.587,1.175,-0.056,0.029,0.042
1680907472597,2023-04-08T00:44:32.597,1.185,0.004,0.024,0.048
1680907472606,2023-04-08T00:44:32.606,1.194,0.039,0.032,0.058
1680907472616,2023-04-08T00:44:32.616,1.204,-0.038,0.060,0.036
1680907472626,2023-04-08T00:44:32.626,1.214,0.006,0.007,0.041
1680907472637,2023-04-08T00:44:32.637,1.225,-0.021,0.030,0.056
1680907472647,2023-04-08T00:44:32.647,1.235,-0.099,-0.003,0.032
1680907472656,2023-04-08T00:44:32.656,1.244,-0.075,-0.023,0.042
1680907472666,2023-04-08T00:44:32.666,1.254,-0.071,-0.022,0.049
1680907472676,2023-04-08T00:44:32.676,1.264,-0.057,-0.021,0.048
1680907472686,2023-04-08T00:44:32.686,1.274,-0.033,0.015,0.053
1680907472697,2023-04-08T00:44:32.697,1.285,-0.051,0.056,0.050
1680907472705,2023-04-08T00:44:32.705,1.293,-0.033,-0.020,0.063
1680907472716,2023-04-08T00:44:32.716,1.304,-0.025,-0.021,-0.053
1680907472726,2023-04-08T00:44:32.726,1.314,0.064,-0.102,0.056
1680907472736,2023-04-08T00:44:32.736,1.324,0.008,0.059,0.099
1680907472745,2023-04-08T00:44:32.745,1.333,-0.037,0.036,0.038
1680907472755,2023-04-08T00:44:32.755,1.343,-0.016,-0.005,0.045
1680907472765,2023-04-08T00:44:32.765,1.353,0.034,-0.014,0.049
1680907472776,2023-04-08T00:44:32.776,1.364,0.028,-0.012,0.046
1680907472786,2023-04-08T00:44:32.786,1.374,-0.006,0.007,0.046
1680907472795,2023-04-08T00:44:32.795,1.383,-0.003,0.005,0.047
1680907472805,2023-04-08T00:44:32.805,1.393,-0.015,-0.022,0.032
1680907472815,2023-04-08T00:44:32.815,1.403,0.002,0.008,0.052
1680907472825,2023-04-08T00:44:32.825,1.413,-0.002,0.003,0.046
1680907472836,2023-04-08T00:44:32.836,1.424,-0.004,-0.002,0.043
1680907472845,2023-04-08T00:44:32.845,1.433,-0.004,-0.001,0.045
1680907472855,2023-04-08T00:44:32.855,1.443,-0.004,0.001,0.046
1680907472865,2023-04-08T00:44:32.865,1.453,-0.002,-0.001,0.044
1680907472875,2023-04-08T00:44:32.875,1.463,-0.003,0.000,0.048
1680907472886,2023-04-08T00:44:32.886,1.474,-0.004,-0.001,0.048
1680907472894,2023-04-08T00:44:32.894,1.482,-0.004,-0.000,0.046
1680907472905,2023-04-08T00:44:32.905,1.493,-0.004,0.001,0.046
1680907472915,2023-04-08T00:44:32.915,1.503,-0.004,-0.000,0.046
1680907472925,2023-04-08T00:44:32.925,1.513,-0.004,-0.003,0.046
1680907472935,2023-04-08T00:44:32.935,1.523,-0.004,-0.001,0.045
1680907472944,2023-04-08T00:44:32.944,1.532,-0.004,0.001,0.047
1680907472954,2023-04-08T00:44:32.954,1.542,-0.003,-0.001,0.046
1680907472965,2023-04-08T00:44:32.965,1.553,-0.005,0.001,0.047
1680907472975,2023-04-08T00:44:32.975,1.563,-0.004,-0.001,0.046
1680907472985,2023-04-08T00:44:32.985,1.573,-0.003,-0.001,0.046
1680907472994,2023-04-08T00:44:32.994,1.582,-0.003,-0.000,0.046
1680907473004,2023-04-08T00:44:33.004,1.592,-0.003,-0.001,0.045
1680907473014,2023-04-08T00:44:33.014,1.602,-0.003,-0.001,0.046
1680907473025,2023-04-08T00:44:33.025,1.613,-0.002,-0.000,0.046
1680907473033,2023-04-08T00:44:33.033,1.621,-0.002,-0.002,0.046
