epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680907485104,2023-04-08T00:44:45.104,13.692,0.002,-0.001,0.047
1680907485114,2023-04-08T00:44:45.114,13.702,0.009,-0.001,0.044
1680907485123,2023-04-08T00:44:45.123,13.711,0.003,0.004,0.042
1680907485133,2023-04-08T00:44:45.133,13.721,-0.004,0.006,0.045
1680907485143,2023-04-08T00:44:45.143,13.731,-0.013,0.006,0.043
1680907485152,2023-04-08T00:44:45.152,13.740,-0.014,0.002,0.043
1680907485162,2023-04-08T00:44:45.162,13.750,-0.004,0.000,0.044
1680907485173,2023-04-08T00:44:45.173,13.761,0.001,0.007,0.046
1680907485183,2023-04-08T00:44:45.183,13.771,-0.007,0.082,0.046
1680907485193,2023-04-08T00:44:45.193,13.781,-0.019,0.111,0.042
1680907485202,2023-04-08T00:44:45.202,13.790,-0.030,0.069,0.042
1680907485212,2023-04-08T00:44:45.212,13.800,-0.030,0.089,0.043
1680907485222,2023-04-08T00:44:45.222,13.810,-0.068,0.096,0.045
1680907485233,2023-04-08T00:44:45.233,13.821,-0.020,0.111,0.042
1680907485243,2023-04-08T00:44:45.243,13.831,0.020,0.061,0.043
1680907485252,2023-04-08T00:44:45.252,13.840,0.010,0.062,0.044
1680907485262,2023-04-08T00:44:45.262,13.850,-0.013,0.068,0.047
1680907485272,2023-04-08T00:44:45.272,13.860,0.003,-0.032,0.037
1680907485283,2023-04-08T00:44:45.283,13.871,0.026,0.020,0.044
1680907485293,2023-04-08T00:44:45.293,13.881,0.021,-0.063,0.043
1680907485302,2023-04-08T00:44:45.302,13.890,-0.016,-0.081,0.060
1680907485312,2023-04-08T00:44:45.312,13.900,-0.016,0.018,0.046
1680907485322,2023-04-08T00:44:45.322,13.910,-0.004,0.003,0.045
1680907485332,2023-04-08T00:44:45.332,13.920,0.055,0.077,0.040
1680907485341,2023-04-08T00:44:45.341,13.929,0.036,0.096,0.042
1680907485351,2023-04-08T00:44:45.351,13.939,-0.038,-0.034,0.048
1680907485362,2023-04-08T00:44:45.362,13.950,-0.049,0.027,0.046
1680907485372,2023-04-08T00:44:45.372,13.960,0.023,0.152,0.037
1680907485382,2023-04-08T00:44:45.382,13.970,0.083,0.059,0.043
1680907485391,2023-04-08T00:44:45.391,13.979,0.129,0.109,0.029
1680907485401,2023-04-08T00:44:45.401,13.989,0.102,0.074,0.039
1680907485411,2023-04-08T00:44:45.411,13.999,0.062,0.015,0.045
