epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680978170739,2023-04-08T20:22:50.739,0.008,-0.018,0.002,-0.000
1680978170750,2023-04-08T20:22:50.750,0.019,-0.016,0.002,-0.001
1680978170760,2023-04-08T20:22:50.760,0.029,-0.016,0.003,0.001
1680978170770,2023-04-08T20:22:50.770,0.039,-0.015,0.002,0.002
1680978170779,2023-04-08T20:22:50.779,0.048,-0.015,0.002,0.002
1680978170789,2023-04-08T20:22:50.789,0.058,-0.015,0.004,0.003
1680978170799,2023-04-08T20:22:50.799,0.068,-0.014,0.003,0.005
1680978170810,2023-04-08T20:22:50.810,0.079,-0.014,0.003,0.002
1680978170820,2023-04-08T20:22:50.820,0.089,-0.015,0.002,0.003
1680978170829,2023-04-08T20:22:50.829,0.098,-0.014,0.003,0.002
1680978170839,2023-04-08T20:22:50.839,0.108,-0.015,0.001,0.001
1680978170849,2023-04-08T20:22:50.849,0.118,-0.015,0.000,-0.001
1680978170859,2023-04-08T20:22:50.859,0.128,-0.014,0.001,-0.001
1680978170870,2023-04-08T20:22:50.870,0.139,-0.017,0.001,-0.001
1680978170878,2023-04-08T20:22:50.878,0.147,-0.017,0.001,0.001
1680978170889,2023-04-08T20:22:50.889,0.158,-0.014,-0.002,0.001
1680978170899,2023-04-08T20:22:50.899,0.168,-0.014,-0.002,-0.000
1680978170909,2023-04-08T20:22:50.909,0.178,-0.015,0.000,-0.001
1680978170919,2023-04-08T20:22:50.919,0.188,-0.016,-0.001,0.001
1680978170928,2023-04-08T20:22:50.928,0.197,-0.017,-0.003,0.002
1680978170939,2023-04-08T20:22:50.939,0.208,-0.017,-0.003,0.001
1680978170949,2023-04-08T20:22:50.949,0.218,-0.015,-0.003,0.000
1680978170959,2023-04-08T20:22:50.959,0.228,-0.016,0.001,0.001
1680978170969,2023-04-08T20:22:50.969,0.238,-0.016,0.002,0.002
1680978170978,2023-04-08T20:22:50.978,0.247,-0.013,0.002,0.001
1680978170988,2023-04-08T20:22:50.988,0.257,-0.013,0.003,-0.001
1680978170999,2023-04-08T20:22:50.999,0.268,-0.013,0.001,-0.002
1680978171009,2023-04-08T20:22:51.009,0.278,-0.014,0.002,0.000
1680978171018,2023-04-08T20:22:51.018,0.287,-0.016,0.001,0.003
1680978171028,2023-04-08T20:22:51.028,0.297,-0.017,0.001,-0.000
1680978171038,2023-04-08T20:22:51.038,0.307,-0.018,0.002,-0.001
1680978171048,2023-04-08T20:22:51.048,0.317,-0.018,0.001,-0.002
1680978171059,2023-04-08T20:22:51.059,0.328,-0.015,0.000,-0.002
1680978171069,2023-04-08T20:22:51.069,0.338,-0.016,0.001,-0.001
1680978171078,2023-04-08T20:22:51.078,0.347,-0.015,0.000,-0.003
1680978171088,2023-04-08T20:22:51.088,0.357,-0.015,0.001,-0.005
1680978171098,2023-04-08T20:22:51.098,0.367,-0.018,0.000,-0.006
1680978171108,2023-04-08T20:22:51.108,0.377,-0.019,-0.000,-0.005
1680978171117,2023-04-08T20:22:51.117,0.386,-0.018,-0.001,-0.004
1680978171127,2023-04-08T20:22:51.127,0.396,-0.015,-0.000,-0.004
1680978171138,2023-04-08T20:22:51.138,0.407,-0.015,0.001,-0.004
1680978171148,2023-04-08T20:22:51.148,0.417,-0.016,0.002,-0.002
1680978171158,2023-04-08T20:22:51.158,0.427,-0.015,0.003,0.000
1680978171167,2023-04-08T20:22:51.167,0.436,-0.014,0.000,0.002
1680978171177,2023-04-08T20:22:51.177,0.446,-0.014,-0.003,0.002
1680978171188,2023-04-08T20:22:51.188,0.457,-0.013,-0.007,0.001
1680978171198,2023-04-08T20:22:51.198,0.467,-0.012,-0.007,-0.003
