epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1680978174242,2023-04-08T20:22:54.242,3.511,0.653,0.035,0.756,-0.021
1680978174252,2023-04-08T20:22:54.252,3.521,0.652,0.035,0.757,-0.021
1680978174262,2023-04-08T20:22:54.262,3.531,0.652,0.036,0.757,-0.021
1680978174273,2023-04-08T20:22:54.273,3.542,0.651,0.036,0.758,-0.022
1680978174283,2023-04-08T20:22:54.283,3.552,0.650,0.037,0.759,-0.022
1680978174292,2023-04-08T20:22:54.292,3.561,0.650,0.037,0.759,-0.022
1680978174302,2023-04-08T20:22:54.302,3.571,0.649,0.037,0.760,-0.022
1680978174312,2023-04-08T20:22:54.312,3.581,0.648,0.038,0.760,-0.022
1680978174322,2023-04-08T20:22:54.322,3.591,0.648,0.038,0.761,-0.023
1680978174331,2023-04-08T20:22:54.331,3.600,0.647,0.039,0.761,-0.023
1680978174343,2023-04-08T20:22:54.343,3.612,0.646,0.039,0.762,-0.023
1680978174352,2023-04-08T20:22:54.352,3.621,0.646,0.039,0.762,-0.023
1680978174362,2023-04-08T20:22:54.362,3.631,0.645,0.040,0.763,-0.023
1680978174372,2023-04-08T20:22:54.372,3.641,0.644,0.040,0.763,-0.024
1680978174381,2023-04-08T20:22:54.381,3.650,0.644,0.041,0.764,-0.024
1680978174391,2023-04-08T20:22:54.391,3.660,0.643,0.041,0.764,-0.024
1680978174401,2023-04-08T20:22:54.401,3.670,0.643,0.041,0.765,-0.025
1680978174412,2023-04-08T20:22:54.412,3.681,0.642,0.042,0.765,-0.025
1680978174422,2023-04-08T20:22:54.422,3.691,0.641,0.042,0.766,-0.026
1680978174431,2023-04-08T20:22:54.431,3.700,0.641,0.043,0.766,-0.027
1680978174441,2023-04-08T20:22:54.441,3.710,0.640,0.043,0.767,-0.027
1680978174451,2023-04-08T20:22:54.451,3.720,0.639,0.044,0.767,-0.028
1680978174461,2023-04-08T20:22:54.461,3.730,0.639,0.045,0.768,-0.029
