epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681295062925,2023-04-12T12:24:22.925,0.000,-0.013,0.001,0.005
1681295062935,2023-04-12T12:24:22.935,0.010,-0.019,0.003,0.008
1681295062945,2023-04-12T12:24:22.945,0.020,-0.016,0.002,0.007
1681295062955,2023-04-12T12:24:22.955,0.030,-0.013,0.002,0.006
1681295062966,2023-04-12T12:24:22.966,0.041,-0.013,0.001,0.005
1681295062974,2023-04-12T12:24:22.974,0.049,-0.017,0.001,0.005
1681295062985,2023-04-12T12:24:22.985,0.060,-0.018,0.001,0.003
1681295062995,2023-04-12T12:24:22.995,0.070,-0.018,0.001,0.004
1681295063005,2023-04-12T12:24:23.005,0.080,-0.020,-0.000,0.003
1681295063015,2023-04-12T12:24:23.015,0.090,-0.019,0.002,0.004
1681295063026,2023-04-12T12:24:23.026,0.101,-0.015,0.005,-0.000
1681295063034,2023-04-12T12:24:23.034,0.109,-0.018,0.007,0.001
1681295063045,2023-04-12T12:24:23.045,0.120,-0.016,0.003,0.004
1681295063055,2023-04-12T12:24:23.055,0.130,-0.018,-0.000,0.002
1681295063065,2023-04-12T12:24:23.065,0.140,-0.017,0.001,0.001
1681295063075,2023-04-12T12:24:23.075,0.150,-0.019,0.002,0.000
1681295063084,2023-04-12T12:24:23.084,0.159,-0.020,0.001,0.004
1681295063095,2023-04-12T12:24:23.095,0.170,-0.019,0.001,0.005
1681295063105,2023-04-12T12:24:23.105,0.180,-0.019,0.000,0.004
1681295063115,2023-04-12T12:24:23.115,0.190,-0.020,0.002,0.004
1681295063125,2023-04-12T12:24:23.125,0.200,-0.020,0.003,0.006
1681295063136,2023-04-12T12:24:23.136,0.211,-0.020,0.002,0.007
1681295063144,2023-04-12T12:24:23.144,0.219,-0.017,0.004,0.003
1681295063155,2023-04-12T12:24:23.155,0.230,-0.018,0.005,0.004
1681295063165,2023-04-12T12:24:23.165,0.240,-0.016,0.004,0.007
1681295063175,2023-04-12T12:24:23.175,0.250,-0.014,0.001,0.009
1681295063185,2023-04-12T12:24:23.185,0.260,-0.013,0.003,0.010
1681295063194,2023-04-12T12:24:23.194,0.269,-0.014,0.003,0.008
1681295063204,2023-04-12T12:24:23.204,0.279,-0.017,0.000,0.009
1681295063215,2023-04-12T12:24:23.215,0.290,-0.020,-0.000,0.005
1681295063225,2023-04-12T12:24:23.225,0.300,-0.018,0.002,0.008
1681295063235,2023-04-12T12:24:23.235,0.310,-0.017,0.007,0.008
1681295063245,2023-04-12T12:24:23.245,0.320,-0.016,0.010,0.008
1681295063254,2023-04-12T12:24:23.254,0.329,-0.015,0.011,0.007
1681295063264,2023-04-12T12:24:23.264,0.339,-0.015,0.010,0.003
1681295063275,2023-04-12T12:24:23.275,0.350,-0.018,0.009,0.003
1681295063285,2023-04-12T12:24:23.285,0.360,-0.019,0.008,0.007
1681295063295,2023-04-12T12:24:23.295,0.370,-0.018,0.008,0.005
1681295063304,2023-04-12T12:24:23.304,0.379,-0.017,0.008,0.003
1681295063314,2023-04-12T12:24:23.314,0.389,-0.014,0.010,0.003
1681295063324,2023-04-12T12:24:23.324,0.399,-0.018,0.010,0.003
1681295063335,2023-04-12T12:24:23.335,0.410,-0.018,0.008,0.005
1681295063345,2023-04-12T12:24:23.345,0.420,-0.017,0.006,0.003
1681295063355,2023-04-12T12:24:23.355,0.430,-0.018,0.007,-0.001
1681295063364,2023-04-12T12:24:23.364,0.439,-0.016,0.006,0.005
1681295063374,2023-04-12T12:24:23.374,0.449,-0.015,0.002,0.005
1681295063385,2023-04-12T12:24:23.385,0.460,-0.013,0.001,0.005
1681295063395,2023-04-12T12:24:23.395,0.470,-0.016,0.001,0.004
1681295063405,2023-04-12T12:24:23.405,0.480,-0.018,0.004,0.003
1681295063414,2023-04-12T12:24:23.414,0.489,-0.019,0.009,0.007
1681295063424,2023-04-12T12:24:23.424,0.499,-0.020,0.012,0.010
1681295063434,2023-04-12T12:24:23.434,0.509,-0.018,0.013,0.006
1681295063445,2023-04-12T12:24:23.445,0.520,-0.015,0.010,0.003
1681295063455,2023-04-12T12:24:23.455,0.530,-0.015,0.005,0.005
1681295063464,2023-04-12T12:24:23.464,0.539,-0.018,0.003,0.001
1681295063474,2023-04-12T12:24:23.474,0.549,-0.017,0.003,0.002
1681295063484,2023-04-12T12:24:23.484,0.559,-0.017,0.002,0.004
1681295063494,2023-04-12T12:24:23.494,0.569,-0.019,0.005,0.004
1681295063505,2023-04-12T12:24:23.505,0.580,-0.018,0.005,0.005
1681295063515,2023-04-12T12:24:23.515,0.590,-0.018,0.003,0.008
1681295063524,2023-04-12T12:24:23.524,0.599,-0.017,0.002,0.009
1681295063534,2023-04-12T12:24:23.534,0.609,-0.018,0.002,0.007
1681295063544,2023-04-12T12:24:23.544,0.619,-0.016,0.002,0.008
1681295063554,2023-04-12T12:24:23.554,0.629,-0.016,0.002,0.006
1681295063565,2023-04-12T12:24:23.565,0.640,-0.018,0.001,0.007
1681295063574,2023-04-12T12:24:23.574,0.649,-0.017,0.003,0.006
1681295063584,2023-04-12T12:24:23.584,0.659,-0.019,0.003,0.003
1681295063594,2023-04-12T12:24:23.594,0.669,-0.017,0.006,-0.001
1681295063604,2023-04-12T12:24:23.604,0.679,-0.019,0.007,0.002
1681295063615,2023-04-12T12:24:23.615,0.690,-0.020,0.007,0.001
1681295063625,2023-04-12T12:24:23.625,0.700,-0.020,0.006,0.001
1681295063634,2023-04-12T12:24:23.634,0.709,-0.020,0.006,0.001
1681295063644,2023-04-12T12:24:23.644,0.719,-0.019,0.008,0.004
1681295063654,2023-04-12T12:24:23.654,0.729,-0.018,0.007,0.008
1681295063664,2023-04-12T12:24:23.664,0.739,-0.014,0.006,0.007
1681295063675,2023-04-12T12:24:23.675,0.750,-0.014,0.005,0.004
1681295063683,2023-04-12T12:24:23.683,0.758,-0.016,0.006,0.004
1681295063694,2023-04-12T12:24:23.694,0.769,-0.016,0.003,0.005
1681295063704,2023-04-12T12:24:23.704,0.779,-0.019,0.005,0.002
1681295063714,2023-04-12T12:24:23.714,0.789,-0.017,0.006,-0.001
1681295063724,2023-04-12T12:24:23.724,0.799,-0.017,0.009,0.001
1681295063735,2023-04-12T12:24:23.735,0.810,-0.016,0.009,0.001
1681295063743,2023-04-12T12:24:23.743,0.818,-0.016,0.012,-0.001
1681295063754,2023-04-12T12:24:23.754,0.829,-0.017,0.011,-0.001
1681295063764,2023-04-12T12:24:23.764,0.839,-0.018,0.010,-0.000
1681295063774,2023-04-12T12:24:23.774,0.849,-0.020,0.009,-0.000
1681295063784,2023-04-12T12:24:23.784,0.859,-0.017,0.011,-0.000
1681295063793,2023-04-12T12:24:23.793,0.868,-0.016,0.010,-0.001
1681295063803,2023-04-12T12:24:23.803,0.878,-0.016,0.008,0.001
1681295063814,2023-04-12T12:24:23.814,0.889,-0.021,0.006,0.002
1681295063824,2023-04-12T12:24:23.824,0.899,-0.021,0.005,0.002
1681295063834,2023-04-12T12:24:23.834,0.909,-0.021,0.009,0.002
1681295063845,2023-04-12T12:24:23.845,0.920,-0.019,0.009,0.004
1681295063853,2023-04-12T12:24:23.853,0.928,-0.016,0.007,0.002
1681295063864,2023-04-12T12:24:23.864,0.939,-0.014,0.006,0.001
