epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1680907471412,2023-04-08T00:44:31.412,0.000,1.000,-0.007,0.001,0.000
1680907471422,2023-04-08T00:44:31.422,0.010,1.000,-0.007,0.001,-0.000
1680907471432,2023-04-08T00:44:31.432,0.020,1.000,-0.007,0.001,-0.000
1680907471443,2023-04-08T00:44:31.443,0.031,1.000,-0.007,0.001,-0.000
1680907471451,2023-04-08T00:44:31.451,0.039,1.000,-0.007,0.001,-0.000
1680907471462,2023-04-08T00:44:31.462,0.050,1.000,-0.007,0.001,-0.000
1680907471472,2023-04-08T00:44:31.472,0.060,1.000,-0.007,0.001,-0.000
1680907471482,2023-04-08T00:44:31.482,0.070,1.000,-0.007,0.001,-0.000
1680907471492,2023-04-08T00:44:31.492,0.080,1.000,-0.007,0.001,-0.000
1680907471501,2023-04-08T00:44:31.501,0.089,1.000,-0.007,0.001,-0.000
1680907471512,2023-04-08T00:44:31.512,0.100,1.000,-0.007,0.001,-0.000
1680907471522,2023-04-08T00:44:31.522,0.110,1.000,-0.007,0.001,-0.000
1680907471532,2023-04-08T00:44:31.532,0.120,1.000,-0.007,0.001,-0.000
1680907471542,2023-04-08T00:44:31.542,0.130,1.000,-0.007,0.001,-0.000
1680907471551,2023-04-08T00:44:31.551,0.139,1.000,-0.007,0.001,-0.000
1680907471561,2023-04-08T00:44:31.561,0.149,1.000,-0.007,0.001,-0.000
1680907471572,2023-04-08T00:44:31.572,0.160,1.000,-0.007,0.001,-0.000
1680907471582,2023-04-08T00:44:31.582,0.170,1.000,-0.007,0.001,-0.000
1680907471592,2023-04-08T00:44:31.592,0.180,1.000,-0.007,0.001,-0.000
1680907471601,2023-04-08T00:44:31.601,0.189,1.000,-0.007,0.001,-0.000
1680907471611,2023-04-08T00:44:31.611,0.199,1.000,-0.007,0.001,-0.000
1680907471621,2023-04-08T00:44:31.621,0.209,1.000,-0.007,0.001,-0.000
1680907471632,2023-04-08T00:44:31.632,0.220,1.000,-0.007,0.001,-0.000
1680907471642,2023-04-08T00:44:31.642,0.230,1.000,-0.007,0.001,-0.000
1680907471651,2023-04-08T00:44:31.651,0.239,1.000,-0.007,0.001,-0.000
1680907471661,2023-04-08T00:44:31.661,0.249,1.000,-0.007,0.001,-0.000
1680907471671,2023-04-08T00:44:31.671,0.259,1.000,-0.007,0.001,-0.000
1680907471681,2023-04-08T00:44:31.681,0.269,1.000,-0.007,0.001,-0.000
1680907471690,2023-04-08T00:44:31.690,0.278,1.000,-0.007,0.001,-0.000
1680907471700,2023-04-08T00:44:31.700,0.288,1.000,-0.007,0.001,0.000
1680907471711,2023-04-08T00:44:31.711,0.299,1.000,-0.007,0.000,0.002
1680907471721,2023-04-08T00:44:31.721,0.309,1.000,-0.007,0.000,0.003
1680907471731,2023-04-08T00:44:31.731,0.319,1.000,-0.007,0.000,0.005
1680907471740,2023-04-08T00:44:31.740,0.328,1.000,-0.007,0.000,0.006
1680907471750,2023-04-08T00:44:31.750,0.338,1.000,-0.007,0.000,0.007
1680907471761,2023-04-08T00:44:31.761,0.349,1.000,-0.007,0.000,0.008
1680907471771,2023-04-08T00:44:31.771,0.359,1.000,-0.007,0.000,0.008
1680907471781,2023-04-08T00:44:31.781,0.369,1.000,-0.007,0.000,0.009
1680907471790,2023-04-08T00:44:31.790,0.378,1.000,-0.007,-0.000,0.006
1680907471800,2023-04-08T00:44:31.800,0.388,1.000,-0.007,-0.000,0.004
1680907471810,2023-04-08T00:44:31.810,0.398,1.000,-0.007,-0.000,0.001
1680907471821,2023-04-08T00:44:31.821,0.409,1.000,-0.007,-0.000,-0.002
1680907471831,2023-04-08T00:44:31.831,0.419,1.000,-0.006,-0.000,-0.005
1680907471840,2023-04-08T00:44:31.840,0.428,1.000,-0.007,0.000,-0.008
1680907471850,2023-04-08T00:44:31.850,0.438,1.000,-0.008,0.000,-0.011
1680907471860,2023-04-08T00:44:31.860,0.448,1.000,-0.007,0.001,-0.014
1680907471870,2023-04-08T00:44:31.870,0.458,1.000,-0.007,0.001,-0.018
1680907471881,2023-04-08T00:44:31.881,0.469,1.000,-0.007,0.002,-0.022
1680907471891,2023-04-08T00:44:31.891,0.479,1.000,-0.007,0.002,-0.027
1680907471900,2023-04-08T00:44:31.900,0.488,0.999,-0.007,0.003,-0.031
1680907471910,2023-04-08T00:44:31.910,0.498,0.999,-0.008,0.003,-0.035
1680907471920,2023-04-08T00:44:31.920,0.508,0.999,-0.007,0.002,-0.038
1680907471930,2023-04-08T00:44:31.930,0.518,0.999,-0.007,0.002,-0.041
1680907471939,2023-04-08T00:44:31.939,0.527,0.999,-0.008,0.001,-0.044
1680907471950,2023-04-08T00:44:31.950,0.538,0.999,-0.008,0.001,-0.048
1680907471960,2023-04-08T00:44:31.960,0.548,0.999,-0.009,0.001,-0.052
1680907471970,2023-04-08T00:44:31.970,0.558,0.998,-0.010,0.002,-0.057
1680907471979,2023-04-08T00:44:31.979,0.567,0.998,-0.010,0.001,-0.062
1680907471989,2023-04-08T00:44:31.989,0.577,0.998,-0.011,0.001,-0.066
1680907471999,2023-04-08T00:44:31.999,0.587,0.998,-0.011,0.001,-0.069
1680907472010,2023-04-08T00:44:32.010,0.598,0.997,-0.011,-0.000,-0.072
1680907472020,2023-04-08T00:44:32.020,0.608,0.997,-0.010,-0.001,-0.075
1680907472029,2023-04-08T00:44:32.029,0.617,0.997,-0.010,-0.002,-0.077
