epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681293271242,2023-04-12T11:54:31.242,0.000,0.805,0.058,0.590,0.000
1681293271253,2023-04-12T11:54:31.253,0.011,0.805,0.058,0.590,0.000
1681293271263,2023-04-12T11:54:31.263,0.021,0.805,0.058,0.590,0.000
1681293271273,2023-04-12T11:54:31.273,0.031,0.805,0.058,0.590,0.000
1681293271283,2023-04-12T11:54:31.283,0.041,0.805,0.058,0.590,0.000
1681293271292,2023-04-12T11:54:31.292,0.050,0.805,0.058,0.590,0.000
1681293271302,2023-04-12T11:54:31.302,0.060,0.805,0.058,0.590,-0.000
1681293271313,2023-04-12T11:54:31.313,0.071,0.805,0.058,0.590,-0.000
1681293271323,2023-04-12T11:54:31.323,0.081,0.805,0.058,0.590,-0.000
1681293271333,2023-04-12T11:54:31.333,0.091,0.805,0.058,0.590,-0.000
1681293271344,2023-04-12T11:54:31.344,0.102,0.805,0.058,0.590,-0.000
1681293271352,2023-04-12T11:54:31.352,0.110,0.805,0.058,0.590,-0.000
1681293271363,2023-04-12T11:54:31.363,0.121,0.805,0.058,0.590,-0.000
1681293271373,2023-04-12T11:54:31.373,0.131,0.805,0.058,0.590,-0.000
1681293271383,2023-04-12T11:54:31.383,0.141,0.805,0.058,0.590,-0.000
1681293271393,2023-04-12T11:54:31.393,0.151,0.805,0.058,0.590,-0.000
1681293271402,2023-04-12T11:54:31.402,0.160,0.805,0.058,0.590,-0.000
1681293271412,2023-04-12T11:54:31.412,0.170,0.805,0.058,0.590,-0.000
1681293271423,2023-04-12T11:54:31.423,0.181,0.805,0.058,0.590,-0.000
1681293271433,2023-04-12T11:54:31.433,0.191,0.805,0.058,0.590,-0.000
1681293271443,2023-04-12T11:54:31.443,0.201,0.805,0.058,0.590,-0.000
1681293271453,2023-04-12T11:54:31.453,0.211,0.805,0.058,0.590,-0.000
1681293271462,2023-04-12T11:54:31.462,0.220,0.805,0.058,0.590,-0.000
1681293271472,2023-04-12T11:54:31.472,0.230,0.805,0.058,0.590,-0.000
1681293271483,2023-04-12T11:54:31.483,0.241,0.805,0.058,0.590,-0.000
1681293271493,2023-04-12T11:54:31.493,0.251,0.805,0.058,0.590,-0.000
1681293271503,2023-04-12T11:54:31.503,0.261,0.805,0.058,0.590,-0.000
1681293271512,2023-04-12T11:54:31.512,0.270,0.805,0.058,0.590,-0.000
1681293271522,2023-04-12T11:54:31.522,0.280,0.805,0.058,0.590,-0.000
1681293271532,2023-04-12T11:54:31.532,0.290,0.805,0.058,0.590,-0.000
1681293271543,2023-04-12T11:54:31.543,0.301,0.805,0.058,0.590,-0.000
1681293271553,2023-04-12T11:54:31.553,0.311,0.805,0.058,0.590,-0.000
1681293271563,2023-04-12T11:54:31.563,0.321,0.805,0.058,0.590,-0.000
1681293271572,2023-04-12T11:54:31.572,0.330,0.805,0.058,0.590,-0.000
1681293271582,2023-04-12T11:54:31.582,0.340,0.805,0.058,0.590,-0.000
1681293271593,2023-04-12T11:54:31.593,0.351,0.805,0.058,0.590,-0.000
1681293271603,2023-04-12T11:54:31.603,0.361,0.805,0.058,0.590,-0.000
1681293271613,2023-04-12T11:54:31.613,0.371,0.805,0.058,0.590,-0.000
1681293271622,2023-04-12T11:54:31.622,0.380,0.805,0.058,0.590,-0.000
1681293271632,2023-04-12T11:54:31.632,0.390,0.805,0.058,0.590,-0.000
1681293271642,2023-04-12T11:54:31.642,0.400,0.805,0.058,0.590,-0.000
1681293271653,2023-04-12T11:54:31.653,0.411,0.805,0.058,0.590,-0.000
1681293271663,2023-04-12T11:54:31.663,0.421,0.805,0.058,0.590,-0.000
1681293271672,2023-04-12T11:54:31.672,0.430,0.805,0.058,0.590,-0.000
1681293271682,2023-04-12T11:54:31.682,0.440,0.805,0.058,0.590,-0.000
1681293271692,2023-04-12T11:54:31.692,0.450,0.805,0.058,0.590,-0.000
1681293271702,2023-04-12T11:54:31.702,0.460,0.805,0.058,0.590,-0.000
1681293271713,2023-04-12T11:54:31.713,0.471,0.805,0.058,0.590,-0.000
1681293271723,2023-04-12T11:54:31.723,0.481,0.805,0.058,0.590,-0.000
1681293271732,2023-04-12T11:54:31.732,0.490,0.805,0.058,0.590,-0.000
1681293271742,2023-04-12T11:54:31.742,0.500,0.805,0.058,0.590,-0.000
1681293271752,2023-04-12T11:54:31.752,0.510,0.805,0.058,0.590,-0.000
1681293271762,2023-04-12T11:54:31.762,0.520,0.805,0.058,0.590,-0.000
1681293271773,2023-04-12T11:54:31.773,0.531,0.805,0.058,0.590,-0.000
1681293271782,2023-04-12T11:54:31.782,0.540,0.805,0.059,0.590,-0.000
1681293271792,2023-04-12T11:54:31.792,0.550,0.805,0.059,0.590,-0.000
1681293271802,2023-04-12T11:54:31.802,0.560,0.805,0.059,0.590,-0.000
