epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681293400279,2023-04-12T11:56:40.279,0.000,0.784,-0.213,0.583,0.000
1681293400289,2023-04-12T11:56:40.289,0.010,0.784,-0.213,0.583,0.000
1681293400300,2023-04-12T11:56:40.300,0.021,0.784,-0.213,0.583,-0.000
1681293400308,2023-04-12T11:56:40.308,0.029,0.784,-0.212,0.583,-0.000
1681293400319,2023-04-12T11:56:40.319,0.040,0.784,-0.212,0.583,-0.000
1681293400329,2023-04-12T11:56:40.329,0.050,0.784,-0.212,0.583,-0.000
1681293400339,2023-04-12T11:56:40.339,0.060,0.784,-0.212,0.583,-0.001
1681293400349,2023-04-12T11:56:40.349,0.070,0.784,-0.212,0.583,-0.001
1681293400358,2023-04-12T11:56:40.358,0.079,0.784,-0.212,0.583,-0.001
1681293400368,2023-04-12T11:56:40.368,0.089,0.784,-0.211,0.583,-0.001
1681293400379,2023-04-12T11:56:40.379,0.100,0.784,-0.211,0.583,-0.001
1681293400389,2023-04-12T11:56:40.389,0.110,0.784,-0.211,0.583,-0.001
1681293400399,2023-04-12T11:56:40.399,0.120,0.784,-0.211,0.583,-0.001
1681293400408,2023-04-12T11:56:40.408,0.129,0.785,-0.211,0.583,-0.001
1681293400418,2023-04-12T11:56:40.418,0.139,0.785,-0.211,0.583,-0.001
1681293400428,2023-04-12T11:56:40.428,0.149,0.785,-0.211,0.583,-0.001
1681293400439,2023-04-12T11:56:40.439,0.160,0.785,-0.211,0.583,-0.001
1681293400449,2023-04-12T11:56:40.449,0.170,0.785,-0.211,0.583,-0.001
1681293400458,2023-04-12T11:56:40.458,0.179,0.785,-0.211,0.583,-0.001
1681293400468,2023-04-12T11:56:40.468,0.189,0.785,-0.211,0.583,-0.001
1681293400478,2023-04-12T11:56:40.478,0.199,0.785,-0.211,0.583,-0.001
1681293400488,2023-04-12T11:56:40.488,0.209,0.785,-0.210,0.583,-0.001
1681293400499,2023-04-12T11:56:40.499,0.220,0.785,-0.210,0.583,-0.001
1681293400508,2023-04-12T11:56:40.508,0.229,0.785,-0.210,0.583,-0.002
1681293400518,2023-04-12T11:56:40.518,0.239,0.785,-0.210,0.583,-0.002
1681293400528,2023-04-12T11:56:40.528,0.249,0.785,-0.210,0.583,-0.002
1681293400538,2023-04-12T11:56:40.538,0.259,0.785,-0.210,0.583,-0.002
1681293400547,2023-04-12T11:56:40.547,0.268,0.785,-0.210,0.583,-0.002
1681293400557,2023-04-12T11:56:40.557,0.278,0.785,-0.210,0.583,-0.002
1681293400568,2023-04-12T11:56:40.568,0.289,0.785,-0.210,0.583,-0.002
1681293400578,2023-04-12T11:56:40.578,0.299,0.785,-0.210,0.583,-0.002
1681293400588,2023-04-12T11:56:40.588,0.309,0.785,-0.210,0.583,-0.002
1681293400598,2023-04-12T11:56:40.598,0.319,0.785,-0.210,0.583,-0.002
1681293400607,2023-04-12T11:56:40.607,0.328,0.785,-0.210,0.583,-0.002
1681293400617,2023-04-12T11:56:40.617,0.338,0.785,-0.210,0.583,-0.002
1681293400628,2023-04-12T11:56:40.628,0.349,0.785,-0.210,0.583,-0.002
1681293400638,2023-04-12T11:56:40.638,0.359,0.785,-0.210,0.583,-0.002
1681293400647,2023-04-12T11:56:40.647,0.368,0.785,-0.210,0.583,-0.002
1681293400657,2023-04-12T11:56:40.657,0.378,0.785,-0.210,0.583,-0.002
1681293400667,2023-04-12T11:56:40.667,0.388,0.785,-0.210,0.583,-0.002
1681293400677,2023-04-12T11:56:40.677,0.398,0.785,-0.210,0.583,-0.002
1681293400688,2023-04-12T11:56:40.688,0.409,0.785,-0.210,0.583,-0.002
1681293400696,2023-04-12T11:56:40.696,0.417,0.785,-0.209,0.583,-0.002
1681293400707,2023-04-12T11:56:40.707,0.428,0.785,-0.209,0.583,-0.003
1681293400717,2023-04-12T11:56:40.717,0.438,0.785,-0.209,0.583,-0.003
1681293400727,2023-04-12T11:56:40.727,0.448,0.785,-0.209,0.583,-0.003
1681293400738,2023-04-12T11:56:40.738,0.459,0.785,-0.209,0.583,-0.003
1681293400746,2023-04-12T11:56:40.746,0.467,0.785,-0.209,0.583,-0.003
1681293400757,2023-04-12T11:56:40.757,0.478,0.785,-0.209,0.583,-0.003
1681293400767,2023-04-12T11:56:40.767,0.488,0.785,-0.209,0.582,-0.003
