epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681293563088,2023-04-12T11:59:23.088,0.000,-0.010,0.001,0.003
1681293563096,2023-04-12T11:59:23.096,0.008,-0.018,0.002,0.001
1681293563107,2023-04-12T11:59:23.107,0.019,-0.020,0.004,-0.001
1681293563117,2023-04-12T11:59:23.117,0.029,-0.015,0.009,-0.004
1681293563127,2023-04-12T11:59:23.127,0.039,-0.014,0.014,-0.002
1681293563137,2023-04-12T11:59:23.137,0.049,-0.013,0.017,0.001
1681293563146,2023-04-12T11:59:23.146,0.058,-0.007,0.023,-0.005
1681293563157,2023-04-12T11:59:23.157,0.069,-0.007,0.029,-0.001
1681293563167,2023-04-12T11:59:23.167,0.079,-0.003,0.032,0.004
1681293563177,2023-04-12T11:59:23.177,0.089,0.000,0.040,0.003
1681293563187,2023-04-12T11:59:23.187,0.099,-0.002,0.050,-0.004
1681293563196,2023-04-12T11:59:23.196,0.108,-0.003,0.053,-0.004
1681293563206,2023-04-12T11:59:23.206,0.118,-0.000,0.047,-0.000
1681293563217,2023-04-12T11:59:23.217,0.129,0.000,0.043,-0.001
1681293563227,2023-04-12T11:59:23.227,0.139,-0.006,0.033,0.001
1681293563237,2023-04-12T11:59:23.237,0.149,-0.007,0.025,0.001
1681293563247,2023-04-12T11:59:23.247,0.159,-0.008,0.023,0.001
1681293563256,2023-04-12T11:59:23.256,0.168,-0.011,0.028,0.003
1681293563266,2023-04-12T11:59:23.266,0.178,-0.017,0.027,-0.001
1681293563277,2023-04-12T11:59:23.277,0.189,-0.016,0.028,-0.010
1681293563287,2023-04-12T11:59:23.287,0.199,-0.016,0.025,-0.009
1681293563297,2023-04-12T11:59:23.297,0.209,-0.017,0.018,-0.003
1681293563306,2023-04-12T11:59:23.306,0.218,-0.015,0.009,0.005
1681293563316,2023-04-12T11:59:23.316,0.228,-0.010,0.010,0.002
1681293563326,2023-04-12T11:59:23.326,0.238,-0.012,0.011,0.005
1681293563337,2023-04-12T11:59:23.337,0.249,-0.007,0.013,0.011
1681293563347,2023-04-12T11:59:23.347,0.259,-0.011,-0.009,0.010
1681293563356,2023-04-12T11:59:23.356,0.268,-0.016,-0.001,0.006
1681293563366,2023-04-12T11:59:23.366,0.278,-0.015,-0.004,0.002
1681293563376,2023-04-12T11:59:23.376,0.288,-0.013,0.001,0.005
1681293563387,2023-04-12T11:59:23.387,0.299,-0.013,0.009,0.007
1681293563397,2023-04-12T11:59:23.397,0.309,-0.015,0.014,0.000
1681293563407,2023-04-12T11:59:23.407,0.319,-0.015,0.018,0.001
1681293563416,2023-04-12T11:59:23.416,0.328,-0.007,0.019,0.000
1681293563426,2023-04-12T11:59:23.426,0.338,-0.004,0.015,-0.005
1681293563436,2023-04-12T11:59:23.436,0.348,-0.008,0.018,-0.004
1681293563447,2023-04-12T11:59:23.447,0.359,-0.011,0.020,-0.006
1681293563457,2023-04-12T11:59:23.457,0.369,-0.013,0.016,-0.009
1681293563467,2023-04-12T11:59:23.467,0.379,-0.018,0.024,-0.004
1681293563476,2023-04-12T11:59:23.476,0.388,-0.019,0.025,-0.005
1681293563486,2023-04-12T11:59:23.486,0.398,-0.021,0.019,-0.002
1681293563496,2023-04-12T11:59:23.496,0.408,-0.014,0.019,-0.000
1681293563507,2023-04-12T11:59:23.507,0.419,-0.007,0.014,-0.010
1681293563517,2023-04-12T11:59:23.517,0.429,-0.013,0.019,-0.011
1681293563526,2023-04-12T11:59:23.526,0.438,-0.021,0.022,-0.010
1681293563536,2023-04-12T11:59:23.536,0.448,-0.015,0.025,-0.009
1681293563546,2023-04-12T11:59:23.546,0.458,-0.013,0.029,-0.008
1681293563556,2023-04-12T11:59:23.556,0.468,-0.014,0.028,-0.002
1681293563567,2023-04-12T11:59:23.567,0.479,-0.012,0.018,0.002
1681293563575,2023-04-12T11:59:23.575,0.487,-0.007,0.005,0.004
