epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681294913102,2023-04-12T12:21:53.102,0.000,0.796,-0.199,0.572,0.000
1681294913111,2023-04-12T12:21:53.111,0.009,0.796,-0.199,0.572,0.000
1681294913121,2023-04-12T12:21:53.121,0.019,0.796,-0.199,0.571,0.000
1681294913132,2023-04-12T12:21:53.132,0.030,0.796,-0.198,0.571,0.000
1681294913142,2023-04-12T12:21:53.142,0.040,0.796,-0.198,0.571,0.000
1681294913152,2023-04-12T12:21:53.152,0.050,0.797,-0.198,0.571,0.000
1681294913161,2023-04-12T12:21:53.161,0.059,0.797,-0.198,0.571,0.001
1681294913171,2023-04-12T12:21:53.171,0.069,0.797,-0.198,0.571,0.001
1681294913182,2023-04-12T12:21:53.182,0.080,0.797,-0.198,0.571,0.001
1681294913192,2023-04-12T12:21:53.192,0.090,0.797,-0.198,0.571,0.001
1681294913202,2023-04-12T12:21:53.202,0.100,0.797,-0.198,0.571,0.001
1681294913211,2023-04-12T12:21:53.211,0.109,0.797,-0.198,0.571,0.001
1681294913221,2023-04-12T12:21:53.221,0.119,0.797,-0.198,0.571,0.001
1681294913231,2023-04-12T12:21:53.231,0.129,0.797,-0.198,0.571,0.001
1681294913242,2023-04-12T12:21:53.242,0.140,0.797,-0.198,0.571,0.001
1681294913252,2023-04-12T12:21:53.252,0.150,0.797,-0.198,0.571,0.002
1681294913261,2023-04-12T12:21:53.261,0.159,0.797,-0.197,0.571,0.002
1681294913271,2023-04-12T12:21:53.271,0.169,0.797,-0.197,0.571,0.002
1681294913281,2023-04-12T12:21:53.281,0.179,0.797,-0.197,0.571,0.002
1681294913291,2023-04-12T12:21:53.291,0.189,0.797,-0.197,0.571,0.002
1681294913302,2023-04-12T12:21:53.302,0.200,0.797,-0.197,0.571,0.002
1681294913310,2023-04-12T12:21:53.310,0.208,0.797,-0.197,0.571,0.002
1681294913321,2023-04-12T12:21:53.321,0.219,0.797,-0.197,0.571,0.002
1681294913331,2023-04-12T12:21:53.331,0.229,0.797,-0.197,0.571,0.002
1681294913341,2023-04-12T12:21:53.341,0.239,0.797,-0.197,0.571,0.002
1681294913350,2023-04-12T12:21:53.350,0.248,0.797,-0.197,0.571,0.002
1681294913360,2023-04-12T12:21:53.360,0.258,0.797,-0.197,0.571,0.002
1681294913370,2023-04-12T12:21:53.370,0.268,0.797,-0.196,0.571,0.002
1681294913381,2023-04-12T12:21:53.381,0.279,0.797,-0.196,0.571,0.002
1681294913391,2023-04-12T12:21:53.391,0.289,0.797,-0.196,0.571,0.002
1681294913400,2023-04-12T12:21:53.400,0.298,0.797,-0.196,0.571,0.002
1681294913410,2023-04-12T12:21:53.410,0.308,0.797,-0.196,0.571,0.002
1681294913420,2023-04-12T12:21:53.420,0.318,0.797,-0.196,0.571,0.002
1681294913431,2023-04-12T12:21:53.431,0.329,0.797,-0.196,0.571,0.002
1681294913441,2023-04-12T12:21:53.441,0.339,0.798,-0.196,0.570,0.002
1681294913450,2023-04-12T12:21:53.450,0.348,0.798,-0.196,0.570,0.002
1681294913460,2023-04-12T12:21:53.460,0.358,0.798,-0.196,0.570,0.002
1681294913470,2023-04-12T12:21:53.470,0.368,0.798,-0.196,0.570,0.002
1681294913480,2023-04-12T12:21:53.480,0.378,0.798,-0.196,0.570,0.002
1681294913491,2023-04-12T12:21:53.491,0.389,0.798,-0.195,0.570,0.002
1681294913499,2023-04-12T12:21:53.499,0.397,0.798,-0.195,0.570,0.002
1681294913510,2023-04-12T12:21:53.510,0.408,0.798,-0.195,0.570,0.002
1681294913520,2023-04-12T12:21:53.520,0.418,0.798,-0.195,0.570,0.002
