epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681294913069,2023-04-12T12:21:53.069,0.000,0.836,0.085,0.542,0.000
1681294913080,2023-04-12T12:21:53.080,0.011,0.836,0.085,0.542,-0.000
1681294913088,2023-04-12T12:21:53.088,0.019,0.836,0.085,0.542,-0.000
1681294913100,2023-04-12T12:21:53.100,0.031,0.836,0.085,0.541,-0.000
1681294913109,2023-04-12T12:21:53.109,0.040,0.837,0.085,0.541,-0.000
1681294913119,2023-04-12T12:21:53.119,0.050,0.837,0.085,0.541,-0.000
1681294913129,2023-04-12T12:21:53.129,0.060,0.837,0.085,0.541,-0.000
1681294913140,2023-04-12T12:21:53.140,0.071,0.837,0.085,0.541,-0.000
1681294913148,2023-04-12T12:21:53.148,0.079,0.837,0.085,0.541,-0.000
1681294913159,2023-04-12T12:21:53.159,0.090,0.837,0.085,0.540,-0.000
1681294913169,2023-04-12T12:21:53.169,0.100,0.837,0.085,0.540,-0.001
1681294913179,2023-04-12T12:21:53.179,0.110,0.837,0.085,0.540,-0.001
1681294913189,2023-04-12T12:21:53.189,0.120,0.837,0.085,0.540,-0.001
1681294913198,2023-04-12T12:21:53.198,0.129,0.837,0.085,0.540,-0.001
1681294913209,2023-04-12T12:21:53.209,0.140,0.838,0.085,0.540,-0.001
1681294913219,2023-04-12T12:21:53.219,0.150,0.838,0.085,0.540,-0.001
1681294913229,2023-04-12T12:21:53.229,0.160,0.838,0.085,0.539,-0.001
1681294913239,2023-04-12T12:21:53.239,0.170,0.838,0.085,0.539,-0.001
1681294913250,2023-04-12T12:21:53.250,0.181,0.838,0.085,0.539,-0.001
1681294913258,2023-04-12T12:21:53.258,0.189,0.838,0.085,0.539,-0.001
1681294913269,2023-04-12T12:21:53.269,0.200,0.838,0.085,0.539,-0.001
1681294913279,2023-04-12T12:21:53.279,0.210,0.838,0.085,0.539,-0.001
1681294913289,2023-04-12T12:21:53.289,0.220,0.838,0.085,0.539,-0.001
1681294913299,2023-04-12T12:21:53.299,0.230,0.838,0.085,0.539,-0.001
1681294913308,2023-04-12T12:21:53.308,0.239,0.838,0.085,0.539,-0.001
1681294913318,2023-04-12T12:21:53.318,0.249,0.838,0.085,0.538,-0.001
1681294913329,2023-04-12T12:21:53.329,0.260,0.838,0.085,0.538,-0.001
1681294913339,2023-04-12T12:21:53.339,0.270,0.838,0.085,0.538,-0.001
1681294913349,2023-04-12T12:21:53.349,0.280,0.838,0.086,0.538,-0.001
1681294913358,2023-04-12T12:21:53.358,0.289,0.839,0.086,0.538,-0.001
1681294913368,2023-04-12T12:21:53.368,0.299,0.839,0.086,0.538,-0.001
1681294913378,2023-04-12T12:21:53.378,0.309,0.839,0.086,0.538,-0.001
1681294913389,2023-04-12T12:21:53.389,0.320,0.839,0.086,0.538,-0.001
1681294913399,2023-04-12T12:21:53.399,0.330,0.839,0.086,0.538,-0.001
1681294913409,2023-04-12T12:21:53.409,0.340,0.839,0.086,0.538,-0.002
1681294913418,2023-04-12T12:21:53.418,0.349,0.839,0.086,0.537,-0.002
1681294913428,2023-04-12T12:21:53.428,0.359,0.839,0.086,0.537,-0.002
