epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681295062959,2023-04-12T12:24:22.959,0.000,-0.026,-0.010,0.007
1681295062970,2023-04-12T12:24:22.970,0.011,-0.032,-0.012,0.009
1681295062980,2023-04-12T12:24:22.980,0.021,-0.027,-0.014,0.009
1681295062989,2023-04-12T12:24:22.989,0.030,-0.028,-0.013,0.013
1681295062999,2023-04-12T12:24:22.999,0.040,-0.027,-0.014,0.014
1681295063009,2023-04-12T12:24:23.009,0.050,-0.028,-0.015,0.012
1681295063019,2023-04-12T12:24:23.019,0.060,-0.032,-0.015,0.008
1681295063030,2023-04-12T12:24:23.030,0.071,-0.033,-0.014,0.006
1681295063038,2023-04-12T12:24:23.038,0.079,-0.030,-0.013,0.010
1681295063049,2023-04-12T12:24:23.049,0.090,-0.032,-0.018,0.011
1681295063059,2023-04-12T12:24:23.059,0.100,-0.032,-0.017,0.009
1681295063069,2023-04-12T12:24:23.069,0.110,-0.029,-0.017,0.009
1681295063079,2023-04-12T12:24:23.079,0.120,-0.028,-0.015,0.010
1681295063088,2023-04-12T12:24:23.088,0.129,-0.031,-0.011,0.010
1681295063098,2023-04-12T12:24:23.098,0.139,-0.033,-0.013,0.006
1681295063109,2023-04-12T12:24:23.109,0.150,-0.032,-0.014,0.002
1681295063119,2023-04-12T12:24:23.119,0.160,-0.031,-0.014,0.007
1681295063129,2023-04-12T12:24:23.129,0.170,-0.030,-0.015,0.009
1681295063138,2023-04-12T12:24:23.138,0.179,-0.032,-0.013,0.010
1681295063148,2023-04-12T12:24:23.148,0.189,-0.031,-0.011,0.008
1681295063159,2023-04-12T12:24:23.159,0.200,-0.028,-0.010,0.011
1681295063169,2023-04-12T12:24:23.169,0.210,-0.030,-0.009,0.005
1681295063179,2023-04-12T12:24:23.179,0.220,-0.036,-0.011,0.003
1681295063188,2023-04-12T12:24:23.188,0.229,-0.036,-0.010,0.005
1681295063198,2023-04-12T12:24:23.198,0.239,-0.034,-0.010,0.002
1681295063208,2023-04-12T12:24:23.208,0.249,-0.030,-0.012,0.004
1681295063219,2023-04-12T12:24:23.219,0.260,-0.027,-0.011,0.004
1681295063227,2023-04-12T12:24:23.227,0.268,-0.030,-0.012,0.005
1681295063238,2023-04-12T12:24:23.238,0.279,-0.033,-0.007,0.005
1681295063248,2023-04-12T12:24:23.248,0.289,-0.033,-0.005,0.007
1681295063258,2023-04-12T12:24:23.258,0.299,-0.032,-0.006,0.006
1681295063268,2023-04-12T12:24:23.268,0.309,-0.034,-0.005,0.007
1681295063279,2023-04-12T12:24:23.279,0.320,-0.032,-0.006,0.004
1681295063287,2023-04-12T12:24:23.287,0.328,-0.033,-0.009,0.003
1681295063298,2023-04-12T12:24:23.298,0.339,-0.032,-0.008,0.002
1681295063308,2023-04-12T12:24:23.308,0.349,-0.031,-0.007,0.001
1681295063318,2023-04-12T12:24:23.318,0.359,-0.031,-0.004,0.005
1681295063327,2023-04-12T12:24:23.327,0.368,-0.029,-0.005,0.006
1681295063337,2023-04-12T12:24:23.337,0.378,-0.030,-0.006,0.004
1681295063347,2023-04-12T12:24:23.347,0.388,-0.031,-0.007,0.006
1681295063358,2023-04-12T12:24:23.358,0.399,-0.033,-0.008,0.009
1681295063368,2023-04-12T12:24:23.368,0.409,-0.030,-0.007,0.011
1681295063377,2023-04-12T12:24:23.377,0.418,-0.029,-0.006,0.011
1681295063387,2023-04-12T12:24:23.387,0.428,-0.032,-0.006,0.010
1681295063397,2023-04-12T12:24:23.397,0.438,-0.034,-0.004,0.008
1681295063408,2023-04-12T12:24:23.408,0.449,-0.033,-0.008,0.006
1681295063418,2023-04-12T12:24:23.418,0.459,-0.037,-0.007,0.003
1681295063427,2023-04-12T12:24:23.427,0.468,-0.032,-0.007,0.009
1681295063437,2023-04-12T12:24:23.437,0.478,-0.031,-0.012,0.008
1681295063447,2023-04-12T12:24:23.447,0.488,-0.031,-0.010,0.006
1681295063457,2023-04-12T12:24:23.457,0.498,-0.029,-0.009,0.003
1681295063468,2023-04-12T12:24:23.468,0.509,-0.029,-0.012,0.004
1681295063476,2023-04-12T12:24:23.476,0.517,-0.035,-0.013,0.003
1681295063487,2023-04-12T12:24:23.487,0.528,-0.033,-0.013,0.006
