epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681293691877,2023-04-12T12:01:31.877,0.000,-0.029,-0.013,0.007
1681293691888,2023-04-12T12:01:31.888,0.011,-0.035,-0.019,0.008
1681293691898,2023-04-12T12:01:31.898,0.021,-0.033,-0.022,0.007
1681293691908,2023-04-12T12:01:31.908,0.031,-0.035,-0.023,0.002
1681293691917,2023-04-12T12:01:31.917,0.040,-0.037,-0.024,-0.000
1681293691927,2023-04-12T12:01:31.927,0.050,-0.035,-0.029,0.001
1681293691937,2023-04-12T12:01:31.937,0.060,-0.034,-0.030,0.000
1681293691948,2023-04-12T12:01:31.948,0.071,-0.031,-0.030,0.001
1681293691958,2023-04-12T12:01:31.958,0.081,-0.027,-0.021,0.007
1681293691967,2023-04-12T12:01:31.967,0.090,-0.026,-0.016,0.011
1681293691977,2023-04-12T12:01:31.977,0.100,-0.027,-0.017,0.012
1681293691987,2023-04-12T12:01:31.987,0.110,-0.025,-0.014,0.009
1681293691997,2023-04-12T12:01:31.997,0.120,-0.024,-0.010,0.007
1681293692008,2023-04-12T12:01:32.008,0.131,-0.025,-0.006,0.006
1681293692016,2023-04-12T12:01:32.016,0.139,-0.028,-0.008,0.004
1681293692027,2023-04-12T12:01:32.027,0.150,-0.030,-0.012,0.001
1681293692037,2023-04-12T12:01:32.037,0.160,-0.031,-0.012,-0.000
1681293692047,2023-04-12T12:01:32.047,0.170,-0.031,-0.011,-0.001
1681293692056,2023-04-12T12:01:32.056,0.179,-0.032,-0.015,-0.002
1681293692066,2023-04-12T12:01:32.066,0.189,-0.032,-0.013,0.002
1681293692077,2023-04-12T12:01:32.077,0.200,-0.030,-0.013,0.002
1681293692087,2023-04-12T12:01:32.087,0.210,-0.030,-0.013,0.001
1681293692097,2023-04-12T12:01:32.097,0.220,-0.029,-0.011,0.003
1681293692106,2023-04-12T12:01:32.106,0.229,-0.031,-0.010,0.006
1681293692116,2023-04-12T12:01:32.116,0.239,-0.031,-0.007,0.005
1681293692126,2023-04-12T12:01:32.126,0.249,-0.031,-0.007,0.004
1681293692137,2023-04-12T12:01:32.137,0.260,-0.028,-0.009,0.003
1681293692147,2023-04-12T12:01:32.147,0.270,-0.032,-0.009,0.003
1681293692156,2023-04-12T12:01:32.156,0.279,-0.035,-0.010,0.000
1681293692166,2023-04-12T12:01:32.166,0.289,-0.035,-0.013,0.002
1681293692176,2023-04-12T12:01:32.176,0.299,-0.032,-0.016,0.002
1681293692186,2023-04-12T12:01:32.186,0.309,-0.033,-0.019,0.002
1681293692197,2023-04-12T12:01:32.197,0.320,-0.036,-0.016,0.006
1681293692205,2023-04-12T12:01:32.205,0.328,-0.035,-0.016,0.011
1681293692216,2023-04-12T12:01:32.216,0.339,-0.036,-0.011,0.010
1681293692226,2023-04-12T12:01:32.226,0.349,-0.029,-0.012,0.008
1681293692236,2023-04-12T12:01:32.236,0.359,-0.027,-0.016,0.007
1681293692246,2023-04-12T12:01:32.246,0.369,-0.027,-0.020,0.010
1681293692255,2023-04-12T12:01:32.255,0.378,-0.029,-0.015,0.011
1681293692265,2023-04-12T12:01:32.265,0.388,-0.031,-0.010,0.008
1681293692276,2023-04-12T12:01:32.276,0.399,-0.032,-0.009,0.005
1681293692286,2023-04-12T12:01:32.286,0.409,-0.031,-0.010,0.007
1681293692296,2023-04-12T12:01:32.296,0.419,-0.031,-0.013,0.006
1681293692305,2023-04-12T12:01:32.305,0.428,-0.026,-0.014,0.008
1681293692315,2023-04-12T12:01:32.315,0.438,-0.023,-0.012,0.007
1681293692326,2023-04-12T12:01:32.326,0.449,-0.030,-0.011,0.008
