epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681293691877,2023-04-12T12:01:31.877,0.000,0.784,-0.247,0.570,0.000
1681293691888,2023-04-12T12:01:31.888,0.011,0.784,-0.248,0.569,0.001
1681293691898,2023-04-12T12:01:31.898,0.021,0.784,-0.248,0.569,0.002
1681293691908,2023-04-12T12:01:31.908,0.031,0.784,-0.249,0.569,0.002
1681293691917,2023-04-12T12:01:31.917,0.040,0.784,-0.249,0.568,0.003
1681293691927,2023-04-12T12:01:31.927,0.050,0.784,-0.250,0.568,0.004
1681293691937,2023-04-12T12:01:31.937,0.060,0.784,-0.250,0.568,0.005
1681293691948,2023-04-12T12:01:31.948,0.071,0.784,-0.250,0.568,0.005
1681293691958,2023-04-12T12:01:31.958,0.081,0.784,-0.251,0.567,0.006
1681293691967,2023-04-12T12:01:31.967,0.090,0.784,-0.251,0.567,0.007
1681293691977,2023-04-12T12:01:31.977,0.100,0.785,-0.251,0.567,0.007
1681293691987,2023-04-12T12:01:31.987,0.110,0.785,-0.251,0.567,0.008
1681293691997,2023-04-12T12:01:31.997,0.120,0.785,-0.252,0.566,0.009
1681293692006,2023-04-12T12:01:32.006,0.129,0.785,-0.252,0.566,0.009
1681293692016,2023-04-12T12:01:32.016,0.139,0.785,-0.253,0.566,0.010
1681293692027,2023-04-12T12:01:32.027,0.150,0.785,-0.253,0.566,0.011
1681293692037,2023-04-12T12:01:32.037,0.160,0.785,-0.253,0.566,0.011
1681293692047,2023-04-12T12:01:32.047,0.170,0.785,-0.254,0.565,0.012
1681293692056,2023-04-12T12:01:32.056,0.179,0.785,-0.254,0.565,0.012
1681293692066,2023-04-12T12:01:32.066,0.189,0.785,-0.255,0.565,0.013
1681293692077,2023-04-12T12:01:32.077,0.200,0.785,-0.255,0.565,0.014
1681293692087,2023-04-12T12:01:32.087,0.210,0.785,-0.255,0.565,0.014
1681293692097,2023-04-12T12:01:32.097,0.220,0.784,-0.256,0.565,0.015
1681293692106,2023-04-12T12:01:32.106,0.229,0.784,-0.256,0.564,0.015
1681293692116,2023-04-12T12:01:32.116,0.239,0.784,-0.257,0.564,0.016
1681293692126,2023-04-12T12:01:32.126,0.249,0.784,-0.257,0.564,0.017
1681293692137,2023-04-12T12:01:32.137,0.260,0.784,-0.258,0.564,0.017
1681293692147,2023-04-12T12:01:32.147,0.270,0.784,-0.258,0.564,0.018
1681293692156,2023-04-12T12:01:32.156,0.279,0.784,-0.259,0.564,0.019
1681293692166,2023-04-12T12:01:32.166,0.289,0.784,-0.259,0.563,0.019
1681293692176,2023-04-12T12:01:32.176,0.299,0.784,-0.260,0.563,0.020
1681293692186,2023-04-12T12:01:32.186,0.309,0.784,-0.260,0.563,0.021
1681293692197,2023-04-12T12:01:32.197,0.320,0.784,-0.260,0.563,0.021
1681293692205,2023-04-12T12:01:32.205,0.328,0.784,-0.261,0.563,0.022
1681293692216,2023-04-12T12:01:32.216,0.339,0.784,-0.261,0.563,0.022
1681293692226,2023-04-12T12:01:32.226,0.349,0.784,-0.262,0.563,0.023
1681293692236,2023-04-12T12:01:32.236,0.359,0.784,-0.262,0.562,0.023
1681293692246,2023-04-12T12:01:32.246,0.369,0.784,-0.262,0.562,0.024
1681293692255,2023-04-12T12:01:32.255,0.378,0.784,-0.263,0.562,0.024
1681293692265,2023-04-12T12:01:32.265,0.388,0.784,-0.263,0.562,0.025
1681293692276,2023-04-12T12:01:32.276,0.399,0.784,-0.264,0.562,0.026
1681293692286,2023-04-12T12:01:32.286,0.409,0.784,-0.264,0.561,0.026
1681293692295,2023-04-12T12:01:32.295,0.418,0.784,-0.265,0.561,0.027
1681293692305,2023-04-12T12:01:32.305,0.428,0.784,-0.265,0.561,0.027
1681293692315,2023-04-12T12:01:32.315,0.438,0.784,-0.266,0.561,0.028
