epoch (ms),time (01:00),elapsed (s),w (number),x (number),y (number), z (number)
1681293691849,2023-04-12T12:01:31.849,0.000,0.797,0.092,0.597,0.000
1681293691860,2023-04-12T12:01:31.860,0.011,0.797,0.091,0.597,0.001
1681293691870,2023-04-12T12:01:31.870,0.021,0.797,0.091,0.597,0.001
1681293691880,2023-04-12T12:01:31.880,0.031,0.797,0.090,0.597,0.002
1681293691890,2023-04-12T12:01:31.890,0.041,0.797,0.090,0.597,0.003
1681293691899,2023-04-12T12:01:31.899,0.050,0.797,0.089,0.597,0.003
1681293691909,2023-04-12T12:01:31.909,0.060,0.797,0.089,0.597,0.004
1681293691920,2023-04-12T12:01:31.920,0.071,0.797,0.088,0.597,0.005
1681293691930,2023-04-12T12:01:31.930,0.081,0.798,0.087,0.597,0.006
1681293691940,2023-04-12T12:01:31.940,0.091,0.798,0.087,0.597,0.006
1681293691949,2023-04-12T12:01:31.949,0.100,0.798,0.086,0.597,0.007
1681293691959,2023-04-12T12:01:31.959,0.110,0.798,0.085,0.597,0.007
1681293691969,2023-04-12T12:01:31.969,0.120,0.798,0.085,0.597,0.008
1681293691980,2023-04-12T12:01:31.980,0.131,0.798,0.084,0.597,0.008
1681293691990,2023-04-12T12:01:31.990,0.141,0.798,0.084,0.597,0.009
1681293692000,2023-04-12T12:01:32.000,0.151,0.798,0.083,0.597,0.010
1681293692009,2023-04-12T12:01:32.009,0.160,0.798,0.083,0.596,0.010
1681293692019,2023-04-12T12:01:32.019,0.170,0.798,0.082,0.596,0.011
1681293692030,2023-04-12T12:01:32.030,0.181,0.798,0.082,0.596,0.011
1681293692040,2023-04-12T12:01:32.040,0.191,0.799,0.081,0.596,0.012
1681293692050,2023-04-12T12:01:32.050,0.201,0.799,0.081,0.596,0.013
1681293692059,2023-04-12T12:01:32.059,0.210,0.799,0.080,0.596,0.013
1681293692069,2023-04-12T12:01:32.069,0.220,0.799,0.080,0.596,0.014
1681293692079,2023-04-12T12:01:32.079,0.230,0.799,0.079,0.596,0.015
1681293692090,2023-04-12T12:01:32.090,0.241,0.799,0.079,0.596,0.015
1681293692100,2023-04-12T12:01:32.100,0.251,0.799,0.078,0.596,0.016
1681293692110,2023-04-12T12:01:32.110,0.261,0.799,0.078,0.596,0.016
1681293692119,2023-04-12T12:01:32.119,0.270,0.799,0.077,0.596,0.017
1681293692129,2023-04-12T12:01:32.129,0.280,0.799,0.077,0.596,0.018
1681293692139,2023-04-12T12:01:32.139,0.290,0.799,0.076,0.596,0.018
1681293692150,2023-04-12T12:01:32.150,0.301,0.799,0.076,0.596,0.019
1681293692160,2023-04-12T12:01:32.160,0.311,0.799,0.075,0.596,0.020
1681293692169,2023-04-12T12:01:32.169,0.320,0.799,0.074,0.596,0.020
1681293692179,2023-04-12T12:01:32.179,0.330,0.799,0.074,0.596,0.021
1681293692189,2023-04-12T12:01:32.189,0.340,0.800,0.073,0.596,0.021
1681293692199,2023-04-12T12:01:32.199,0.350,0.800,0.073,0.596,0.022
1681293692210,2023-04-12T12:01:32.210,0.361,0.800,0.072,0.596,0.023
1681293692218,2023-04-12T12:01:32.218,0.369,0.800,0.072,0.595,0.023
1681293692230,2023-04-12T12:01:32.230,0.381,0.800,0.071,0.595,0.024
1681293692239,2023-04-12T12:01:32.239,0.390,0.800,0.071,0.595,0.024
1681293692249,2023-04-12T12:01:32.249,0.400,0.800,0.070,0.595,0.025
1681293692259,2023-04-12T12:01:32.259,0.410,0.800,0.070,0.595,0.025
1681293692270,2023-04-12T12:01:32.270,0.421,0.800,0.070,0.595,0.026
1681293692279,2023-04-12T12:01:32.279,0.430,0.800,0.069,0.595,0.026
1681293692289,2023-04-12T12:01:32.289,0.440,0.800,0.069,0.595,0.027
1681293692299,2023-04-12T12:01:32.299,0.450,0.800,0.069,0.595,0.027
1681293692309,2023-04-12T12:01:32.309,0.460,0.800,0.068,0.595,0.028
1681293692320,2023-04-12T12:01:32.320,0.471,0.800,0.068,0.595,0.028
1681293692328,2023-04-12T12:01:32.328,0.479,0.800,0.067,0.595,0.029
1681293692339,2023-04-12T12:01:32.339,0.490,0.800,0.067,0.595,0.029
1681293692349,2023-04-12T12:01:32.349,0.500,0.800,0.066,0.595,0.029
1681293692359,2023-04-12T12:01:32.359,0.510,0.800,0.066,0.595,0.030
1681293692369,2023-04-12T12:01:32.369,0.520,0.800,0.066,0.595,0.030
1681293692380,2023-04-12T12:01:32.380,0.531,0.800,0.065,0.595,0.031
1681293692390,2023-04-12T12:01:32.390,0.541,0.800,0.065,0.595,0.032
1681293692399,2023-04-12T12:01:32.399,0.550,0.801,0.064,0.595,0.032
1681293692409,2023-04-12T12:01:32.409,0.560,0.801,0.064,0.595,0.032
1681293692419,2023-04-12T12:01:32.419,0.570,0.801,0.064,0.594,0.033
1681293692429,2023-04-12T12:01:32.429,0.580,0.801,0.063,0.594,0.033
1681293692438,2023-04-12T12:01:32.438,0.589,0.801,0.063,0.594,0.033
1681293692448,2023-04-12T12:01:32.448,0.599,0.801,0.062,0.594,0.034
1681293692459,2023-04-12T12:01:32.459,0.610,0.801,0.062,0.594,0.034
1681293692469,2023-04-12T12:01:32.469,0.620,0.801,0.062,0.594,0.034
1681293692479,2023-04-12T12:01:32.479,0.630,0.801,0.062,0.594,0.034
1681293692489,2023-04-12T12:01:32.489,0.640,0.801,0.061,0.594,0.035
1681293692498,2023-04-12T12:01:32.498,0.649,0.801,0.061,0.594,0.035
1681293692509,2023-04-12T12:01:32.509,0.660,0.801,0.061,0.594,0.035
1681293692519,2023-04-12T12:01:32.519,0.670,0.801,0.061,0.594,0.035
1681293692529,2023-04-12T12:01:32.529,0.680,0.801,0.060,0.594,0.035
1681293692539,2023-04-12T12:01:32.539,0.690,0.801,0.060,0.594,0.035
1681293692548,2023-04-12T12:01:32.548,0.699,0.801,0.060,0.594,0.035
1681293692558,2023-04-12T12:01:32.558,0.709,0.801,0.060,0.594,0.035
1681293692569,2023-04-12T12:01:32.569,0.720,0.801,0.060,0.594,0.035
1681293692579,2023-04-12T12:01:32.579,0.730,0.801,0.060,0.594,0.035
1681293692589,2023-04-12T12:01:32.589,0.740,0.801,0.060,0.594,0.035
1681293692599,2023-04-12T12:01:32.599,0.750,0.801,0.060,0.594,0.035
1681293692608,2023-04-12T12:01:32.608,0.759,0.802,0.060,0.594,0.035
1681293692618,2023-04-12T12:01:32.618,0.769,0.802,0.059,0.594,0.035
1681293692629,2023-04-12T12:01:32.629,0.780,0.802,0.059,0.594,0.034
1681293692639,2023-04-12T12:01:32.639,0.790,0.802,0.059,0.594,0.034
1681293692649,2023-04-12T12:01:32.649,0.800,0.802,0.059,0.593,0.034
1681293692658,2023-04-12T12:01:32.658,0.809,0.802,0.059,0.593,0.034
1681293692668,2023-04-12T12:01:32.668,0.819,0.802,0.058,0.593,0.034
1681293692678,2023-04-12T12:01:32.678,0.829,0.802,0.058,0.593,0.034
1681293692689,2023-04-12T12:01:32.689,0.840,0.802,0.058,0.593,0.034
1681293692699,2023-04-12T12:01:32.699,0.850,0.802,0.058,0.593,0.034
1681293692708,2023-04-12T12:01:32.708,0.859,0.803,0.058,0.593,0.034
1681293692719,2023-04-12T12:01:32.719,0.870,0.803,0.057,0.593,0.033
1681293692728,2023-04-12T12:01:32.728,0.879,0.803,0.057,0.592,0.033
1681293692738,2023-04-12T12:01:32.738,0.889,0.803,0.057,0.592,0.033
1681293692749,2023-04-12T12:01:32.749,0.900,0.803,0.056,0.592,0.033
1681293692759,2023-04-12T12:01:32.759,0.910,0.804,0.056,0.592,0.033
1681293692768,2023-04-12T12:01:32.768,0.919,0.804,0.056,0.591,0.033
1681293692778,2023-04-12T12:01:32.778,0.929,0.804,0.055,0.591,0.033
1681293692788,2023-04-12T12:01:32.788,0.939,0.804,0.055,0.591,0.033
1681293692799,2023-04-12T12:01:32.799,0.950,0.804,0.055,0.591,0.033
1681293692809,2023-04-12T12:01:32.809,0.960,0.805,0.054,0.590,0.033
1681293692818,2023-04-12T12:01:32.818,0.969,0.805,0.054,0.590,0.033
1681293692828,2023-04-12T12:01:32.828,0.979,0.805,0.054,0.590,0.033
1681293692838,2023-04-12T12:01:32.838,0.989,0.805,0.054,0.590,0.033
1681293692848,2023-04-12T12:01:32.848,0.999,0.805,0.053,0.590,0.033
1681293692859,2023-04-12T12:01:32.859,1.010,0.805,0.053,0.589,0.032
1681293692869,2023-04-12T12:01:32.869,1.020,0.806,0.053,0.589,0.032
1681293692879,2023-04-12T12:01:32.879,1.030,0.806,0.053,0.589,0.032
1681293692888,2023-04-12T12:01:32.888,1.039,0.806,0.053,0.589,0.033
1681293692898,2023-04-12T12:01:32.898,1.049,0.806,0.053,0.588,0.033
1681293692908,2023-04-12T12:01:32.908,1.059,0.806,0.052,0.588,0.033
1681293692919,2023-04-12T12:01:32.919,1.070,0.806,0.052,0.588,0.033
1681293692927,2023-04-12T12:01:32.927,1.078,0.807,0.052,0.588,0.033
1681293692938,2023-04-12T12:01:32.938,1.089,0.807,0.052,0.588,0.033
1681293692948,2023-04-12T12:01:32.948,1.099,0.807,0.052,0.588,0.033
1681293692958,2023-04-12T12:01:32.958,1.109,0.807,0.052,0.587,0.033
1681293692968,2023-04-12T12:01:32.968,1.119,0.807,0.052,0.587,0.033
1681293692977,2023-04-12T12:01:32.977,1.128,0.807,0.052,0.587,0.033
1681293692988,2023-04-12T12:01:32.988,1.139,0.807,0.052,0.587,0.033
1681293692998,2023-04-12T12:01:32.998,1.149,0.807,0.052,0.587,0.033
1681293693008,2023-04-12T12:01:33.008,1.159,0.807,0.052,0.587,0.033
1681293693018,2023-04-12T12:01:33.018,1.169,0.807,0.052,0.587,0.033
1681293693029,2023-04-12T12:01:33.029,1.180,0.808,0.052,0.587,0.033
1681293693039,2023-04-12T12:01:33.039,1.190,0.808,0.052,0.586,0.033
1681293693048,2023-04-12T12:01:33.048,1.199,0.808,0.052,0.586,0.034
1681293693058,2023-04-12T12:01:33.058,1.209,0.808,0.052,0.586,0.034
1681293693068,2023-04-12T12:01:33.068,1.219,0.808,0.052,0.586,0.034
1681293693078,2023-04-12T12:01:33.078,1.229,0.808,0.051,0.586,0.034
1681293693087,2023-04-12T12:01:33.087,1.238,0.808,0.051,0.586,0.034
1681293693097,2023-04-12T12:01:33.097,1.248,0.808,0.051,0.586,0.034
1681293693108,2023-04-12T12:01:33.108,1.259,0.808,0.051,0.586,0.034
1681293693118,2023-04-12T12:01:33.118,1.269,0.808,0.051,0.585,0.034
1681293693128,2023-04-12T12:01:33.128,1.279,0.808,0.051,0.585,0.034
1681293693138,2023-04-12T12:01:33.138,1.289,0.809,0.051,0.585,0.034
1681293693147,2023-04-12T12:01:33.147,1.298,0.809,0.051,0.585,0.035
1681293693157,2023-04-12T12:01:33.157,1.308,0.809,0.051,0.585,0.035
1681293693168,2023-04-12T12:01:33.168,1.319,0.809,0.050,0.585,0.035
1681293693178,2023-04-12T12:01:33.178,1.329,0.809,0.050,0.585,0.035
1681293693188,2023-04-12T12:01:33.188,1.339,0.809,0.050,0.585,0.035
1681293693198,2023-04-12T12:01:33.198,1.349,0.809,0.050,0.585,0.035
1681293693207,2023-04-12T12:01:33.207,1.358,0.809,0.050,0.584,0.036
1681293693217,2023-04-12T12:01:33.217,1.368,0.809,0.049,0.584,0.036
1681293693228,2023-04-12T12:01:33.228,1.379,0.809,0.049,0.584,0.036
1681293693238,2023-04-12T12:01:33.238,1.389,0.809,0.049,0.584,0.036
1681293693248,2023-04-12T12:01:33.248,1.399,0.809,0.049,0.584,0.036
1681293693257,2023-04-12T12:01:33.257,1.408,0.810,0.049,0.584,0.036
1681293693267,2023-04-12T12:01:33.267,1.418,0.810,0.049,0.584,0.035
1681293693278,2023-04-12T12:01:33.278,1.429,0.810,0.049,0.584,0.035
1681293693288,2023-04-12T12:01:33.288,1.439,0.810,0.049,0.584,0.035
1681293693298,2023-04-12T12:01:33.298,1.449,0.810,0.049,0.584,0.035
1681293693307,2023-04-12T12:01:33.307,1.458,0.810,0.049,0.583,0.035
1681293693317,2023-04-12T12:01:33.317,1.468,0.810,0.049,0.583,0.035
1681293693327,2023-04-12T12:01:33.327,1.478,0.810,0.049,0.583,0.035
1681293693338,2023-04-12T12:01:33.338,1.489,0.810,0.049,0.583,0.035
1681293693348,2023-04-12T12:01:33.348,1.499,0.810,0.049,0.583,0.035
1681293693358,2023-04-12T12:01:33.358,1.509,0.810,0.048,0.583,0.035
1681293693367,2023-04-12T12:01:33.367,1.518,0.810,0.048,0.583,0.035
1681293693377,2023-04-12T12:01:33.377,1.528,0.810,0.048,0.583,0.035
1681293693387,2023-04-12T12:01:33.387,1.538,0.810,0.048,0.583,0.035
1681293693398,2023-04-12T12:01:33.398,1.549,0.811,0.048,0.583,0.035
1681293693408,2023-04-12T12:01:33.408,1.559,0.811,0.047,0.583,0.035
1681293693417,2023-04-12T12:01:33.417,1.568,0.811,0.047,0.583,0.035
1681293693427,2023-04-12T12:01:33.427,1.578,0.811,0.047,0.583,0.035
1681293693437,2023-04-12T12:01:33.437,1.588,0.811,0.046,0.582,0.035
1681293693447,2023-04-12T12:01:33.447,1.598,0.811,0.046,0.582,0.035
1681293693458,2023-04-12T12:01:33.458,1.609,0.811,0.046,0.582,0.035
1681293693467,2023-04-12T12:01:33.467,1.618,0.811,0.046,0.582,0.035
1681293693477,2023-04-12T12:01:33.477,1.628,0.811,0.045,0.582,0.035
1681293693487,2023-04-12T12:01:33.487,1.638,0.811,0.045,0.582,0.035
1681293693497,2023-04-12T12:01:33.497,1.648,0.811,0.045,0.582,0.035
1681293693508,2023-04-12T12:01:33.508,1.659,0.811,0.045,0.582,0.035
1681293693518,2023-04-12T12:01:33.518,1.669,0.811,0.045,0.582,0.035
1681293693527,2023-04-12T12:01:33.527,1.678,0.811,0.044,0.582,0.035
1681293693537,2023-04-12T12:01:33.537,1.688,0.811,0.044,0.582,0.036
1681293693547,2023-04-12T12:01:33.547,1.698,0.811,0.044,0.582,0.036
1681293693557,2023-04-12T12:01:33.557,1.708,0.811,0.044,0.582,0.036
1681293693568,2023-04-12T12:01:33.568,1.719,0.811,0.044,0.582,0.036
1681293693576,2023-04-12T12:01:33.576,1.727,0.811,0.044,0.582,0.036
1681293693587,2023-04-12T12:01:33.587,1.738,0.812,0.044,0.582,0.036
1681293693597,2023-04-12T12:01:33.597,1.748,0.812,0.044,0.582,0.036
1681293693607,2023-04-12T12:01:33.607,1.758,0.812,0.043,0.582,0.036
1681293693617,2023-04-12T12:01:33.617,1.768,0.812,0.043,0.582,0.036
1681293693628,2023-04-12T12:01:33.628,1.779,0.812,0.043,0.582,0.036
